#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
97764	9	125719488	[125719286,125719488]	5	36668813	[36668667,36668815]	59	4	RABGAP1	CTD-2353F22.1	inter-chromosomal
59185	16	21698969	[21698878,21698970]	16	21623966	[21623966,21624054]	40	0	OTOA	METTL9	readthrough-adjacent
113346	9	125659558	[125659558,125659650]	9	125560818	[125560730,125560821]	28	0	RC3H2	PDCL	intra-chromosomal
42117	14	19925240	[19925239,19925331]	14	19680595	[19680594,19680681]	29	0	CTD-2314B22.3	AL589743.1	intra-chromosomal
59191	16	21636436	[21636349,21636437]	16	21689831	[21689831,21689923]	21	0	METTL9	OTOA	readthrough-adjacent
97763	9	125719488	[125719290,125719489]	5	36666586	[36666244,36666588]	11	5	RABGAP1	CTD-2353F22.1	inter-chromosomal
36045	12	132413884	[132413802,132413885]	12	62654284	[62654191,62654284]	20	0	PUS1;RP11-417L19.4	USP15	intra-chromosomal
37023	12	80328475	[80328474,80328671]	14	73678477	[73678475,73678650]	13	3	PPP1R12A	PSEN1	inter-chromosomal
36964	12	77966046	[77965893,77966046]	12	78334099	[78334097,78334216]	15	1	RP1-34H18.1	NAV3	intra-chromosomal
44669	14	66200099	[66199949,66200104]	14	73763993	[73763919,73763995]	10	3	FUT8	NUMB	intra-chromosomal
106326	7	74233936	[74233936,74234111]	7	74524760	[74524760,74525017]	1	7	GTF2IRD2	GTF2IRD2B	intra-chromosomal
77940	2	69732701	[69732701,69732795]	2	69693684	[69693594,69693684]	12	0	AAK1	AC114772.1	readthrough-intersecting
35912	9	125693716	[125693716,125693807]	12	58129210	[58129152,58129211]	11	0	ZBTB26	AGAP2	inter-chromosomal
66842	17	35771477	[35771384,35771477]	17	35736075	[35736075,35736157]	11	0	TADA2A	C17orf78	readthrough-adjacent
31303	12	1136914	[1136913,1136997]	12	1099256	[1099183,1099256]	10	0	ERC1	RAD52;RP11-359B12.1	readthrough-intersecting
38997	12	124074996	[124074906,124074996]	12	128084156	[128084153,128084307]	8	1	TMED2	RP11-351O2.1	intra-chromosomal
19339	10	29704341	[29704283,29704341]	10	29746577	[29746577,29746665]	8	0	RP11-534G20.3	SVIL	readthrough-intersecting
58420	16	20907630	[20907628,20907703]	16	20873965	[20873898,20873966]	8	0	ERI2	DCUN1D3	readthrough-intersecting
1776	1	10032076	[10032074,10032130]	1	10003083	[10003008,10003083]	8	0	NMNAT1	RP11-84A14.4	readthrough-intersecting
44670	14	66200104	[66199963,66200104]	14	73783125	[73783098,73783127]	4	2	FUT8	NUMB	intra-chromosomal
110649	9	22723429	[22723336,22723429]	9	22767174	[22767171,22767237]	7	0	RP11-399D6.2	RP11-370B11.3	readthrough-intersecting
104316	7	19095674	[19095674,19095752]	7	19040871	[19040804,19040871]	7	0	TWIST1	GS1-465N13.1	readthrough-adjacent
97081	5	1253719	[1253719,1253792]	5	1401101	[1401042,1401101]	6	0	TERT	SLC6A3	intra-chromosomal
73866	19	17379900	[17379841,17379900]	19	17339065	[17339064,17339118]	4	0	BABAM1	OCEL1	intra-chromosomal
