#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
105281	22	21823055	[21823055,21823063]	22	21065403	[21064987,21065403]	1	15	TMEM191C	PI4KA	intra-chromosomal
73080	16	56839544	[56839416,56839544]	16	69481053	[69481051,69481181]	19	5	NUP93	CYB5B	intra-chromosomal
74967	16	85205413	[85205214,85205413]	16	85391069	[85391067,85391221]	19	2	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
74972	16	85391249	[85391094,85391250]	16	85667520	[85667517,85667738]	17	2	RP11-680G10.1	KIAA0182	intra-chromosomal
74973	16	85391249	[85391071,85391250]	16	85682158	[85682155,85682314]	16	2	RP11-680G10.1	KIAA0182	intra-chromosomal
119047	5	92919484	[92919480,92919577]	5	92899169	[92899093,92899169]	15	0	NR2F1	RP11-65F13.2	readthrough-intersecting
58751	15	40854971	[40854970,40855225]	7	26241385	[26241386,26241442]	3	6	C15orf57	CBX3	inter-chromosomal
93653	2	69732701	[69732701,69732794]	2	69693684	[69693600,69693684]	13	0	AAK1	AC114772.1	readthrough-intersecting
65449	16	53968021	[53967932,53968022]	16	6366996	[6366994,6367052]	12	0	FTO	RBFOX1;RP11-420N3.2	intra-chromosomal
60696	15	68510874	[68510874,68510963]	15	68489966	[68489880,68489967]	12	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
91795	2	10829922	[10829920,10830014]	8	38269603	[38269598,38269632]	10	0	NOL10	FGFR1	inter-chromosomal
54265	14	61262935	[61262933,61263028]	14	61189836	[61189752,61189836]	9	0	MNAT1	SIX4	readthrough-adjacent
36448	11	86333767	[86333765,86334002]	11	86534635	[86534419,86534633]	2	3	RP11-317J19.1	PRSS23	intra-chromosomal
34325	11	65063461	[65063369,65063461]	11	65088015	[65088013,65088097]	6	0	POLA2	CDC42EP2	readthrough-adjacent
17401	1	159895240	[159895240,159895310]	1	159863095	[159863014,159863096]	5	0	TAGLN2	CCDC19	readthrough-adjacent
104394	21	35469582	[35469531,35469582]	21	35497641	[35497641,35497731]	5	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
86130	9	116638588	[116638553,116638588]	19	1356323	[1356322,1356385]	4	0	ZNF618	MUM1	inter-chromosomal
