#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
74790	16	67178279	[67178192,67178280]	16	67132613	[67132613,67132704]	42	0	C16orf70	CBFB	readthrough-adjacent
75720	16	85205413	[85205249,85205413]	16	85391069	[85391067,85391224]	26	2	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
124949	6	76380436	[76380269,76380438]	6	76527218	[76527218,76527381]	17	6	SENP6	MYO6	readthrough-adjacent
57790	14	106938644	[106938548,106938644]	14	107131041	[107131041,107131132]	18	0	LINC00221	IGHV3-66	intra-chromosomal
42536	12	20893114	[20893114,20893302]	12	20523178	[20522911,20523178]	8	3	SLCO1C1	PDE3A;RP11-284H19.1	readthrough-adjacent
136984	X	37808658	[37808563,37808658]	X	37892787	[37892785,37892868]	12	0	AL121578.2	SYTL5	readthrough-intersecting
51717	13	50699438	[50699433,50699583]	1	64014803	[64014803,64015044]	6	3	DLEU2	DLEU2L	inter-chromosomal
21239	1	204183010	[204183010,204183087]	1	204162042	[204161965,204162042]	11	0	GOLT1A	KISS1	readthrough-adjacent
135237	9	71736642	[71736577,71736642]	9	71766566	[71766565,71766652]	10	0	RP11-265B8.4	TJP2	readthrough-intersecting
70502	16	20907630	[20907628,20907701]	16	20873965	[20873873,20873966]	10	0	ERI2	DCUN1D3	readthrough-intersecting
61627	15	68510874	[68510874,68510963]	15	68489966	[68489877,68489967]	10	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
54165	14	24761402	[24761402,24761491]	14	24740517	[24740436,24740517]	9	0	DHRS1	RABGGTA	readthrough-adjacent
32010	10	135269741	[135269740,135269832]	10	135216277	[135216195,135216280]	9	0	RP11-108K14.4	MTG1	readthrough-intersecting
111061	3	123304641	[123304548,123304648]	3	123330080	[123330080,123330171]	9	0	MYLK-AS1	MYLK	readthrough-intersecting
24881	10	29704341	[29704285,29704341]	10	29746577	[29746577,29746667]	9	0	RP11-534G20.3	SVIL	readthrough-intersecting
72563	16	28603806	[28603306,28603806]	16	30216485	[30216282,30216485]	1	4	SULT1A2	RP11-347C12.3	intra-chromosomal
78772	17	19286633	[19286541,19286633]	17	19314557	[19314557,19314647]	8	0	MAPK7	RNF112	intra-chromosomal
135732	9	99179895	[99179893,99179978]	9	99086451	[99086373,99086453]	8	0	ZNF367	SLC35D2	readthrough-adjacent
120273	5	77753774	[77753656,77753771]	6	109575651	[109575648,109575763]	6	1	SCAMP1	C6orf183	inter-chromosomal
36533	11	65063461	[65063377,65063461]	11	65088015	[65088013,65088090]	7	0	POLA2	CDC42EP2	readthrough-adjacent
42323	12	16726445	[16726443,16726554]	12	16520399	[16520354,16520399]	1	3	RP11-424M22.3	MGST1	readthrough-intersecting
106536	22	25566787	[25566787,25566879]	22	25508430	[25508352,25508430]	7	0	KIAA1671	CTA-221G9.11	readthrough-intersecting
44173	12	52242324	[52242324,52242379]	12	52216211	[52216117,52216210]	6	0	RP11-923I11.5	RP11-923I11.6;RP11-923I11.7	intra-chromosomal
86553	9	116638585	[116638553,116638588]	19	1356323	[1356322,1356415]	6	0	ZNF618	MUM1	inter-chromosomal
38903	11	88033698	[88033696,88033771]	11	87883123	[87883036,87883125]	5	0	CTSC	RAB38	intra-chromosomal
76476	17	1922479	[1922477,1922548]	17	1898997	[1898908,1898998]	5	0	AC099684.1	CTD-2545H1.2	readthrough-intersecting
43130	12	31478770	[31478770,31478860]	12	31451158	[31451082,31451159]	5	0	AC024940.1	FAM60A	readthrough-intersecting
126399	6	167412406	[167412406,167412493]	6	167366036	[167365977,167366037]	4	0	RP1-167A14.2	RNASET2;RP11-514O12.4	readthrough-adjacent
