#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
36588	19	10450357	[10450215,10450362]	14	62162557	[62162219,62162558]	101	49	ICAM3	HIF1A;RP11-618G20.4	inter-chromosomal
72015	3	53289852	[53289851,53290031]	3	58739590	[58739496,58739591]	79	36	TKT	C3orf67	intra-chromosomal
67646	20	34635252	[34635252,34635257]	5	25190562	[25190302,25190562]	1	52	RP4-550H1.6	RP11-549K20.1	inter-chromosomal
2408	1	31538463	[31538461,31538527]	19	4910888	[4910890,4910979]	62	0	PUM1	UHRF1	inter-chromosomal
2419	19	4969241	[4969156,4969244]	1	31661034	[31660944,31661037]	45	0	KDM4B	NKAIN1	inter-chromosomal
36581	19	10449624	[10449358,10449624]	14	62162557	[62162248,62162559]	22	12	ICAM3	HIF1A;RP11-618G20.4	inter-chromosomal
3103	1	41213206	[41213203,41213281]	7	1040296	[1040135,1040297]	21	6	NFYC	C7orf50	inter-chromosomal
10910	1	183201992	[183201835,183201994]	1	182797859	[182797859,182798109]	24	4	LAMC2	NPL	intra-chromosomal
43113	16	2205144	[2205142,2205342]	16	2379855	[2379649,2379857]	12	10	RP11-304L19.5	ABCA3	intra-chromosomal
35164	14	24761402	[24761402,24761480]	14	24740517	[24740424,24740517]	28	0	DHRS1	RABGGTA	readthrough-adjacent
47878	3	49163180	[49163180,49163318]	16	57596296	[57596294,57596366]	19	2	LAMB2	GPR114	inter-chromosomal
10911	1	183203581	[183203502,183203583]	1	182797859	[182797857,182798161]	15	2	LAMC2	NPL	intra-chromosomal
37103	14	74253805	[74253804,74253892]	17	36070675	[36070586,36070675]	19	0	C14orf43	HNF1B	inter-chromosomal
13043	4	39313065	[39313064,39313169]	1	230914974	[230914764,230914974]	15	1	RFC1	CAPN9	inter-chromosomal
13039	4	39310251	[39310251,39310476]	1	230912489	[230912226,230912491]	9	4	RFC1	RP11-99J16__A.2	inter-chromosomal
13042	4	39310256	[39310255,39310373]	1	230914973	[230914865,230914973]	11	2	RFC1	CAPN9	inter-chromosomal
50090	17	18129077	[18128961,18129079]	17	18005235	[18005233,18005311]	10	2	LLGL1	DRG2	intra-chromosomal
43111	16	2204859	[2204853,2204926]	16	2379855	[2379767,2379858]	13	0	RP11-304L19.5	ABCA3	intra-chromosomal
31003	12	105720682	[105720682,105720755]	12	105623001	[105622918,105623003]	13	0	C12orf75;RP11-474B16.1	APPL2	readthrough-intersecting
50093	17	18129084	[18128941,18129084]	17	18007115	[18007113,18007203]	2	4	LLGL1	DRG2	intra-chromosomal
91279	9	42018928	[42018927,42019018]	9	66525128	[66525041,66525128]	10	0	RP11-204M4.2	RP11-262H14.3	intra-chromosomal
18533	10	99259030	[99258835,99259030]	10	99102564	[99102561,99102755]	4	3	UBTD1	RP11-452K12.4	intra-chromosomal
76983	4	124418099	[124418019,124418099]	4	124573942	[124573939,124574014]	9	0	RP11-381N20.2	RP11-93L9.1	intra-chromosomal
13037	4	39313065	[39313064,39313169]	1	230846599	[230846407,230846601]	7	1	RFC1	AGT;RP11-99J16__A.2	inter-chromosomal
68904	21	37802710	[37802637,37802710]	21	37832588	[37832586,37832669]	9	0	AP000695.6	AP000695.4	readthrough-intersecting
65038	2	173360103	[173360101,173360189]	2	173329302	[173329215,173329305]	8	0	AC093818.1	AC078883.3	readthrough-intersecting
20090	11	3680413	[3680382,3680415]	17	56067157	[56067066,56067159]	8	0	ART1	RP11-159D12.2;RP11-159D12.5	inter-chromosomal
40560	15	68510874	[68510874,68510958]	15	68486450	[68486367,68486451]	7	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
68846	21	35469582	[35469519,35469582]	21	35497641	[35497641,35497732]	7	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
23278	2	202688450	[202688390,202688450]	11	71929605	[71929605,71929684]	6	0	CDK15	FOLR2	inter-chromosomal
2409	1	31538463	[31538463,31538535]	19	4929234	[4929234,4929325]	6	0	PUM1	UHRF1	inter-chromosomal
64689	4	140098121	[140098120,140098270]	2	159035508	[159035420,159035510]	4	1	ELF2	CCDC148	inter-chromosomal
12840	1	226736664	[226736636,226736668]	19	1356323	[1356322,1356415]	6	0	C1orf95	MUM1	inter-chromosomal
