#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
133753	3	141248644	[141248549,141248649]	6	44216367	[44216365,44216513]	119	48	RASA2	HSP90AB1	inter-chromosomal
165697	X	149109104	[149108860,149109104]	X	148627496	[148627129,148627496]	1	31	RP13-507I23.1	CXorf40A	intra-chromosomal
109385	2	28152775	[28152698,28152775]	5	176718955	[176718955,176719159]	23	11	BRE;MRPL33	NSD1	inter-chromosomal
155497	7	107626467	[107626466,107626532]	7	107671424	[107671336,107671424]	37	0	LAMB1	LAMB4	readthrough-adjacent
139609	4	124418099	[124418011,124418099]	4	124573942	[124573939,124574027]	34	0	RP11-381N20.2	RP11-93L9.1	intra-chromosomal
98538	5	121812450	[121812450,121812753]	18	71016319	[71016317,71016750]	2	16	CTC-210G5.1	CTD-2354A18.1	inter-chromosomal
11498	1	94367141	[94367140,94367225]	1	94620204	[94620107,94620205]	10	11	GCLM	ARHGAP29	intra-chromosomal
128353	22	41609897	[41609891,41610030]	22	41745305	[41745124,41745305]	10	11	L3MBTL2;RP4-756G23.5	ZC3H7B	intra-chromosomal
155144	7	99811683	[99811683,99811688]	7	99949117	[99948875,99949117]	1	13	STAG3	PILRB	intra-chromosomal
91753	17	39927899	[39927898,39927987]	17	39983878	[39983795,39983880]	25	0	JUP	NT5C3L	intra-chromosomal
129173	3	46982488	[46982488,46982557]	3	12983365	[12983091,12983368]	13	6	CCDC12	IQSEC1	intra-chromosomal
20520	19	14574965	[14574872,14574966]	1	155349907	[155349834,155349908]	9	5	PKN1	ASH1L	inter-chromosomal
106807	19	50087209	[50087173,50087209]	19	49897733	[49897731,49897837]	9	3	PRRG2	CCDC155	intra-chromosomal
63176	14	24761402	[24761402,24761492]	14	24740517	[24740427,24740517]	13	0	DHRS1	RABGGTA	readthrough-adjacent
26302	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	11	0	C1orf95	MUM1	inter-chromosomal
44304	11	69995816	[69995816,69995898]	11	70202360	[70202267,70202360]	4	3	ANO1	PPFIA1	intra-chromosomal
136641	4	8472927	[8472873,8472927]	4	8510525	[8510523,8510599]	9	0	TRMT44	RP11-689P11.2	readthrough-intersecting
56242	12	105720682	[105720682,105720749]	12	105623001	[105622919,105623003]	8	0	C12orf75;RP11-474B16.1	APPL2	readthrough-intersecting
44517	11	71740251	[71740250,71740336]	11	71874423	[71874285,71874423]	4	2	NUMA1	RP11-807H22.7	intra-chromosomal
91688	17	39845153	[39845151,39845246]	8	104311033	[104310999,104311037]	8	0	EIF1	RP11-318M2.2	inter-chromosomal
104227	19	38747193	[38747143,38747193]	19	38774267	[38774265,38774437]	5	1	PPP1R14A	SPINT2	readthrough-adjacent
110951	2	69732701	[69732701,69732795]	2	69693684	[69693592,69693684]	7	0	AAK1	AC114772.1	readthrough-intersecting
11497	1	94367141	[94367139,94367225]	1	94616077	[94615954,94616077]	4	1	GCLM	ARHGAP29	intra-chromosomal
95495	17	73389632	[73389631,73389713]	17	73696208	[73696119,73696208]	6	0	GRB2	SAP30BP	intra-chromosomal
2428	1	9242066	[9242061,9242148]	19	803561	[803558,803654]	4	1	RP3-510D11.1	PTBP1	inter-chromosomal
7710	1	46685371	[46685369,46685460]	1	46650980	[46650902,46650981]	6	0	LURAP1;POMGNT1	TSPAN1	readthrough-adjacent
3398	1	21771708	[21771645,21771713]	1	16921512	[16921425,16921512]	6	0	NBPF3	NBPF1	intra-chromosomal
76902	16	5290106	[5290060,5290107]	7	97501761	[97501674,97501761]	5	0	RP11-420N3.2	ASNS	inter-chromosomal
128447	22	42262835	[42262834,42262898]	22	42230031	[42229939,42230031]	5	0	SREBF2	RP5-821D11.7	readthrough-intersecting
89390	17	25944454	[25944366,25944455]	17	25965289	[25965289,25965356]	5	0	KSR1	AC015688.3;LGALS9	readthrough-intersecting
132769	3	123330080	[123330080,123330175]	3	123304641	[123304564,123304641]	4	0	MYLK	MYLK-AS1	readthrough-intersecting
139812	4	139202893	[139202893,139202941]	4	139163215	[139163134,139163215]	4	0	RP11-733C7.1	SLC7A11	readthrough-adjacent
148808	6	72126113	[72126113,72126164]	6	72020345	[72020268,72020347]	4	0	LINC00472	RP11-154D6.1	intra-chromosomal
100801	19	10798159	[10798157,10798199]	19	39926587	[39926491,39926587]	4	0	ILF3	RPS16	intra-chromosomal
