#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
33791	11	122026259	[122026259,122026332]	11	121962456	[121962386,121962456]	31	0	RP11-820L6.1	RP11-166D19.1	intra-chromosomal
84410	2	69732701	[69732701,69732795]	2	69693684	[69693589,69693684]	30	0	AAK1	AC114772.1	readthrough-intersecting
75086	17	61044110	[61044023,61044110]	17	61086895	[61086895,61086987]	23	0	RP11-180P8.1	TANC2	intra-chromosomal
121435	9	71736642	[71736575,71736642]	9	71766566	[71766565,71766657]	16	0	RP11-265B8.4	TJP2	readthrough-intersecting
32779	11	93800911	[93800821,93800911]	11	93862494	[93862494,93862582]	11	0	HEPHL1	PANX1	readthrough-adjacent
43103	13	30881468	[30881466,30881534]	13	46563232	[46563144,46563233]	10	0	KATNAL1	ZC3H13	intra-chromosomal
62893	16	20907630	[20907628,20907702]	16	20873965	[20873873,20873966]	10	0	ERI2	DCUN1D3	readthrough-intersecting
114711	7	117267576	[117267575,117267663]	7	75216228	[75216146,75216228]	9	0	CFTR	HIP1	intra-chromosomal
16561	1	222087104	[222087104,222087198]	1	222013795	[222013721,222013797]	9	0	RP11-815M8.1	RP11-191N8.2	readthrough-adjacent
115606	7	130630479	[130630477,130630558]	7	130569155	[130569066,130569157]	8	0	AC058791.2	AC058791.1	readthrough-adjacent
83303	2	29497965	[29497965,29498054]	9	112219679	[112219606,112219681]	8	0	ALK	PTPN3	inter-chromosomal
30505	11	65063461	[65063380,65063461]	11	65088015	[65088013,65088097]	7	0	POLA2	CDC42EP2	readthrough-adjacent
33792	11	122051046	[122051044,122051100]	11	121962448	[121962382,121962450]	6	0	RP11-820L6.1	RP11-166D19.1	intra-chromosomal
109734	6	43485115	[43485054,43485117]	6	43623299	[43623297,43623380]	6	0	POLR1C	RSPH9	intra-chromosomal
84469	2	71148415	[71148345,71148415]	2	71170783	[71170783,71170843]	5	0	VAX2	ATP6V1B1	readthrough-adjacent
93581	21	35445568	[35445527,35445569]	21	35467162	[35467160,35467249]	5	0	MRPS6	SLC5A3	readthrough-intersecting
53056	15	59949099	[59949099,59949177]	15	59909080	[59908991,59909080]	5	0	GTF2A2	GCNT3	readthrough-intersecting
