#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
55628	2	132291182	[132290842,132291182]	2	130909441	[130909226,130909442]	4	32	CCDC74A	SMPD4	intra-chromosomal
17346	10	116008524	[116008469,116008524]	14	61909829	[61909827,61909908]	60	0	VWA2	PRKCH	inter-chromosomal
54279	2	99193606	[99193540,99193606]	2	234746298	[234746217,234746300]	56	0	INPP4A	HJURP	intra-chromosomal
77392	7	44047067	[44047067,44047206]	7	102222650	[102222502,102222650]	1	21	AC004951.6;SPDYE1	RASA4	intra-chromosomal
20258	19	51379853	[51379759,51379855]	11	62334972	[62334876,62334977]	28	0	KLK2	EEF1G;MIR3654	inter-chromosomal
84373	9	125622196	[125622196,125622237]	9	116299076	[116299073,116299162]	26	0	RC3H2	RGS3	intra-chromosomal
40519	16	16313691	[16313691,16313804]	16	18562730	[18562730,18562861]	1	12	ABCC6	NOMO2	intra-chromosomal
53525	2	69732701	[69732701,69732792]	2	69693684	[69693593,69693684]	23	0	AAK1	AC114772.1	readthrough-intersecting
57892	2	234749255	[234749255,234749367]	2	233421126	[233421124,233421225]	21	1	HJURP	EIF4E2	intra-chromosomal
55627	2	132290344	[132290215,132290344]	2	130909441	[130909347,130909441]	1	10	CCDC74A	SMPD4	intra-chromosomal
70797	5	59064073	[59064072,59064162]	5	92956835	[92956754,92956836]	17	0	PDE4D	FAM172A	intra-chromosomal
72524	5	102465407	[102465301,102465407]	5	164598384	[164598384,164598490]	7	5	PPIP5K2	CTC-340A15.2	intra-chromosomal
42882	16	85029528	[85029526,85029604]	17	73775265	[73775202,73775267]	15	0	ZDHHC7	H3F3B	inter-chromosomal
987	8	145515556	[145515509,145515556]	1	8716500	[8716409,8716501]	13	0	HSF1	RERE	inter-chromosomal
60460	21	42879877	[42879876,42879939]	21	39817544	[39817458,39817547]	13	0	TMPRSS2	ERG	intra-chromosomal
42455	16	67144142	[67144056,67144142]	16	67700168	[67700079,67700169]	13	0	C16orf70	C16orf48	intra-chromosomal
42875	16	84733717	[84733658,84733718]	16	85024241	[85024153,85024244]	12	0	USP10	ZDHHC7	intra-chromosomal
77432	7	102123555	[102123555,102123655]	7	44079760	[44079619,44079760]	2	5	RASA4B	AC017116.8	intra-chromosomal
28170	12	98989619	[98989525,98989619]	5	95224176	[95224088,95224180]	11	0	SLC25A3	ELL2	inter-chromosomal
20978	11	65771484	[65771391,65771486]	9	19378817	[19378723,19378817]	9	0	BANF1	RPS6	inter-chromosomal
43813	9	112963212	[112963211,112963305]	17	16344723	[16344721,16344821]	9	0	C9orf152	C17orf76-AS1	inter-chromosomal
14565	10	48827444	[48827444,48827533]	10	49514864	[49514805,49514866]	9	0	PTPN20B	MAPK8	intra-chromosomal
51452	19	52380535	[52380532,52380594]	19	52570863	[52570812,52570866]	8	0	ZNF577	ZNF841	intra-chromosomal
60659	21	47883141	[47883050,47883143]	21	47904670	[47904668,47904738]	8	0	DIP2A-IT1	DIP2A	readthrough-intersecting
71752	5	179980471	[179980388,179980471]	5	76171129	[76171126,76171194]	7	0	CNOT6	S100Z	intra-chromosomal
61519	X	78622688	[78622687,78622763]	22	38201776	[38201771,38201868]	7	0	ITM2A	H1F0	inter-chromosomal
5133	17	79477212	[79477212,79477308]	1	94012904	[94012906,94012974]	7	0	ACTG1	FNBP1L	inter-chromosomal
22111	11	86665843	[86665840,86665881]	11	86633146	[86633074,86633143]	6	0	FZD4	RP11-736K20.5	readthrough-intersecting
80182	7	139478204	[139478204,139478282]	7	139416814	[139416759,139416815]	6	0	TBXAS1	HIPK2	readthrough-intersecting
51110	19	47991172	[47991168,47991265]	19	47112448	[47112448,47112505]	6	0	NAPA	CALM3	intra-chromosomal
80886	8	23538994	[23538993,23539048]	8	126449364	[126449359,126449459]	6	0	NKX3-1	TRIB1	intra-chromosomal
89804	4	174254092	[174254090,174254146]	12	53873269	[53873269,53873366]	6	0	HMGB2	PCBP2	inter-chromosomal
44960	19	58904533	[58904439,58904541]	17	30692435	[30692433,30692486]	5	0	RPS5	ZNF207	inter-chromosomal
25135	12	31477418	[31477418,31477471]	12	31451158	[31451090,31451159]	5	0	AC024940.1	FAM60A	readthrough-intersecting
32947	19	13055172	[13055074,13055173]	14	53108374	[53108309,53108374]	5	0	CALR	ERO1L	inter-chromosomal
59509	15	49170839	[49170744,49170839]	20	62129103	[62129041,62129107]	5	0	AC012379.1;EID1	EEF1A2	inter-chromosomal
64867	3	123330081	[123330080,123330143]	3	123304648	[123304559,123304648]	5	0	MYLK	MYLK-AS1	readthrough-intersecting
37663	15	66794141	[66794141,66794237]	16	56862952	[56862952,56862988]	5	0	RPL4	NUP93	inter-chromosomal
21918	11	77790699	[77790698,77790794]	6	76618220	[76618220,76618317]	5	0	NDUFC2;NDUFC2-KCTD14	MYO6	inter-chromosomal
81813	20	17587821	[17587728,17587822]	8	98737203	[98737203,98737298]	5	0	DSTN	MTDH	inter-chromosomal
