prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	737	182	258	0.74	0.8	0.769	0.2
JAFFA-Direct	3	467	189	528	0.47	0.71	0.566	0.29
ChimPipe	3	395	13	600	0.4	0.97	0.566	0.03
TopHat-Fusion	5	448	380	547	0.45	0.54	0.491	0.46
FusionCatcher	3	336	51	659	0.34	0.87	0.489	0.13
SOAP-fuse	3	364	155	631	0.37	0.7	0.484	0.3
JAFFA-Assembly	2	396	266	599	0.4	0.6	0.48	0.4
InFusion	5	420	351	575	0.42	0.54	0.473	0.46
MapSplice	3	364	269	631	0.37	0.58	0.452	0.42
JAFFA-Hybrid	3	519	1264	476	0.52	0.29	0.372	0.71
PRADA	3	227	10	768	0.23	0.96	0.371	0.04
ChimeraScan	6	316	994	679	0.32	0.24	0.274	0.76
deFuse	7	375	1835	620	0.38	0.17	0.235	0.83
nFuse	13	261	1265	734	0.26	0.17	0.206	0.83
EricScript	19	228	1324	767	0.23	0.15	0.182	0.85
FusionHunter	5	97	13	898	0.1	0.88	0.18	0.12
