prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	4	440	36	77	0.85	0.92	0.884	0.08
ChimPipe	3	311	13	206	0.6	0.96	0.738	0.04
FusionCatcher	5	310	40	207	0.6	0.89	0.717	0.11
JAFFA-Direct	3	381	197	136	0.74	0.66	0.698	0.34
SOAP-fuse	6	294	74	223	0.57	0.8	0.666	0.2
MapSplice	4	315	237	202	0.61	0.57	0.589	0.43
TopHat-Fusion	6	341	331	176	0.66	0.51	0.575	0.49
PRADA	3	210	10	307	0.41	0.95	0.573	0.05
JAFFA-Assembly	3	307	254	210	0.59	0.55	0.569	0.45
InFusion	6	310	289	207	0.6	0.52	0.557	0.48
JAFFA-Hybrid	7	319	876	198	0.62	0.27	0.376	0.73
ChimeraScan	7	223	799	294	0.43	0.22	0.291	0.78
FusionHunter	5	71	13	446	0.14	0.85	0.24	0.15
deFuse	19	178	1029	339	0.34	0.15	0.208	0.85
EricScript	23	172	1073	345	0.33	0.14	0.197	0.86
nFuse	12	181	1389	336	0.35	0.12	0.179	0.88
