prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	4	442	147	75	0.85	0.75	0.797	0.25
FusionCatcher	5	316	70	201	0.61	0.82	0.7	0.18
ChimPipe	3	317	123	200	0.61	0.72	0.66	0.28
JAFFA-Direct	4	346	221	171	0.67	0.61	0.639	0.39
SOAP-fuse	6	291	147	226	0.56	0.66	0.606	0.34
MapSplice	4	324	269	193	0.63	0.55	0.587	0.45
PRADA	3	222	20	295	0.43	0.92	0.586	0.08
InFusion	7	320	325	197	0.62	0.5	0.554	0.5
JAFFA-Assembly	4	300	359	217	0.58	0.46	0.513	0.54
TopHat-Fusion	5	366	557	151	0.71	0.4	0.512	0.6
FusionHunter	5	122	20	395	0.24	0.86	0.375	0.14
JAFFA-Hybrid	7	324	965	193	0.63	0.25	0.358	0.75
ChimeraScan	7	225	923	292	0.44	0.2	0.275	0.8
deFuse	20	219	1104	298	0.42	0.17	0.242	0.83
nFuse	14	248	1345	269	0.48	0.16	0.24	0.84
EricScript	62	86	290	431	0.17	0.23	0.196	0.77
