prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	4	442	153	75	0.85	0.74	0.791	0.26
FusionCatcher	5	318	70	199	0.62	0.82	0.706	0.18
ChimPipe	3	317	123	200	0.61	0.72	0.66	0.28
JAFFA-Direct	4	347	227	170	0.67	0.6	0.633	0.4
SOAP-fuse	6	295	152	222	0.57	0.66	0.612	0.34
MapSplice	4	324	270	193	0.63	0.55	0.587	0.45
PRADA	3	223	20	294	0.43	0.92	0.586	0.08
InFusion	7	321	327	196	0.62	0.5	0.554	0.5
JAFFA-Assembly	5	290	330	227	0.56	0.47	0.511	0.53
TopHat-Fusion	6	348	498	169	0.67	0.41	0.509	0.59
FusionHunter	5	122	20	395	0.24	0.86	0.375	0.14
JAFFA-Hybrid	7	324	968	193	0.63	0.25	0.358	0.75
ChimeraScan	7	228	933	289	0.44	0.2	0.275	0.8
nFuse	14	248	1348	269	0.48	0.16	0.24	0.84
deFuse	18	231	1233	286	0.45	0.16	0.236	0.84
EricScript	58	86	318	431	0.17	0.21	0.188	0.79
