progname	min_thresh	ignoreUnsure	okpara	auc
STAR-Fusion	2	1	0	0.20
ChimPipe	2	1	0	0.13
SOAP-fuse	2	1	0	0.13
TopHat-Fusion	2	1	0	0.13
InFusion	2	1	0	0.12
JAFFA-Direct	2	1	0	0.12
FusionCatcher	2	1	0	0.11
JAFFA-Assembly	2	1	0	0.10
MapSplice	2	1	0	0.09
ChimeraScan	2	1	0	0.08
JAFFA-Hybrid	2	1	0	0.07
PRADA	2	1	0	0.07
nFuse	2	1	0	0.06
deFuse	2	1	0	0.05
EricScript	2	1	0	0.04
FusionHunter	2	1	0	0.04
STAR-Fusion	2	0	0	0.20
ChimPipe	2	0	0	0.13
SOAP-fuse	2	0	0	0.13
TopHat-Fusion	2	0	0	0.13
InFusion	2	0	0	0.12
JAFFA-Direct	2	0	0	0.12
FusionCatcher	2	0	0	0.11
JAFFA-Assembly	2	0	0	0.10
MapSplice	2	0	0	0.09
ChimeraScan	2	0	0	0.08
JAFFA-Hybrid	2	0	0	0.07
PRADA	2	0	0	0.07
nFuse	2	0	0	0.06
deFuse	2	0	0	0.05
EricScript	2	0	0	0.04
FusionHunter	2	0	0	0.04
STAR-Fusion	2	1	1	0.19
ChimPipe	2	1	1	0.13
TopHat-Fusion	2	1	1	0.13
InFusion	2	1	1	0.12
JAFFA-Direct	2	1	1	0.12
SOAP-fuse	2	1	1	0.12
FusionCatcher	2	1	1	0.11
JAFFA-Assembly	2	1	1	0.10
MapSplice	2	1	1	0.09
ChimeraScan	2	1	1	0.08
JAFFA-Hybrid	2	1	1	0.07
PRADA	2	1	1	0.07
nFuse	2	1	1	0.07
EricScript	2	1	1	0.05
deFuse	2	1	1	0.05
FusionHunter	2	1	1	0.04
STAR-Fusion	2	0	1	0.19
ChimPipe	2	0	1	0.13
TopHat-Fusion	2	0	1	0.13
InFusion	2	0	1	0.12
JAFFA-Direct	2	0	1	0.12
SOAP-fuse	2	0	1	0.12
FusionCatcher	2	0	1	0.11
JAFFA-Assembly	2	0	1	0.10
MapSplice	2	0	1	0.09
ChimeraScan	2	0	1	0.08
JAFFA-Hybrid	2	0	1	0.07
PRADA	2	0	1	0.07
nFuse	2	0	1	0.07
EricScript	2	0	1	0.05
deFuse	2	0	1	0.05
FusionHunter	2	0	1	0.04
STAR-Fusion	3	1	1	0.59
ChimPipe	3	1	1	0.39
JAFFA-Direct	3	1	1	0.34
SOAP-fuse	3	1	1	0.34
FusionCatcher	3	1	1	0.32
InFusion	3	1	1	0.32
TopHat-Fusion	3	1	1	0.31
MapSplice	3	1	1	0.27
JAFFA-Assembly	3	1	1	0.24
PRADA	3	1	1	0.22
JAFFA-Hybrid	3	1	1	0.17
ChimeraScan	3	1	1	0.15
FusionHunter	3	1	1	0.10
deFuse	3	1	1	0.07
nFuse	3	1	1	0.07
EricScript	3	1	1	0.06
STAR-Fusion	3	0	0	0.59
ChimPipe	3	0	0	0.38
SOAP-fuse	3	0	0	0.34
FusionCatcher	3	0	0	0.33
InFusion	3	0	0	0.33
JAFFA-Direct	3	0	0	0.32
TopHat-Fusion	3	0	0	0.29
MapSplice	3	0	0	0.27
PRADA	3	0	0	0.23
JAFFA-Assembly	3	0	0	0.22
JAFFA-Hybrid	3	0	0	0.16
ChimeraScan	3	0	0	0.15
FusionHunter	3	0	0	0.13
nFuse	3	0	0	0.10
deFuse	3	0	0	0.09
EricScript	3	0	0	0.06
STAR-Fusion	3	1	0	0.60
ChimPipe	3	1	0	0.39
JAFFA-Direct	3	1	0	0.34
SOAP-fuse	3	1	0	0.34
FusionCatcher	3	1	0	0.33
InFusion	3	1	0	0.32
TopHat-Fusion	3	1	0	0.30
MapSplice	3	1	0	0.26
JAFFA-Assembly	3	1	0	0.24
PRADA	3	1	0	0.22
JAFFA-Hybrid	3	1	0	0.17
ChimeraScan	3	1	0	0.15
FusionHunter	3	1	0	0.09
deFuse	3	1	0	0.07
nFuse	3	1	0	0.07
EricScript	3	1	0	0.06
