#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
81766	17	1576375	[1576375,1576491]	20	25845687	[25845400,25845699]	72	11	PRPF8	RP13-401N8.4	inter-chromosomal
85390	17	37339966	[37339966,37340117]	17	37876598	[37876143,37876602]	54	18	CACNB1	ERBB2	intra-chromosomal
97083	19	45397323	[45397218,45397323]	19	45175868	[45175865,45176211]	53	13	TOMM40	CEACAM19	intra-chromosomal
119879	3	48130263	[48130258,48130430]	3	48511244	[48511127,48511247]	53	10	MAP4	SHISA5	intra-chromosomal
30584	X	37314361	[37314180,37314361]	10	91045021	[91044793,91045021]	37	12	PRRG1	RP11-149I23.3	inter-chromosomal
90558	18	21462009	[21461900,21462011]	19	11024553	[11024550,11024730]	38	5	LAMA3	CARM1	inter-chromosomal
85395	17	37340483	[37340483,37340614]	17	37876087	[37876040,37876088]	28	8	CACNB1	ERBB2	intra-chromosomal
61812	14	65922436	[65922339,65922438]	14	65519956	[65519953,65520060]	36	1	FUT8	CHURC1-FNTB;FNTB	intra-chromosomal
125619	7	27161536	[27161538,27161645]	3	197497115	[197497026,197497116]	31	2	HOXA-AS2	FYTTD1	inter-chromosomal
62309	14	70826236	[70826236,70826322]	9	27941426	[27941390,27941429]	29	0	COX16	RP11-438B23.2	inter-chromosomal
130880	5	272887	[272824,272889]	5	206073	[205979,206074]	26	0	PDCD6	CCDC127	intra-chromosomal
61821	14	65527899	[65527896,65528311]	14	65922436	[65922339,65922436]	15	5	CHURC1-FNTB;FNTB	FUT8	intra-chromosomal
57694	14	19680595	[19680594,19680691]	14	19925240	[19925239,19925325]	26	0	AL589743.1	CTD-2314B22.3	intra-chromosomal
77400	16	30216211	[30216117,30216212]	16	28617254	[28617062,28617254]	1	12	RP11-347C12.3	SULT1A1	intra-chromosomal
90542	18	21456371	[21456258,21456373]	19	11024553	[11024553,11024730]	14	5	LAMA3	CARM1	inter-chromosomal
61568	14	62217603	[62217602,62217696]	14	62187323	[62187231,62187323]	17	0	RP11-618G20.2	HIF1A	readthrough-intersecting
120066	3	50085752	[50085678,50085753]	3	49547852	[49547852,49548152]	9	4	RBM6	DAG1	intra-chromosomal
27335	10	47747132	[47747010,47747133]	10	47099716	[47099609,47099716]	15	1	AL603965.1;ANXA8L2;C10orf43	RP11-314P12.2	intra-chromosomal
82526	17	9471688	[9471687,9471787]	17	9631271	[9631269,9631401]	9	3	STX8	USP43	intra-chromosomal
97482	19	46357433	[46357433,46357516]	19	47214299	[47214164,47214299]	12	1	SYMPK	PRKD2	intra-chromosomal
76995	16	28837297	[28837088,28837297]	16	28192262	[28192262,28192352]	6	3	ATXN2L	XPO6	intra-chromosomal
154260	9	140657272	[140657157,140657272]	9	140289856	[140289729,140289856]	7	2	EHMT1	EXD3	intra-chromosomal
43127	11	122026259	[122026259,122026331]	11	121962456	[121962383,121962456]	10	0	RP11-820L6.1	RP11-166D19.1	intra-chromosomal
89647	17	80588797	[80588796,80588883]	17	80622432	[80622371,80622434]	10	0	WDR45L	RAB40B	readthrough-adjacent
81757	17	9615449	[9615328,9615449]	17	1565447	[1565200,1565448]	8	1	USP43	PRPF8	intra-chromosomal
58723	14	24761402	[24761402,24761474]	14	24740517	[24740424,24740517]	10	0	DHRS1	RABGGTA	readthrough-adjacent
120064	3	50000118	[50000009,50000119]	3	49547845	[49547845,49548069]	2	4	RBM6	DAG1	intra-chromosomal
85567	17	37682569	[37682386,37682569]	17	37844949	[37844947,37845042]	6	2	CDK12	ERBB2	intra-chromosomal
122373	3	123330080	[123330080,123330160]	3	123304648	[123304576,123304648]	9	0	MYLK	MYLK-AS1	readthrough-intersecting
124661	3	184612713	[184612577,184612715]	3	184157032	[184157030,184157271]	5	2	VPS8	RP11-433C9.2	intra-chromosomal
93832	19	13213345	[13213345,13213497]	19	13346544	[13346429,13346545]	5	2	LYL1	CACNA1A	intra-chromosomal
90477	18	20832924	[20832922,20833030]	18	21663045	[21662892,21663045]	6	1	CABLES1	TTC39C	intra-chromosomal
72143	16	11890980	[11890980,11891055]	16	11914154	[11914073,11914157]	8	0	ZC3H7A	BCAR4	readthrough-adjacent
90545	18	21456371	[21456281,21456372]	19	11030271	[11030271,11030349]	8	0	LAMA3	CARM1	inter-chromosomal
153579	9	124725887	[124725885,124725980]	9	124633027	[124632968,124633030]	7	0	TTLL11-IT1	TTLL11	readthrough-intersecting
139609	6	72126113	[72126113,72126220]	6	72020345	[72020253,72020347]	5	1	LINC00472	RP11-154D6.1	intra-chromosomal
117663	22	41657450	[41657450,41657584]	22	42274088	[42273851,42274088]	5	1	RANGAP1	SREBF2	intra-chromosomal
113344	3	30713500	[30713295,30713500]	20	44044856	[44044856,44044983]	1	3	TGFBR2	PIGT	inter-chromosomal
156126	X	129263945	[129263945,129264038]	X	129354454	[129354378,129354456]	7	0	AIFM1	ZNF280C	intra-chromosomal
101106	2	46926592	[46926480,46926592]	2	47083062	[47083061,47083129]	5	1	SOCS5	AC016722.2	intra-chromosomal
90560	18	21462014	[21461900,21462014]	19	11027368	[11027368,11027453]	2	2	LAMA3	CARM1	inter-chromosomal
120271	3	53289852	[53289852,53289941]	3	53346415	[53346342,53346415]	6	0	TKT	DCP1A	intra-chromosomal
125621	3	197500307	[197500223,197500309]	7	27160605	[27160605,27160666]	4	1	FYTTD1	HOXA-AS2	inter-chromosomal
115206	21	35469582	[35469506,35469582]	21	35497641	[35497641,35497727]	6	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
57345	13	114550962	[114550735,114550962]	20	62563368	[62563368,62563508]	2	2	GAS6	DNAJC5	inter-chromosomal
131700	1	8923993	[8923993,8924110]	5	33467791	[33467791,33467931]	2	2	ENO1	TARS	inter-chromosomal
153860	9	131048312	[131048253,131048314]	9	131076087	[131076089,131076174]	5	0	SWI5	TRUB2	readthrough-adjacent
38340	11	65063461	[65063378,65063461]	11	65088015	[65088013,65088097]	5	0	POLA2	CDC42EP2	readthrough-adjacent
130927	5	272887	[272848,272889]	5	216974	[216887,216975]	5	0	PDCD6	CCDC127	intra-chromosomal
148728	8	100115348	[100115181,100115349]	8	99961067	[99961066,99961214]	3	1	VPS13B	OSR2	intra-chromosomal
102533	2	70310639	[70310639,70310688]	2	70410067	[70409982,70410069]	5	0	PCBP1-AS1	C2orf42	intra-chromosomal
147584	8	38948865	[38948801,38948867]	8	38975605	[38975605,38975666]	4	0	ADAM9	ADAM32	readthrough-adjacent
