#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
119654	17	48271341	[48271341,48271392]	7	94034005	[94034005,94034056]	1	16	COL1A1	COL1A2	inter-chromosomal
17826	1	160231075	[160231075,160231158]	2	183806891	[183806798,183806893]	22	2	DCAF8	NCKAP1	inter-chromosomal
17829	1	160232241	[160232239,160232333]	2	183806891	[183806803,183806891]	21	0	DCAF8;RP11-574F21.2	NCKAP1	inter-chromosomal
8217	1	85028940	[85028938,85029032]	1	84967653	[84967567,84967653]	16	0	CTBS	GNG5	readthrough-intersecting
113770	6	114270143	[114270141,114270251]	6	109983866	[109983754,109983868]	9	3	HDAC2	AKD1	intra-chromosomal
109006	5	92919484	[92919480,92919578]	5	92899169	[92899083,92899171]	15	0	NR2F1	RP11-65F13.2	readthrough-intersecting
127424	X	37808658	[37808563,37808658]	X	37892787	[37892785,37892864]	14	0	AL121578.2	SYTL5	readthrough-intersecting
68088	16	85205413	[85205254,85205413]	16	85391069	[85391067,85391192]	12	1	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
85232	2	69732701	[69732701,69732785]	2	69693684	[69693593,69693684]	13	0	AAK1	AC114772.1	readthrough-intersecting
92079	2	238330768	[238330766,238330857]	2	238305490	[238305399,238305491]	11	0	AC112721.1	COL6A3	readthrough-adjacent
92893	20	19780391	[19780302,19780392]	20	19870210	[19870209,19870296]	11	0	RP1-122P22.2	RIN2	intra-chromosomal
68092	16	85391249	[85391109,85391250]	16	85682158	[85682152,85682244]	8	1	RP11-680G10.1	KIAA0182	intra-chromosomal
24513	10	47770526	[47770427,47770527]	10	47099716	[47099567,47099716]	8	1	AL603965.1	RP11-314P12.2	intra-chromosomal
73407	17	45177201	[45177199,45177310]	9	92094730	[92094608,92094730]	7	1	RP11-156P1.3	SEMA4D	inter-chromosomal
58752	16	2147869	[2147867,2148000]	16	14805475	[14805475,14805560]	7	1	PKD1	RP11-719K4.1	intra-chromosomal
48623	14	24761402	[24761402,24761477]	14	24740517	[24740429,24740517]	8	0	DHRS1	RABGGTA	readthrough-adjacent
68091	16	85391249	[85391107,85391250]	16	85667520	[85667510,85667610]	6	1	RP11-680G10.1	KIAA0182	intra-chromosomal
28814	11	1780317	[1780238,1780317]	11	35250688	[35250687,35250784]	6	1	CTSD;RP11-295K3.1	CD44	intra-chromosomal
23433	10	29704341	[29704285,29704341]	10	29746577	[29746577,29746661]	6	0	RP11-534G20.3	SVIL	readthrough-intersecting
40748	12	54388800	[54388726,54388800]	12	54446944	[54446942,54447025]	6	0	HOXC6;HOXC9	HOXC4	readthrough-intersecting
39456	12	31478770	[31478770,31478862]	12	31451158	[31451090,31451159]	6	0	AC024940.1	FAM60A	readthrough-intersecting
50059	14	61262935	[61262933,61263018]	14	61189836	[61189769,61189836]	6	0	MNAT1	SIX4	readthrough-adjacent
115451	7	19040871	[19040805,19040871]	7	19095674	[19095674,19095751]	5	0	GS1-465N13.1	TWIST1	readthrough-adjacent
44030	12	124069115	[124069115,124069212]	12	112451277	[112451276,112451338]	4	0	RP11-486O12.2;TMED2	ERP29	intra-chromosomal
