#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
43244	12	51663029	[51663028,51663442]	12	51493562	[51493438,51493564]	156	16	SMAGP	TFCP2	intra-chromosomal
19293	1	202714986	[202714985,202715110]	1	190449475	[190449475,190449778]	47	22	KDM5B	RP11-161I10.1;RP11-547I7.2	intra-chromosomal
28757	10	76871480	[76871345,76871485]	10	76285014	[76285012,76285150]	51	2	SAMD8	ADK	intra-chromosomal
129927	9	124725887	[124725885,124725976]	9	124633027	[124632945,124633030]	24	0	TTLL11-IT1	TTLL11	readthrough-intersecting
56123	14	73925199	[73925199,73925276]	14	73141076	[73140989,73141079]	24	0	NUMB	DPF3	intra-chromosomal
113360	5	138348336	[138348335,138348426]	5	138089199	[138089129,138089199]	20	0	CTB-46B19.2	CTNNA1	readthrough-adjacent
39532	11	122026259	[122026259,122026334]	11	121962456	[121962383,121962456]	19	0	RP11-820L6.1	RP11-166D19.1	intra-chromosomal
102866	3	123330081	[123330080,123330172]	3	123304648	[123304567,123304648]	18	0	MYLK	MYLK-AS1	readthrough-intersecting
122520	7	105162499	[105162498,105162628]	7	106106382	[106106259,106106383]	11	1	PUS7	CTB-111H14.1	intra-chromosomal
74223	17	45016171	[45016171,45016210]	5	141691526	[141691433,141691526]	13	0	GOSR2	SPRY4	inter-chromosomal
103861	3	145878668	[145878661,145878821]	3	158963627	[158963627,158963696]	3	4	PLOD2	IQCJ;IQCJ-SCHIP1	intra-chromosomal
113355	5	138356860	[138356860,138356981]	5	138080451	[138080291,138080453]	9	1	CTB-46B19.2;SIL1	AC034243.1	readthrough-adjacent
20053	1	206225393	[206225195,206225393]	1	207934791	[207934594,207934791]	5	3	AVPR1B	CD46	intra-chromosomal
55399	14	62217603	[62217602,62217685]	14	62187323	[62187240,62187323]	9	0	RP11-618G20.2	HIF1A	readthrough-intersecting
52997	14	24761402	[24761402,24761477]	14	24740517	[24740440,24740517]	9	0	DHRS1	RABGGTA	readthrough-adjacent
55180	14	61262935	[61262933,61263028]	14	61189836	[61189764,61189836]	9	0	MNAT1	SIX4	readthrough-adjacent
89899	22	51207865	[51207865,51208046]	2	114395618	[114395618,114395774]	1	4	RABL2B	RABL2A	inter-chromosomal
93785	2	238333862	[238333860,238333943]	2	238305490	[238305408,238305492]	8	0	AC112721.1	COL6A3	readthrough-adjacent
18223	10	89653866	[89653782,89653866]	1	169763038	[169762918,169763040]	6	1	PTEN	METTL18	inter-chromosomal
27877	10	75597226	[75597226,75597276]	10	70770656	[70770654,70770738]	6	1	CAMK2G	KIAA1279	intra-chromosomal
20719	16	72661434	[72661437,72661584]	1	217915317	[217915314,217915440]	6	1	AC004158.2	SPATA17	inter-chromosomal
97137	21	37818305	[37818216,37818304]	21	37852529	[37852528,37852584]	7	0	AP000695.4	AP000695.6	readthrough-intersecting
54904	14	55817099	[55817097,55817166]	14	55738703	[55738632,55738703]	6	0	FBXO34	RP11-665C16.6	readthrough-intersecting
97083	21	35469582	[35469518,35469582]	21	35497641	[35497641,35497734]	6	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
122492	7	103122611	[103122611,103122691]	7	103087115	[103087083,103087115]	6	0	RELN	CTB-107G13.1	readthrough-intersecting
66415	16	20907630	[20907628,20907695]	16	20873965	[20873906,20873966]	5	0	ERI2	DCUN1D3	readthrough-intersecting
38226	11	85565737	[85565737,85565797]	11	85469157	[85469068,85469158]	5	0	AP000974.1	SYTL2	readthrough-adjacent
74282	17	45730242	[45730060,45730242]	17	45258909	[45258909,45259022]	3	1	KPNB1	CDC27	intra-chromosomal
