#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
61249	17	48271934	[48271937,48271987]	7	94038666	[94038666,94038732]	1	10	COL1A1	COL1A2	inter-chromosomal
94011	6	41874752	[41874738,41874840]	6	41839375	[41839309,41839377]	20	0	MED20	USP49	readthrough-adjacent
61166	17	48266742	[48266742,48266899]	7	94029541	[94029541,94029600]	1	9	COL1A1	COL1A2	inter-chromosomal
79954	22	21065102	[21064653,21065102]	22	20379483	[20379483,20379689]	1	7	PI4KA	AC023490.1	intra-chromosomal
46232	15	68510874	[68510874,68510957]	15	68489966	[68489886,68489967]	10	0	CLN6	CALML4;RP11-315D16.2	readthrough-intersecting
58814	17	28850377	[28850272,28850378]	20	30053466	[30053357,30053468]	8	1	GOSR1	DEFB124	inter-chromosomal
77255	20	9449218	[9449217,9449319]	3	131206112	[131206009,131206113]	8	1	PLCB4	MRPL3	inter-chromosomal
29263	11	122026259	[122026259,122026333]	11	121962456	[121962381,121962456]	9	0	RP11-820L6.1	RP11-166D19.1	intra-chromosomal
94010	6	41874511	[41874511,41874591]	6	41839375	[41839304,41839377]	9	0	MED20	USP49	readthrough-adjacent
67651	19	44156377	[44156376,44156465]	19	44131942	[44131854,44131943]	9	0	PLAUR	CADM4	readthrough-adjacent
98293	7	94055146	[94055092,94055146]	17	48265290	[48265241,48265290]	1	3	COL1A2	COL1A1	inter-chromosomal
79221	21	35469582	[35469523,35469582]	21	35497641	[35497641,35497733]	7	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
70580	2	69732701	[69732701,69732780]	2	69693684	[69693605,69693684]	6	0	AAK1	AC114772.1	readthrough-intersecting
56087	16	85205413	[85205334,85205413]	16	85391069	[85391067,85391146]	6	0	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
26869	11	65063461	[65063366,65063461]	11	65088015	[65088013,65088097]	6	0	POLA2	CDC42EP2	readthrough-adjacent
28220	11	76479154	[76479154,76479245]	11	76424230	[76424160,76424233]	5	0	RP11-21L23.4	RP11-672A2.1	readthrough-adjacent
