#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
120308	7	74233357	[74233357,74233449]	7	74528064	[74528064,74528500]	1	18	GTF2IRD2	GTF2IRD2B	intra-chromosomal
27115	10	97810223	[97810058,97810223]	10	97951848	[97951727,97951848]	9	3	CCNJ	BLNK	intra-chromosomal
129061	9	140637980	[140637827,140637980]	9	140507348	[140507346,140507458]	7	3	EHMT1	ARRDC1	intra-chromosomal
83158	19	44156377	[44156376,44156469]	19	44131942	[44131854,44131943]	10	0	PLAUR	CADM4	readthrough-adjacent
49159	14	24761402	[24761402,24761492]	14	24740517	[24740438,24740517]	9	0	DHRS1	RABGGTA	readthrough-adjacent
107923	7	39773643	[39773450,39773646]	4	119526739	[119526742,119526887]	3	3	LINC00265	RP11-384K6.6	inter-chromosomal
40428	12	54559158	[54559158,54559262]	20	29565936	[29565771,29565936]	7	1	SMUG1	RP4-610C12.1	inter-chromosomal
64487	16	20907630	[20907628,20907702]	16	20873965	[20873880,20873966]	8	0	ERI2	DCUN1D3	readthrough-intersecting
97563	21	35469582	[35469495,35469582]	21	35497641	[35497641,35497730]	7	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
51938	14	70826236	[70826236,70826328]	9	27941429	[27941392,27941429]	7	0	COX16	RP11-438B23.2	inter-chromosomal
103072	3	123304648	[123304564,123304648]	3	123330081	[123330080,123330147]	6	0	MYLK-AS1	MYLK	readthrough-intersecting
85295	3	195511052	[195511052,195511111]	19	58898636	[58898635,58898706]	2	2	MUC4	RPS5	inter-chromosomal
19614	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	6	0	C1orf95	MUM1	inter-chromosomal
87487	2	69732701	[69732701,69732782]	2	69693684	[69693627,69693684]	5	0	AAK1	AC114772.1	readthrough-intersecting
38718	12	40258564	[40258564,40258648]	12	40224282	[40224208,40224285]	4	0	SLC2A13	AC121336.2	readthrough-intersecting
