#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
4654	1	33116034	[33116030,33116158]	1	33246746	[33246649,33246747]	76	2	ZBTB8OS	YARS	intra-chromosomal
69173	18	74534618	[74534517,74534619]	18	9950392	[9950391,9950500]	33	1	ZNF236	VAPA	intra-chromosomal
67755	17	70845773	[70845769,70845943]	17	70614703	[70614464,70614705]	7	3	SLC39A11	LINC00511	intra-chromosomal
22320	10	29746577	[29746577,29746671]	10	29704341	[29704294,29704341]	10	0	SVIL	RP11-534G20.3	readthrough-intersecting
102701	6	73332315	[73332244,73332315]	6	73386819	[73386819,73386907]	10	0	KCNQ5	KCNQ5-IT1	readthrough-intersecting
7420	1	85028940	[85028926,85029032]	1	84967653	[84967571,84967653]	9	0	CTBS	GNG5	readthrough-intersecting
57195	16	20907630	[20907628,20907711]	16	20873965	[20873880,20873966]	9	0	ERI2	DCUN1D3	readthrough-intersecting
103928	6	166399596	[166399596,166399680]	6	166324420	[166324331,166324422]	9	0	RP11-252P19.3	LINC00473	readthrough-intersecting
6040	1	51984871	[51984870,51984998]	12	65078567	[65078565,65078674]	5	1	EPS15	RASSF3	inter-chromosomal
17560	1	168212307	[168212230,168212307]	1	168260398	[168260396,168260490]	6	0	SFT2D2	TBX19	intra-chromosomal
33069	12	1099256	[1099166,1099256]	12	1136914	[1136913,1136992]	6	0	RAD52;RP11-359B12.1	ERC1	readthrough-intersecting
47852	15	40854180	[40854180,40854240]	7	26241365	[26241365,26241446]	2	2	C15orf57	CBX3	inter-chromosomal
109650	9	22723429	[22723339,22723429]	9	22767174	[22767171,22767223]	5	0	RP11-399D6.2	RP11-370B11.3	readthrough-intersecting
76553	2	69732701	[69732701,69732793]	2	69693684	[69693592,69693684]	5	0	AAK1	AC114772.1	readthrough-intersecting
20093	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	4	0	C1orf95	MUM1	inter-chromosomal
