#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
21199	10	25010766	[25010765,25011087]	10	28196706	[28196592,28196708]	183	34	ARHGAP21	ARMC4	intra-chromosomal
89335	20	32850638	[32850638,32850720]	21	45535801	[45535572,45535801]	128	14	ASIP	PWP2	inter-chromosomal
66210	16	74640555	[74640554,74640829]	16	74774013	[74773921,74774015]	88	6	GLG1	FA2H	intra-chromosomal
21198	10	25010766	[25010765,25011051]	10	28151551	[28151363,28151553]	25	14	ARHGAP21	ARMC4	intra-chromosomal
120622	X	108978277	[108978186,108978277]	X	108921217	[108921217,108921309]	24	0	AL138968.1	ACSL4	readthrough-intersecting
66465	16	85205413	[85205203,85205413]	16	85391069	[85391067,85391234]	14	5	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
71855	17	57697534	[57697264,57697534]	17	57808782	[57808780,57808883]	15	3	CLTC	VMP1	intra-chromosomal
114756	7	157178305	[157178233,157178305]	7	157023774	[157023773,157024021]	11	5	DNAJB6	UBE3C	intra-chromosomal
116622	8	141900642	[141900642,141900868]	8	141530788	[141530606,141530788]	14	2	PTK2	CTA-204B4.6	intra-chromosomal
76394	19	12551726	[12551726,12551894]	3	193096665	[193096528,193096665]	11	1	ZNF443	ATP13A5	inter-chromosomal
71854	17	57697534	[57697445,57697535]	17	57784885	[57784885,57784960]	12	0	CLTC	PTRH2;VMP1	readthrough-adjacent
66468	16	85391249	[85391122,85391250]	16	85682158	[85682155,85682244]	8	2	RP11-680G10.1	KIAA0182	intra-chromosomal
116538	8	130915558	[130915558,130915594]	8	131073315	[131073225,131073317]	11	0	FAM49B	ASAP1	readthrough-adjacent
37894	12	31478770	[31478770,31478861]	12	31451158	[31451092,31451159]	10	0	AC024940.1	FAM60A	readthrough-intersecting
36918	12	12879030	[12878965,12879032]	12	12788711	[12788708,12788795]	8	0	APOLD1;RP11-59H1.3	CREBL2	intra-chromosomal
83296	2	99061548	[99061494,99061549]	5	911958	[911954,912044]	8	0	INPP4A	TRIP13	inter-chromosomal
40620	12	69987393	[69987320,69987395]	20	54945078	[54944889,54945078]	3	2	CCT2	AURKA	inter-chromosomal
16866	1	180953813	[180953812,180953907]	1	180914124	[180914040,180914124]	7	0	STX6	RP11-46A10.5	readthrough-intersecting
116496	8	128231055	[128231055,128231124]	8	128200360	[128200289,128200361]	6	0	RP11-255B23.3	RP11-255B23.4	readthrough-adjacent
119191	9	124975885	[124975883,124975968]	9	124914687	[124914600,124914687]	6	0	LHX6	NDUFA8	intra-chromosomal
50867	14	104378854	[104378853,104379031]	2	176045933	[176045933,176046194]	2	2	C14orf2	ATP5G3	inter-chromosomal
81348	2	69732701	[69732701,69732793]	2	69693684	[69693603,69693684]	6	0	AAK1	AC114772.1	readthrough-intersecting
88297	20	2854406	[2854357,2854408]	20	2572956	[2572956,2573042]	5	0	PTPRA	TMC2	intra-chromosomal
117135	9	4827033	[4826916,4827033]	9	5233654	[5233654,5233882]	3	1	RCL1	INSL4	intra-chromosomal
115454	8	43002206	[43002159,43002206]	8	42865448	[42865448,42865525]	4	0	HGSNAT	HOOK3	intra-chromosomal
16872	1	180953813	[180953813,180953861]	1	180920054	[180919965,180920055]	4	0	STX6	KIAA1614;RP11-46A10.4	readthrough-intersecting
