#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
173534	8	124279513	[124279512,124279626]	8	120818641	[120818523,120818641]	49	18	ZHX1;ZHX1-C8ORF76	TAF2	intra-chromosomal
173124	8	114110985	[114110983,114111192]	8	129440630	[129440242,129440636]	42	21	CSMD3	RP11-89M16.1	intra-chromosomal
173430	8	124279513	[124279513,124279626]	8	120816267	[120816118,120816267]	3	16	ZHX1;ZHX1-C8ORF76	TAF2	intra-chromosomal
66342	14	19925240	[19925239,19925326]	14	19680595	[19680594,19680681]	28	0	CTD-2314B22.3	AL589743.1	intra-chromosomal
165359	7	43832411	[43832314,43832411]	7	43680248	[43680137,43680250]	6	8	BLVRA	C7orf44	readthrough-adjacent
118477	19	49303425	[49303425,49303876]	19	49674987	[49674693,49674987]	4	7	BCAT2	TRPM4	intra-chromosomal
173657	8	125551266	[125551266,125551323]	8	125597402	[125597328,125597403]	17	0	TATDN1	MTSS1	intra-chromosomal
70124	14	58669573	[58669572,58669645]	14	58711659	[58711569,58711662]	16	0	ACTR10	PSMA3	readthrough-intersecting
131455	2	219433701	[219433579,219433704]	2	218947833	[218947832,218947962]	11	1	RQCD1	RUFY4	intra-chromosomal
2458	1	8877219	[8877219,8877530]	1	9145201	[9145073,9145203]	9	2	RERE	SLC2A5	intra-chromosomal
108784	18	2796519	[2796405,2796519]	3	14214562	[14214367,14214565]	8	2	SMCHD1	XPC	inter-chromosomal
156589	5	118862914	[118862828,118862914]	5	118728511	[118728509,118728724]	6	3	HSD17B4	TNFAIP8	intra-chromosomal
98024	16	85391249	[85391163,85391250]	16	85667520	[85667517,85667601]	9	0	RP11-680G10.1	KIAA0182	intra-chromosomal
46483	11	66361185	[66361113,66361185]	11	65994971	[65994971,65995055]	1	4	CCS	PACS1	intra-chromosomal
28176	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356414]	9	0	C1orf95	MUM1	inter-chromosomal
178931	9	98079808	[98079808,98079950]	9	98241429	[98241282,98241430]	2	3	FANCC	PTCH1	intra-chromosomal
27519	1	222988513	[222988434,222988513]	1	223116149	[223116148,223116239]	8	0	RP11-452F19.3	DISP1	readthrough-intersecting
137568	22	17083105	[17082821,17083105]	5	121814516	[121814402,121814516]	4	2	TPTEP1	CTC-210G5.1	inter-chromosomal
181097	X	53713646	[53713551,53713646]	12	57625600	[57625597,57625661]	8	0	HUWE1	SHMT2	inter-chromosomal
136973	21	35469582	[35469492,35469582]	21	35497641	[35497641,35497721]	7	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
31616	10	29704341	[29704283,29704341]	10	29746577	[29746577,29746658]	7	0	RP11-534G20.3	SVIL	readthrough-intersecting
67448	14	23564060	[23564060,23564326]	14	23829981	[23829824,23829981]	1	3	ACIN1;C14orf119	EFS	intra-chromosomal
130182	2	190532671	[190532619,190532673]	2	190554253	[190554250,190554335]	6	0	ASNSD1	ANKAR	readthrough-adjacent
97359	16	70472852	[70472851,70472924]	16	70305875	[70305811,70305877]	6	0	ST3GAL2	AARS	intra-chromosomal
101788	3	14199511	[14199511,14199719]	17	25792142	[25792099,25792142]	2	2	XPC	RP11-720N19.2	inter-chromosomal
169276	7	96635671	[96635671,96635756]	7	96598430	[96598342,96598432]	5	0	DLX6;DLX6-AS2	DLX6-AS1	readthrough-intersecting
