#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
566620	8	125551266	[125551262,125551326]	17	38066177	[38066061,38066179]	549	10	TATDN1	GSDMB	inter-chromosomal
489283	16	3421234	[3421232,3421259]	17	22023736	[22023733,22023782]	481	0	MTRNR2L4	MTRNR2L1	inter-chromosomal
585743	8	120252405	[120252404,120252465]	17	71282399	[71282249,71282400]	211	1	MAL2	CDC42EP4	inter-chromosomal
566578	8	125551266	[125551263,125551324]	17	38062238	[38062175,38062239]	127	3	TATDN1	GSDMB	inter-chromosomal
173680	10	37891401	[37891401,37891431]	17	22022943	[22022943,22022979]	99	0	MTRNR2L7	MTRNR2L1	inter-chromosomal
959696	8	86571374	[86571373,86571581]	8	71495399	[71495398,71495559]	8	30	REXO1L1	TRAM1	intra-chromosomal
590949	17	76778284	[76778283,76778377]	8	117768258	[117768191,117768260]	26	19	CYTH1	EIF3H	inter-chromosomal
1057578	8	125551266	[125551265,125551308]	17	38062524	[38062483,38062525]	56	0	TATDN1	GSDMB	inter-chromosomal
567579	17	38465538	[38465437,38465538]	8	79485046	[79485043,79485174]	9	8	RARA	PKIA	inter-chromosomal
700048	2	132290346	[132290344,132290346]	2	130914944	[130914824,130914944]	1	12	CCDC74A	SMPD4	intra-chromosomal
782614	3	4418014	[4418013,4418073]	3	37170640	[37170569,37170641]	11	6	SUMF1	LRRFIP2	intra-chromosomal
884261	5	139825560	[139825384,139825561]	5	141234001	[141233758,141234003]	6	7	ANKHD1;ANKHD1-EIF4EBP3	PCDH1	intra-chromosomal
177794	10	46951762	[46951636,46951762]	10	88950698	[88950698,88950836]	1	9	RP11-38L15.2;RP11-38L15.3	FAM35A	intra-chromosomal
782618	3	4452549	[4452548,4452662]	3	37170640	[37170554,37170640]	6	4	SUMF1	LRRFIP2	intra-chromosomal
622413	X	102008013	[102007903,102008013]	19	5567676	[5567676,5567825]	2	6	BHLHB9	PLAC2	inter-chromosomal
730944	2	241696821	[241696818,241696837]	7	26233314	[26233270,26233317]	15	0	KIF1A	HNRNPA2B1	inter-chromosomal
437068	14	100002352	[100002352,100002425]	14	99880271	[99880238,99880274]	6	3	CCDC85C	SETD3	intra-chromosomal
567580	17	38465538	[38465450,38465538]	8	79510593	[79510591,79510748]	1	5	RARA	PKIA	inter-chromosomal
742813	20	47364346	[47364345,47364417]	20	34215312	[34215204,34215312]	1	5	PREX1	CPNE1	intra-chromosomal
87761	1	144161997	[144161997,144162106]	1	144836166	[144836164,144836166]	1	4	RP3-377D14.1	PDE4DIP	intra-chromosomal
559077	17	29206505	[29206441,29206506]	17	60650576	[60650575,60650796]	3	2	ATAD5	TLK2	intra-chromosomal
412166	14	50249312	[50249261,50249313]	8	121561198	[121561042,121561199]	3	2	KLHDC2	SNTB1	inter-chromosomal
555524	17	27049452	[27049452,27049634]	2	44461382	[44461382,44461483]	1	3	AC010761.8;RPL23A;SNORD4A	PPM1B	inter-chromosomal
738204	20	19780391	[19780347,19780392]	20	19870210	[19870209,19870251]	6	0	RP1-122P22.2	RIN2	intra-chromosomal
682181	2	69732701	[69732701,69732746]	2	69693684	[69693643,69693684]	6	0	AAK1	AC114772.1	readthrough-intersecting
961111	8	80954855	[80954854,80954903]	8	80831383	[80831287,80831386]	4	1	TPD52	MRPS28	readthrough-intersecting
230834	11	8968910	[8968910,8968959]	14	23370592	[23370349,23370592]	2	2	TMEM9B	RBM23	inter-chromosomal
266951	11	72492339	[72492283,72492341]	19	19257370	[19257147,19257370]	4	1	STARD10	MEF2B;MEF2BNB-MEF2B	inter-chromosomal
317323	7	16841427	[16841346,16841429]	12	49397743	[49397568,49397743]	2	2	AGR2	PRKAG1	inter-chromosomal
588163	2	54856774	[54856651,54856774]	17	73840453	[73840321,73840453]	4	1	SPTBN1	UNC13D	inter-chromosomal
623987	19	7460133	[7460104,7460134]	20	57478586	[57478584,57478632]	6	0	ARHGEF18	GNAS	inter-chromosomal
237703	11	18720439	[18720420,18720440]	19	3984348	[3984298,3984349]	6	0	TMEM86A	EEF2	inter-chromosomal
411812	14	50050297	[50050295,50050341]	17	27857436	[27857436,27857480]	5	0	RPS29	TAOK1	inter-chromosomal
367353	17	79805119	[79805119,79805162]	13	21549327	[21549304,21549330]	6	0	P4HB	LATS2	inter-chromosomal
540731	17	7125667	[7125555,7125667]	12	57039702	[57039662,57039715]	3	1	ACADVL	ATP5B	inter-chromosomal
741805	20	37597857	[37597724,37597855]	20	32957200	[32957198,32957258]	3	1	DHX35	ITCH	intra-chromosomal
270709	5	176887645	[176887644,176887665]	11	77790894	[77790848,77790894]	5	0	DBN1	NDUFC2;NDUFC2-KCTD14	inter-chromosomal
711955	11	66263166	[66263166,66263194]	2	176046438	[176046386,176046437]	5	0	DPP3	ATP5G3	inter-chromosomal
560633	17	32965154	[32965134,32965154]	19	40331155	[40331118,40331157]	5	0	TMEM132E	FBL	inter-chromosomal
961482	8	124096580	[124096546,124096582]	8	81733850	[81733810,81733852]	4	0	WDR67	ZNF704	intra-chromosomal
649190	19	45324173	[45324171,45324213]	20	61445231	[61445226,61445246]	5	0	BCAM	OGFR	inter-chromosomal
756177	20	62505169	[62505147,62505169]	20	62559688	[62559688,62559736]	4	0	TPD52L2	DNAJC5	readthrough-adjacent
1027936	11	34154607	[34154607,34154644]	5	179156426	[179156425,179156476]	4	0	NAT10	CANX	inter-chromosomal
424814	5	177019204	[177019204,177019254]	14	75276200	[75276200,75276246]	4	0	TMED9	YLPM1	inter-chromosomal
