prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
STAR-Fusion	2	611	176	72	0.89	0.78	0.831
STAR-Fusion	3	561	61	122	0.82	0.9	0.858
STAR-Fusion	4	512	27	171	0.75	0.95	0.838
STAR-Fusion	5	458	12	225	0.67	0.97	0.793
STAR-Fusion	6	413	11	270	0.60	0.97	0.741
STAR-Fusion	7	381	8	302	0.56	0.98	0.713
STAR-Fusion	8	345	5	338	0.51	0.99	0.673
STAR-Fusion	9	305	4	378	0.45	0.99	0.619
STAR-Fusion	10	281	3	402	0.41	0.99	0.580
STAR-Fusion	11	258	2	425	0.38	0.99	0.549
STAR-Fusion	12	232	1	451	0.34	1	0.507
STAR-Fusion	13	221	1	462	0.32	1	0.485
STAR-Fusion	14	209	1	474	0.31	1	0.473
STAR-Fusion	15	196	1	487	0.29	0.99	0.449
STAR-Fusion	16	185	1	498	0.27	0.99	0.424
STAR-Fusion	17	173	0	510	0.25	1	0.400
STAR-Fusion	18	165	0	518	0.24	1	0.387
STAR-Fusion	19	155	0	528	0.23	1	0.374
STAR-Fusion	20	148	0	535	0.22	1	0.361
STAR-Fusion	21	143	0	540	0.21	1	0.347
STAR-Fusion	22	139	0	544	0.20	1	0.333
STAR-Fusion	23	132	0	551	0.19	1	0.319
STAR-Fusion	24	130	0	553	0.19	1	0.319
STAR-Fusion	25	126	0	557	0.18	1	0.305
STAR-Fusion	26	125	0	558	0.18	1	0.305
STAR-Fusion	27	119	0	564	0.17	1	0.291
STAR-Fusion	28	116	0	567	0.17	1	0.291
STAR-Fusion	29	113	0	570	0.17	1	0.291
STAR-Fusion	30	111	0	572	0.16	1	0.276
STAR-Fusion	31	106	0	577	0.16	1	0.276
STAR-Fusion	32	105	0	578	0.15	1	0.261
STAR-Fusion	33	102	0	581	0.15	1	0.261
STAR-Fusion	34	98	0	585	0.14	1	0.246
STAR-Fusion	35	95	0	588	0.14	1	0.246
STAR-Fusion	36	93	0	590	0.14	1	0.246
STAR-Fusion	37	90	0	593	0.13	1	0.230
STAR-Fusion	38	87	0	596	0.13	1	0.230
STAR-Fusion	39	84	0	599	0.12	1	0.214
STAR-Fusion	40	80	0	603	0.12	1	0.214
STAR-Fusion	41	78	0	605	0.11	1	0.198
STAR-Fusion	42	76	0	607	0.11	1	0.198
STAR-Fusion	43	75	0	608	0.11	1	0.198
STAR-Fusion	45	74	0	609	0.11	1	0.198
STAR-Fusion	46	70	0	613	0.10	1	0.182
STAR-Fusion	47	69	0	614	0.10	1	0.182
STAR-Fusion	49	64	0	619	0.09	1	0.165
STAR-Fusion	50	62	0	621	0.09	1	0.165
STAR-Fusion	51	61	0	622	0.09	1	0.165
STAR-Fusion	52	59	0	624	0.09	1	0.165
STAR-Fusion	53	57	0	626	0.08	1	0.148
STAR-Fusion	55	56	0	627	0.08	1	0.148
STAR-Fusion	57	53	0	630	0.08	1	0.148
STAR-Fusion	59	52	0	631	0.08	1	0.148
STAR-Fusion	61	49	0	634	0.07	1	0.131
STAR-Fusion	62	48	0	635	0.07	1	0.131
STAR-Fusion	64	46	0	637	0.07	1	0.131
STAR-Fusion	66	45	0	638	0.07	1	0.131
STAR-Fusion	67	44	0	639	0.06	1	0.113
STAR-Fusion	68	42	0	641	0.06	1	0.113
STAR-Fusion	69	38	0	645	0.06	1	0.113
STAR-Fusion	70	37	0	646	0.05	1	0.095
STAR-Fusion	74	36	0	647	0.05	1	0.095
STAR-Fusion	75	35	0	648	0.05	1	0.095
STAR-Fusion	76	34	0	649	0.05	1	0.095
STAR-Fusion	77	33	0	650	0.05	1	0.095
STAR-Fusion	78	31	0	652	0.05	1	0.095
STAR-Fusion	80	30	0	653	0.04	1	0.077
STAR-Fusion	86	29	0	654	0.04	1	0.077
STAR-Fusion	87	27	0	656	0.04	1	0.077
STAR-Fusion	91	26	0	657	0.04	1	0.077
STAR-Fusion	98	25	0	658	0.04	1	0.077
STAR-Fusion	105	24	0	659	0.04	1	0.077
STAR-Fusion	107	23	0	660	0.03	1	0.058
STAR-Fusion	110	22	0	661	0.03	1	0.058
STAR-Fusion	111	21	0	662	0.03	1	0.058
STAR-Fusion	127	20	0	663	0.03	1	0.058
STAR-Fusion	131	19	0	664	0.03	1	0.058
STAR-Fusion	141	18	0	665	0.03	1	0.058
STAR-Fusion	154	17	0	666	0.02	1	0.039
STAR-Fusion	156	16	0	667	0.02	1	0.039
STAR-Fusion	172	15	0	668	0.02	1	0.039
STAR-Fusion	180	14	0	669	0.02	1	0.039
