data_set	prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
sim_50	STAR-Fusion	2	404	8	96	0.81	0.98	0.887
sim_50	STAR-Fusion	3	402	8	98	0.80	0.98	0.881
sim_50	STAR-Fusion	4	395	7	105	0.79	0.98	0.875
sim_50	STAR-Fusion	5	390	6	110	0.78	0.98	0.869
sim_50	STAR-Fusion	6	388	5	112	0.78	0.99	0.873
sim_50	STAR-Fusion	7	384	5	116	0.77	0.99	0.866
sim_50	STAR-Fusion	8	379	5	121	0.76	0.99	0.860
sim_50	STAR-Fusion	9	373	5	127	0.75	0.99	0.853
sim_50	STAR-Fusion	10	368	5	132	0.74	0.99	0.847
sim_50	STAR-Fusion	11	365	5	135	0.73	0.99	0.840
sim_50	STAR-Fusion	12	363	4	137	0.73	0.99	0.840
sim_50	STAR-Fusion	13	357	4	143	0.71	0.99	0.827
sim_50	STAR-Fusion	15	354	4	146	0.71	0.99	0.827
sim_50	STAR-Fusion	16	351	4	149	0.70	0.99	0.820
sim_50	STAR-Fusion	17	349	4	151	0.70	0.99	0.820
sim_50	STAR-Fusion	18	345	4	155	0.69	0.99	0.813
sim_50	STAR-Fusion	19	341	4	159	0.68	0.99	0.806
sim_50	STAR-Fusion	20	338	4	162	0.68	0.99	0.806
sim_50	STAR-Fusion	21	332	4	168	0.66	0.99	0.792
sim_50	STAR-Fusion	22	329	4	171	0.66	0.99	0.792
sim_50	STAR-Fusion	23	328	4	172	0.66	0.99	0.792
sim_50	STAR-Fusion	24	326	4	174	0.65	0.99	0.785
sim_50	STAR-Fusion	25	323	4	177	0.65	0.99	0.785
sim_50	STAR-Fusion	26	316	4	184	0.63	0.99	0.770
sim_50	STAR-Fusion	28	314	4	186	0.63	0.99	0.770
sim_50	STAR-Fusion	29	312	4	188	0.62	0.99	0.762
sim_50	STAR-Fusion	30	307	4	193	0.61	0.99	0.755
sim_50	STAR-Fusion	31	306	4	194	0.61	0.99	0.755
sim_50	STAR-Fusion	32	305	4	195	0.61	0.99	0.755
sim_50	STAR-Fusion	33	303	4	197	0.61	0.99	0.755
sim_50	STAR-Fusion	34	300	4	200	0.60	0.99	0.747
sim_50	STAR-Fusion	35	299	4	201	0.60	0.99	0.747
sim_50	STAR-Fusion	36	297	4	203	0.59	0.99	0.739
sim_50	STAR-Fusion	38	297	3	203	0.59	0.99	0.739
sim_50	STAR-Fusion	39	296	3	204	0.59	0.99	0.739
sim_50	STAR-Fusion	40	295	3	205	0.59	0.99	0.739
sim_50	STAR-Fusion	42	294	3	206	0.59	0.99	0.739
sim_50	STAR-Fusion	43	293	3	207	0.59	0.99	0.739
sim_50	STAR-Fusion	45	290	3	210	0.58	0.99	0.731
sim_50	STAR-Fusion	48	289	3	211	0.58	0.99	0.731
sim_50	STAR-Fusion	50	288	3	212	0.58	0.99	0.731
sim_50	STAR-Fusion	52	287	3	213	0.57	0.99	0.723
sim_50	STAR-Fusion	53	286	3	214	0.57	0.99	0.723
sim_50	STAR-Fusion	54	285	3	215	0.57	0.99	0.723
sim_50	STAR-Fusion	55	284	3	216	0.57	0.99	0.723
sim_50	STAR-Fusion	56	280	3	220	0.56	0.99	0.715
sim_50	STAR-Fusion	57	279	3	221	0.56	0.99	0.715
sim_50	STAR-Fusion	58	278	3	222	0.56	0.99	0.715
sim_50	STAR-Fusion	60	277	3	223	0.55	0.99	0.707
sim_50	STAR-Fusion	63	274	3	226	0.55	0.99	0.707
sim_50	STAR-Fusion	66	273	3	227	0.55	0.99	0.707
sim_50	STAR-Fusion	67	272	3	228	0.54	0.99	0.699
sim_50	STAR-Fusion	70	271	3	229	0.54	0.99	0.699
sim_50	STAR-Fusion	72	270	3	230	0.54	0.99	0.699
sim_50	STAR-Fusion	73	269	3	231	0.54	0.99	0.699
sim_50	STAR-Fusion	75	268	3	232	0.54	0.99	0.699
sim_50	STAR-Fusion	77	265	3	235	0.53	0.99	0.690
sim_50	STAR-Fusion	79	264	3	236	0.53	0.99	0.690
sim_50	STAR-Fusion	83	262	3	238	0.52	0.99	0.682
sim_50	STAR-Fusion	87	260	3	240	0.52	0.99	0.682
sim_50	STAR-Fusion	90	259	3	241	0.52	0.99	0.682
sim_50	STAR-Fusion	91	257	3	243	0.51	0.99	0.673
sim_50	STAR-Fusion	93	255	3	245	0.51	0.99	0.673
sim_50	STAR-Fusion	94	254	3	246	0.51	0.99	0.673
sim_50	STAR-Fusion	95	251	3	249	0.50	0.99	0.664
sim_50	STAR-Fusion	98	250	3	250	0.50	0.99	0.664
sim_50	STAR-Fusion	102	249	3	251	0.50	0.99	0.664
sim_50	STAR-Fusion	103	246	3	254	0.49	0.99	0.656
sim_50	STAR-Fusion	105	244	3	256	0.49	0.99	0.656
sim_50	STAR-Fusion	110	243	3	257	0.49	0.99	0.656
sim_50	STAR-Fusion	115	242	3	258	0.48	0.99	0.647
sim_50	STAR-Fusion	116	241	3	259	0.48	0.99	0.647
sim_50	STAR-Fusion	119	240	3	260	0.48	0.99	0.647
sim_50	STAR-Fusion	122	238	3	262	0.48	0.99	0.647
sim_50	STAR-Fusion	126	236	3	264	0.47	0.99	0.637
sim_50	STAR-Fusion	128	235	3	265	0.47	0.99	0.637
sim_50	STAR-Fusion	133	234	3	266	0.47	0.99	0.637
sim_50	STAR-Fusion	136	233	3	267	0.47	0.99	0.637
sim_50	STAR-Fusion	137	232	3	268	0.46	0.99	0.628
sim_50	STAR-Fusion	140	231	3	269	0.46	0.99	0.628
sim_50	STAR-Fusion	145	230	3	270	0.46	0.99	0.628
sim_50	STAR-Fusion	146	229	3	271	0.46	0.99	0.628
sim_50	STAR-Fusion	147	228	3	272	0.46	0.99	0.628
sim_50	STAR-Fusion	152	227	3	273	0.45	0.99	0.619
sim_50	STAR-Fusion	157	226	3	274	0.45	0.99	0.619
sim_50	STAR-Fusion	163	225	3	275	0.45	0.99	0.619
sim_50	STAR-Fusion	166	224	3	276	0.45	0.99	0.619
sim_50	STAR-Fusion	172	223	3	277	0.45	0.99	0.619
sim_50	STAR-Fusion	175	222	3	278	0.44	0.99	0.609
sim_50	STAR-Fusion	176	221	3	279	0.44	0.99	0.609
sim_50	STAR-Fusion	184	220	3	280	0.44	0.99	0.609
sim_50	STAR-Fusion	189	219	3	281	0.44	0.99	0.609
sim_50	STAR-Fusion	190	218	3	282	0.44	0.99	0.609
sim_50	STAR-Fusion	196	217	3	283	0.43	0.99	0.600
sim_50	STAR-Fusion	199	216	3	284	0.43	0.99	0.600
sim_50	STAR-Fusion	202	215	3	285	0.43	0.99	0.600
sim_50	STAR-Fusion	205	214	3	286	0.43	0.99	0.600
sim_50	STAR-Fusion	207	213	3	287	0.43	0.99	0.600
sim_50	STAR-Fusion	208	212	3	288	0.42	0.99	0.590
sim_50	STAR-Fusion	210	212	2	288	0.42	0.99	0.590
sim_50	STAR-Fusion	214	211	2	289	0.42	0.99	0.590
sim_50	STAR-Fusion	225	210	2	290	0.42	0.99	0.590
sim_50	STAR-Fusion	228	209	2	291	0.42	0.99	0.590
sim_50	STAR-Fusion	237	208	2	292	0.42	0.99	0.590
sim_50	STAR-Fusion	238	207	2	293	0.41	0.99	0.580
sim_50	STAR-Fusion	239	206	2	294	0.41	0.99	0.580
sim_50	STAR-Fusion	247	205	2	295	0.41	0.99	0.580
sim_50	STAR-Fusion	252	204	2	296	0.41	0.99	0.580
sim_50	STAR-Fusion	273	203	2	297	0.41	0.99	0.580
sim_50	STAR-Fusion	277	202	2	298	0.40	0.99	0.570
sim_50	STAR-Fusion	281	201	2	299	0.40	0.99	0.570
sim_50	STAR-Fusion	283	200	2	300	0.40	0.99	0.570
sim_50	STAR-Fusion	285	199	2	301	0.40	0.99	0.570
sim_50	STAR-Fusion	311	198	2	302	0.40	0.99	0.570
sim_50	STAR-Fusion	318	197	2	303	0.39	0.99	0.560
sim_50	STAR-Fusion	321	197	1	303	0.39	0.99	0.560
sim_50	STAR-Fusion	334	196	1	304	0.39	0.99	0.560
sim_50	STAR-Fusion	336	195	1	305	0.39	0.99	0.560
sim_50	STAR-Fusion	359	194	1	306	0.39	0.99	0.560
sim_50	STAR-Fusion	361	193	1	307	0.39	0.99	0.560
sim_50	STAR-Fusion	362	192	1	308	0.38	0.99	0.549
sim_50	STAR-Fusion	368	191	1	309	0.38	0.99	0.549
sim_50	STAR-Fusion	371	190	1	310	0.38	0.99	0.549
sim_50	STAR-Fusion	378	189	1	311	0.38	0.99	0.549
sim_50	STAR-Fusion	386	188	1	312	0.38	0.99	0.549
sim_50	STAR-Fusion	393	187	1	313	0.37	0.99	0.539
sim_50	STAR-Fusion	395	186	1	314	0.37	0.99	0.539
sim_50	STAR-Fusion	398	185	1	315	0.37	0.99	0.539
sim_50	STAR-Fusion	400	184	1	316	0.37	0.99	0.539
sim_50	STAR-Fusion	426	183	1	317	0.37	0.99	0.539
sim_50	STAR-Fusion	442	182	1	318	0.36	0.99	0.528
sim_50	STAR-Fusion	444	181	1	319	0.36	0.99	0.528
sim_50	STAR-Fusion	445	180	1	320	0.36	0.99	0.528
sim_50	STAR-Fusion	446	179	1	321	0.36	0.99	0.528
sim_50	STAR-Fusion	452	178	1	322	0.36	0.99	0.528
sim_50	STAR-Fusion	454	177	1	323	0.35	0.99	0.517
sim_50	STAR-Fusion	456	176	1	324	0.35	0.99	0.517
sim_50	STAR-Fusion	496	175	1	325	0.35	0.99	0.517
sim_50	STAR-Fusion	498	174	1	326	0.35	0.99	0.517
sim_50	STAR-Fusion	499	173	1	327	0.35	0.99	0.517
sim_50	STAR-Fusion	504	172	1	328	0.34	0.99	0.506
sim_50	STAR-Fusion	506	171	1	329	0.34	0.99	0.506
sim_50	STAR-Fusion	509	170	1	330	0.34	0.99	0.506
sim_50	STAR-Fusion	541	169	1	331	0.34	0.99	0.506
sim_50	STAR-Fusion	550	168	1	332	0.34	0.99	0.506
