#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
40380	22	29683123	[29682912,29683123]	11	128675261	[128675261,128675328]	43	10	EWSR1	FLI1	inter-chromosomal
23337	10	26957336	[26957335,26957426]	10	26934825	[26934730,26934826]	61	0	RP13-16H11.2	RP13-16H11.1	readthrough-adjacent
138284	X	148855932	[148855825,148855932]	X	148678900	[148678343,148678900]	1	15	HSFX1	TMEM185A	intra-chromosomal
137223	X	64808492	[64808254,64808492]	X	64936680	[64936680,64936763]	12	8	RP11-368D24__A.1	MSN	readthrough-adjacent
56105	14	70826236	[70826236,70826328]	9	27941426	[27941392,27941429]	23	0	COX16	RP11-438B23.2	inter-chromosomal
53300	14	22970647	[22970555,22970647]	14	23016447	[23016447,23016540]	20	0	TRAJ39	TRAC	intra-chromosomal
23338	10	26936653	[26936561,26936653]	10	26957336	[26957333,26957426]	17	0	RP13-16H11.1	RP13-16H11.2	readthrough-adjacent
75937	16	85205413	[85205213,85205413]	16	85391069	[85391067,85391236]	13	2	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
40382	22	29683123	[29682912,29683120]	11	128678995	[128678995,128679099]	1	8	EWSR1	FLI1	inter-chromosomal
53252	14	22192618	[22192533,22192618]	14	22237033	[22237032,22237118]	16	0	TRAV3	TRAV6	intra-chromosomal
53250	14	22192387	[22192301,22192387]	14	22237033	[22237032,22237121]	13	0	TRAV3	TRAV6	intra-chromosomal
75945	16	85391249	[85391064,85391250]	16	85682158	[85682155,85682357]	5	4	RP11-680G10.1	KIAA0182	intra-chromosomal
131545	8	65711023	[65711023,65711268]	8	64599789	[64599488,64599791]	6	3	CYP7B1	RP11-32K4.1	intra-chromosomal
57718	16	89592737	[89592736,89592825]	14	106963367	[106963275,106963367]	11	0	SPG7	IGHV1-45	inter-chromosomal
38699	11	86665843	[86665840,86665933]	11	86633146	[86633075,86633143]	11	0	FZD4	RP11-736K20.5	readthrough-intersecting
20901	1	226736664	[226736635,226736668]	19	1356323	[1356322,1356415]	11	0	C1orf95	MUM1	inter-chromosomal
57716	14	106962380	[106962303,106962380]	16	89592737	[89592737,89592827]	10	0	LINC00221	SPG7	inter-chromosomal
13096	1	144952201	[144952200,144952349]	1	149590977	[149590790,149590977]	6	2	PDE4DIP	RP11-353N4.1	intra-chromosomal
102231	20	29632721	[29632611,29632722]	5	179262652	[179262355,179262652]	8	1	FRG1B	C5orf45	inter-chromosomal
107757	3	34244800	[34244708,34244800]	3	34340341	[34340341,34340411]	9	0	AC123023.1	AC018359.1	readthrough-intersecting
53576	14	24761402	[24761402,24761488]	14	24740517	[24740437,24740517]	9	0	DHRS1	RABGGTA	readthrough-adjacent
2657	1	14507087	[14506944,14507088]	1	14925479	[14925476,14925668]	5	2	C1orf196	KAZN	intra-chromosomal
37781	13	37633696	[37633695,37633764]	11	74408342	[74408266,74408345]	9	0	FAM48A	CHRDL2	inter-chromosomal
37010	11	69156446	[69156355,69156446]	11	69186171	[69186169,69186236]	8	0	MYEOV	RP11-211G23.2	readthrough-adjacent
35867	11	65063461	[65063372,65063461]	11	65088015	[65088013,65088097]	8	0	POLA2	CDC42EP2	readthrough-adjacent
53299	14	22958531	[22958448,22958531]	14	23016447	[23016447,23016530]	8	0	TRAJ49	TRAC	intra-chromosomal
26549	10	71906289	[71906289,71906377]	10	71883853	[71883775,71883857]	7	0	TYSND1	AIFM2	readthrough-adjacent
53298	14	22947923	[22947845,22947923]	14	23016447	[23016447,23016530]	7	0	TRAJ57	TRAC	intra-chromosomal
55337	14	61189836	[61189771,61189836]	14	61262935	[61262933,61263021]	7	0	SIX4	MNAT1	readthrough-adjacent
83312	17	80788593	[80788506,80788593]	17	80828100	[80828099,80828167]	7	0	ZNF750	TBCD	readthrough-intersecting
53251	14	22192620	[22192539,22192620]	14	22217702	[22217701,22217795]	6	0	TRAV3	TRAV5	intra-chromosomal
134901	9	99589362	[99589361,99589440]	9	99538527	[99538450,99538530]	5	0	ZNF782	ZNF510	readthrough-adjacent
130351	8	1920203	[1920115,1920204]	8	1948451	[1948449,1948541]	5	0	RP11-439C15.2	KBTBD11	readthrough-intersecting
94076	2	71185172	[71185172,71185261]	2	71148415	[71148343,71148415]	4	0	ATP6V1B1	VAX2	readthrough-adjacent
70467	16	20907630	[20907628,20907681]	16	20873965	[20873872,20873966]	4	0	ERI2	DCUN1D3	readthrough-intersecting
30091	10	126448887	[126448886,126448937]	10	126395456	[126395376,126395456]	4	0	METTL10	FAM53B;RP11-12J10.3	readthrough-intersecting
83767	18	12329143	[12329143,12329230]	18	12308348	[12308305,12308348]	4	0	AFG3L2	TUBB6	readthrough-adjacent
78173	17	16284405	[16284406,16284499]	21	45718016	[45718016,45718050]	4	0	UBB	AIRE	inter-chromosomal
