#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
84928	16	30200197	[30200197,30200204]	16	29467036	[29466719,29467036]	1	152	CORO1A	SLX1B;SLX1B-SULT1A4	intra-chromosomal
64799	14	106330425	[106330423,106330468]	4	1918598	[1918596,1918688]	272	0	IGHJ4	WHSC1	inter-chromosomal
64774	4	1906105	[1905943,1906105]	14	106209408	[106209114,106209409]	81	25	WHSC1	IGHG1	inter-chromosomal
148349	7	29720310	[29720306,29720403]	7	29690955	[29690862,29690955]	110	0	MIR550A3	AC007255.7	readthrough-intersecting
88254	17	17782941	[17782941,17783057]	16	84012044	[84012044,84012157]	24	12	TOM1L2	NECAB2	inter-chromosomal
64798	14	106330425	[106330423,106330468]	4	1913818	[1913816,1913907]	41	0	IGHJ4	WHSC1	inter-chromosomal
106888	19	56181058	[56180963,56181059]	19	56113441	[56113439,56113533]	37	0	U2AF2	ZNF524	intra-chromosomal
64792	14	106329401	[106329401,106329624]	4	1918598	[1918595,1918764]	8	10	IGHJ6	WHSC1	inter-chromosomal
123500	22	17083105	[17082969,17083105]	8	133097886	[133097774,133097886]	23	1	TPTEP1	RP11-240B13.2	inter-chromosomal
160499	X	1510792	[1510791,1510863]	X	1460615	[1460615,1460685]	18	0	SLC25A6	IL3RA	readthrough-adjacent
66777	15	40854971	[40854970,40855226]	7	26241381	[26241381,26241446]	3	8	C15orf57	CBX3	inter-chromosomal
142505	5	147040511	[147040511,147040846]	5	146804526	[146804438,146804527]	9	4	JAKMIP2	DPYSL3	readthrough-adjacent
60347	14	24761402	[24761402,24761466]	14	24740517	[24740434,24740517]	15	0	DHRS1	RABGGTA	readthrough-adjacent
11960	1	143119119	[143119058,143119120]	1	142816004	[142815920,142816005]	14	0	BX571672.1;BX571672.2	RP11-423O2.5	intra-chromosomal
130181	3	123304648	[123304571,123304648]	3	123330081	[123330080,123330164]	11	0	MYLK-AS1	MYLK	readthrough-intersecting
9686	1	101461029	[101461029,101461076]	1	101440458	[101440372,101440458]	11	0	RP11-421L21.2	SLC30A7	readthrough-adjacent
116732	2	173360103	[173360101,173360178]	2	173329302	[173329219,173329305]	9	0	AC093818.1	AC078883.3	readthrough-intersecting
159422	9	93868953	[93868868,93868954]	9	93925459	[93925459,93925549]	9	0	RP11-305L7.1	LINC00484	readthrough-adjacent
125939	22	42230031	[42229938,42230031]	22	42262835	[42262834,42262919]	9	0	RP5-821D11.7	SREBF2	readthrough-intersecting
160297	9	132342837	[132342742,132342838]	9	132394929	[132394927,132394968]	9	0	RP11-492E3.2	NTMT1	intra-chromosomal
35381	10	135269741	[135269740,135269813]	10	135216277	[135216195,135216280]	8	0	RP11-108K14.4	MTG1	readthrough-intersecting
48096	12	31478770	[31478770,31478830]	12	31451158	[31451087,31451159]	7	0	AC024940.1	FAM60A	readthrough-intersecting
159424	9	93925460	[93925460,93925543]	9	93881842	[93881757,93881843]	7	0	LINC00484	RP11-305L7.3	readthrough-intersecting
159421	9	93925287	[93925286,93925376]	9	93868953	[93868893,93868955]	7	0	LINC00484;RP11-305L7.3	RP11-305L7.1	readthrough-adjacent
64695	4	1906105	[1905999,1906105]	14	106111127	[106111097,106111126]	5	1	WHSC1	IGHG2;RP11-731F5.2	inter-chromosomal
24982	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	7	0	C1orf95	MUM1	inter-chromosomal
109988	2	69732701	[69732701,69732779]	2	69693684	[69693603,69693684]	7	0	AAK1	AC114772.1	readthrough-intersecting
120595	20	32605215	[32605215,32605300]	20	32581937	[32581875,32581938]	6	0	RP5-1125A11.4	RALY	readthrough-intersecting
81195	16	20907630	[20907628,20907697]	16	20873965	[20873911,20873966]	5	0	ERI2	DCUN1D3	readthrough-intersecting
147362	6	155606292	[155606292,155606370]	6	155574898	[155574828,155574900]	5	0	TFB1M	RP11-477D19.2	readthrough-intersecting
24138	1	213031108	[213031107,213031199]	1	213009529	[213009441,213009531]	5	0	FLVCR1-AS1	C1orf227	readthrough-adjacent
