#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
149754	X	53674311	[53674311,53674517]	X	52258715	[52258574,52258718]	1146	50	HUWE1	XAGE1A	intra-chromosomal
87287	17	38487648	[38487281,38487653]	17	73481509	[73481500,73481636]	304	77	RARA	KIAA0195	intra-chromosomal
136254	6	159239114	[159239114,159239250]	6	159399378	[159399292,159399382]	170	42	EZR;EZR-AS1	RSPH3	intra-chromosomal
149763	X	53674311	[53674311,53674517]	X	52544549	[52544408,52544552]	104	47	HUWE1	XAGE1E	intra-chromosomal
149752	X	53674311	[53674311,53674516]	X	52240458	[52240455,52240599]	80	55	HUWE1	XAGE1B	intra-chromosomal
149758	X	53674311	[53674311,53674517]	X	52513409	[52513406,52513550]	71	49	HUWE1	XAGE1C	intra-chromosomal
90179	17	73663442	[73663346,73663442]	17	73521906	[73521858,73521906]	125	0	SAP30BP	LLGL2	intra-chromosomal
28757	10	61665880	[61665879,61666043]	10	61802517	[61802429,61802518]	95	12	CCDC6	ANK3	intra-chromosomal
142902	8	25042466	[25042251,25042468]	8	25360889	[25360888,25361060]	62	12	DOCK5	CDCA2	intra-chromosomal
136514	7	1199600	[1199599,1199824]	7	1049779	[1049586,1049782]	47	10	AC091729.9;ZFAND2A	C7orf50	readthrough-adjacent
79183	16	48419115	[48419115,48419262]	16	48204878	[48204800,48204880]	34	9	SIAH1	ABCC11	intra-chromosomal
86574	17	37902455	[37902166,37902455]	17	37792069	[37792068,37792275]	39	5	GRB7	PPP1R1B	intra-chromosomal
89719	17	79009108	[79008960,79009108]	17	65338379	[65338301,65338381]	19	12	BAIAP2	PSMD12	intra-chromosomal
85870	17	37499433	[37499433,37499566]	17	37665958	[37665957,37666014]	23	9	FBXL20	CDK12	intra-chromosomal
80142	16	68772314	[68772223,68772314]	16	68710288	[68710286,68710373]	35	0	CDH1	CDH3	readthrough-adjacent
143457	8	66753606	[66753606,66753804]	8	66525668	[66525489,66525670]	25	2	PDE7A	ARMC1	intra-chromosomal
43599	6	159204552	[159204551,159204698]	12	1611633	[1611633,1611781]	25	1	EZR	RP3-340I3.1	inter-chromosomal
90175	17	73521906	[73521859,73521908]	17	73661252	[73661162,73661255]	24	0	LLGL2	RECQL5	intra-chromosomal
106907	2	160968591	[160968591,160968710]	2	161143595	[161143489,161143597]	15	4	ITGB6	RBMS1	readthrough-adjacent
65886	15	68571003	[68570728,68571004]	2	42671724	[42671553,42671724]	14	3	FEM1B	KCNG3	inter-chromosomal
147602	9	71736642	[71736571,71736642]	9	71766566	[71766565,71766652]	19	0	RP11-265B8.4	TJP2	readthrough-intersecting
124351	4	91048982	[91048768,91048985]	4	89345012	[89345009,89345125]	11	4	FAM190A	HERC6	intra-chromosomal
28758	10	61665880	[61665879,61666204]	10	61804106	[61804064,61804106]	1	9	CCDC6	ANK3	intra-chromosomal
87212	17	38451735	[38451554,38451736]	17	73667943	[73667895,73667952]	10	4	CDC6	SAP30BP	intra-chromosomal
79667	16	57741535	[57741385,57741535]	18	29890156	[29890155,29890267]	9	2	CCDC135	FAM59A	inter-chromosomal
67995	15	90617522	[90617353,90617523]	15	90270388	[90270386,90270509]	5	4	ZNF710	WDR93	intra-chromosomal
90176	17	73521906	[73521859,73521906]	17	73662700	[73662611,73662703]	13	0	LLGL2	RECQL5	intra-chromosomal
157028	9	70426740	[70426740,70426913]	16	22534954	[22534954,22535067]	7	3	FOXD4L4	RP11-368J21.2	inter-chromosomal
145911	9	37126939	[37126854,37126940]	9	37160059	[37160059,37160145]	12	0	ZCCHC7	Y_RNA	readthrough-intersecting
119461	3	119812194	[119812193,119812286]	3	119912271	[119912181,119912271]	11	0	GSK3B	GPR156	intra-chromosomal
119655	3	123304641	[123304552,123304641]	3	123330080	[123330080,123330160]	10	0	MYLK-AS1	MYLK	readthrough-intersecting
135232	6	108222574	[108222574,108222713]	6	111628773	[111628564,111628774]	8	1	SEC63	REV3L	intra-chromosomal
99746	2	88913242	[88913242,88913329]	2	37520414	[37520311,37520416]	8	1	EIF2AK3	PRKD3	intra-chromosomal
112764	20	62514173	[62514094,62514173]	20	62559688	[62559686,62559737]	9	0	TPD52L2	DNAJC5	readthrough-adjacent
4776	1	28836616	[28836524,28836616]	1	28343750	[28343689,28343752]	6	1	RCC1;SNHG3	EYA3	intra-chromosomal
86436	17	37881660	[37881565,37881660]	6	33257002	[33256962,33257003]	8	0	ERBB2	WDR46	inter-chromosomal
115143	22	25566787	[25566787,25566879]	22	25508430	[25508351,25508430]	8	0	KIAA1671	CTA-221G9.11	readthrough-intersecting
79666	18	29890156	[29890156,29890249]	16	57720732	[57720648,57720734]	8	0	FAM59A	RP11-405F3.4	inter-chromosomal
79665	16	57741359	[57741359,57741432]	16	57720732	[57720663,57720734]	7	0	CCDC135	RP11-405F3.4	readthrough-intersecting
133090	6	15374348	[15374347,15374457]	6	15248291	[15248202,15248291]	5	1	JARID2	JARID2-AS1	readthrough-intersecting
59756	14	61189836	[61189764,61189836]	14	61262935	[61262933,61263030]	7	0	SIX4	MNAT1	readthrough-adjacent
87261	17	38474700	[38474537,38474700]	17	73482371	[73482369,73482449]	5	1	RARA	KIAA0195	intra-chromosomal
46543	12	31478770	[31478770,31478828]	12	31451158	[31451067,31451159]	6	0	AC024940.1	FAM60A	readthrough-intersecting
67959	17	37560538	[37560538,37560762]	15	89870218	[89870143,89870218]	2	2	MED1	POLG	inter-chromosomal
81348	19	39138547	[39138380,39138547]	16	83065615	[83065613,83065823]	2	2	ACTN4	CDH13	inter-chromosomal
114734	12	125398120	[125398120,125398320]	22	20796469	[20796469,20796577]	2	2	UBC	KLHL22	inter-chromosomal
22114	1	226736664	[226736634,226736668]	19	1356323	[1356322,1356415]	6	0	C1orf95	MUM1	inter-chromosomal
90932	17	74675730	[74675658,74675730]	2	162223989	[162223987,162224036]	5	0	MXRA7	PSMD14	inter-chromosomal
74532	16	20907630	[20907628,20907701]	16	20873965	[20873875,20873966]	5	0	ERI2	DCUN1D3	readthrough-intersecting
116138	22	42230031	[42229942,42230031]	22	42262835	[42262834,42262915]	5	0	RP5-821D11.7	SREBF2	readthrough-intersecting
108587	2	206950476	[206950475,206950543]	2	206927968	[206927878,206927969]	5	0	AC007383.3	INO80D	readthrough-intersecting
