#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
407243	22	23632600	[23632526,23632600]	9	133729451	[133729451,133729563]	43	14	BCR	ABL1	inter-chromosomal
538558	8	145488571	[145488328,145488571]	8	145309791	[145309791,145309881]	1	21	BOP1	HEATR7A	intra-chromosomal
489536	6	31619433	[31619433,31619503]	6	31833561	[31833498,31833564]	40	0	BAG6	SLC44A4	intra-chromosomal
59214	1	155583441	[155583441,155583535]	1	155727758	[155727682,155727759]	1	18	MSTO1	GON4L	readthrough-intersecting
403741	9	134074402	[134074315,134074402]	22	17288973	[17288844,17288978]	32	2	NUP214	XKR3	inter-chromosomal
398190	22	17083105	[17083020,17083105]	21	10952963	[10952913,10952963]	11	7	TPTEP1	TPTE	inter-chromosomal
112739	10	103799770	[103799770,103799882]	10	103588956	[103588880,103588957]	16	3	C10orf76	KCNIP2	readthrough-adjacent
122204	11	5367003	[5367003,5367067]	11	5291386	[5291321,5291388]	20	0	AC104389.28;HBG2	HBE1	readthrough-intersecting
481427	12	53873453	[53873453,53873523]	5	168179412	[168179387,168179417]	17	0	PCBP2	SLIT3	inter-chromosomal
122206	11	5526581	[5526581,5526644]	11	5291386	[5291327,5291388]	13	0	AC104389.28;HBG2	HBE1	readthrough-intersecting
171906	20	37206363	[37206363,37206455]	12	56991366	[56991276,56991366]	9	1	RALGAPB	BAZ2A	inter-chromosomal
93763	10	29746577	[29746577,29746640]	10	29704341	[29704285,29704341]	8	0	SVIL	RP11-534G20.3	readthrough-intersecting
215652	14	70826236	[70826236,70826302]	9	27941429	[27941392,27941429]	7	0	COX16	RP11-438B23.2	inter-chromosomal
333474	19	34957919	[34957865,34957920]	19	34981281	[34981279,34981337]	5	0	UBA2	WTIP	readthrough-adjacent
211262	14	51131897	[51131897,51131979]	4	144801662	[144801564,144801665]	3	1	SAV1	GYPE	inter-chromosomal
203219	13	115070389	[115070359,115070389]	13	115037659	[115037659,115037723]	5	0	UPF3A	CDC16	intra-chromosomal
273592	16	85205413	[85205350,85205413]	16	85391069	[85391067,85391135]	5	0	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
504946	7	1778737	[1778702,1778737]	9	128003598	[128003528,128003603]	5	0	AC074389.9	HSPA5	inter-chromosomal
291851	8	126448467	[126448467,126448499]	17	37006728	[37006656,37006729]	5	0	TRIB1	RPL23	inter-chromosomal
482866	5	176761285	[176761285,176761347]	5	176738485	[176738447,176738487]	4	0	LMAN2	MXD3	readthrough-adjacent
292915	17	38438339	[38438335,38438365]	7	150780005	[150779934,150780006]	4	0	WIPF2	TMUB1	inter-chromosomal
642649	16	89804302	[89804230,89804303]	17	40370243	[40370171,40370243]	4	0	FANCA;ZNF276	STAT5B	inter-chromosomal
7520	12	125396524	[125396524,125396595]	1	10596313	[10596313,10596355]	4	0	UBC	PEX14	inter-chromosomal
402953	21	47647523	[47647486,47647528]	X	71496084	[71496016,71496085]	4	0	LSS	RPS4X	inter-chromosomal
