#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
244800	19	580782	[580646,580783]	19	13135835	[13135833,13135981]	18	12	BSG	NFIX	intra-chromosomal
67314	10	105315059	[105315035,105315061]	10	24497864	[24497864,24497905]	40	0	NEURL	KIAA1217	intra-chromosomal
197889	16	16380882	[16380878,16380882]	16	18542934	[18542891,18542934]	1	17	NOMO3	NOMO2	intra-chromosomal
363095	7	102181568	[102181568,102181718]	7	44044547	[44044465,44044547]	1	9	POLR2J3;RASA4B	AC004951.6	intra-chromosomal
69476	10	37891401	[37891401,37891431]	17	22022943	[22022943,22022975]	16	0	MTRNR2L7	MTRNR2L1	inter-chromosomal
380460	9	139438476	[139438476,139438554]	9	134062676	[134062676,134062751]	7	4	NOTCH1	NUP214	intra-chromosomal
271159	2	61764911	[61764743,61764911]	6	38139404	[38139329,38139404]	7	2	XPO1	BTBD9	inter-chromosomal
36254	1	148568912	[148568834,148568912]	1	144600311	[144600311,144600417]	1	4	NBPF15	NBPF8	intra-chromosomal
372891	8	81083660	[81083660,81083685]	8	81039866	[81039828,81039866]	7	0	TPD52	RP11-92K15.1	readthrough-intersecting
134151	12	80211174	[80211175,80211280]	2	110343415	[110343303,110343417]	2	2	PPP1R12A	SEPT10	inter-chromosomal
362228	7	26232993	[26232948,26232995]	14	105235939	[105235919,105235939]	5	0	HNRNPA2B1	AKT1	inter-chromosomal
245622	21	40720987	[40720939,40720989]	19	1609882	[1609856,1609883]	4	0	HMGN1	TCF3	inter-chromosomal
44279	1	160259887	[160259863,160259888]	17	34171870	[34171870,34171913]	4	0	COPA	TAF15	inter-chromosomal
150665	3	184044771	[184044726,184044772]	13	49775951	[49775951,49775978]	4	0	EIF4G1	FNDC3A	inter-chromosomal
