#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
37051	10	61665880	[61665879,61666035]	10	43612032	[43612032,43612179]	68	9	CCDC6	RET	intra-chromosomal
201255	9	71736642	[71736550,71736642]	9	71766566	[71766565,71766655]	55	0	RP11-265B8.4	TJP2	readthrough-intersecting
196734	8	124408427	[124408427,124408644]	8	112478407	[112478407,112478523]	20	2	ATAD2	RP11-1101K5.1	intra-chromosomal
148457	2	216248051	[216248051,216248142]	2	216341352	[216341352,216341439]	23	0	FN1	AC012462.3	intra-chromosomal
121170	17	61086895	[61086895,61086987]	17	61044110	[61044023,61044110]	22	0	TANC2	RP11-180P8.1	intra-chromosomal
35196	10	28824686	[28824601,28824686]	10	7327916	[7327828,7327917]	18	0	WAC	SFMBT2	intra-chromosomal
177079	5	107006190	[107006184,107006297]	8	42147674	[42147672,42147791]	11	3	EFNA5	IKBKB	inter-chromosomal
183123	6	42176596	[42176595,42176687]	6	42156469	[42156392,42156471]	15	0	MRPS10	GUCA1B	readthrough-adjacent
179389	9	98270666	[98270636,98270666]	5	158636518	[158636430,158636519]	15	0	PTCH1	RNF145	inter-chromosomal
139556	2	69732701	[69732701,69732792]	2	69693684	[69693593,69693684]	13	0	AAK1	AC114772.1	readthrough-intersecting
154213	22	17083105	[17082951,17083105]	5	121814516	[121814356,121814516]	8	2	TPTEP1	CTC-210G5.1	inter-chromosomal
169232	4	77560795	[77560710,77560795]	4	77631309	[77631309,77631384]	11	0	AC107072.2	SHROOM3	readthrough-intersecting
12114	1	85028940	[85028938,85029030]	1	84967653	[84967564,84967653]	10	0	CTBS	GNG5	readthrough-intersecting
15252	1	117131316	[117131316,117131442]	22	25003921	[25003921,25003990]	6	2	IGSF3	GGT1;SNRPD3	inter-chromosomal
153530	21	35469582	[35469515,35469582]	21	35497641	[35497641,35497728]	9	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
84593	20	52120656	[52120656,52120791]	14	72374874	[72374874,72374974]	6	1	RP5-823G15.5	RP6-114E22.1	inter-chromosomal
35360	10	28824686	[28824605,28824687]	10	13629162	[13629071,13629162]	7	0	WAC	PRPF18;RP11-295P9.3	intra-chromosomal
56214	11	76091792	[76091791,76091880]	9	32405483	[32405480,32405567]	6	0	PRKRIR	ACO1	inter-chromosomal
192089	7	91746358	[91746358,91746443]	7	91714917	[91714837,91714917]	6	0	CYP51A1;LRRD1	AKAP9	readthrough-adjacent
196579	8	102473845	[102473792,102473848]	8	102504876	[102504876,102504965]	5	0	KB-1562D12.1	GRHL2	readthrough-intersecting
119314	5	85916583	[85916490,85916583]	17	45760465	[45760465,45760503]	5	0	COX7C	KPNB1	inter-chromosomal
46659	11	3680415	[3680382,3680415]	17	56067157	[56067066,56067159]	5	0	ART1	RP11-159D12.2;RP11-159D12.5	inter-chromosomal
205423	X	100228713	[100228660,100228713]	X	100265511	[100265511,100265591]	4	0	ARL13A	TRMT2B	intra-chromosomal
201733	9	91723963	[91723962,91724040]	9	91692818	[91692755,91692820]	4	0	RP11-82L18.2	SHC3	readthrough-intersecting
153290	21	30702014	[30701933,30702015]	21	30723955	[30723954,30724029]	4	0	BACH1	BACH1-IT1	readthrough-intersecting
