#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
11720	13	27254338	[27254172,27254345]	19	36237320	[36237318,36237890]	1966	485	WASF3	PSENEN	inter-chromosomal
11675	2	233245030	[233244896,233245031]	13	23808750	[23808743,23808851]	2250	262	ALPP	SGCG	inter-chromosomal
9646	12	50821692	[50821545,50821696]	3	25650835	[25650674,25650843]	2071	350	LARP4	TOP2B	inter-chromosomal
12103	22	29440878	[29440768,29440885]	13	97484744	[97484741,97485375]	1929	393	ZNRF3	HS6ST3	inter-chromosomal
19902	17	7245386	[7245267,7245393]	22	25598641	[25598639,25598759]	1934	365	ACAP1	CRYBB3	inter-chromosomal
1665	4	36296661	[36296417,36296666]	1	37945891	[37945886,37946030]	2004	314	DTHD1	ZC3H12A	inter-chromosomal
2658	1	110233186	[110232893,110233188]	X	15864134	[15864026,15864141]	1796	385	GSTM1	AP1S2	inter-chromosomal
5932	18	32953420	[32953414,32953564]	10	45799948	[45799302,45799950]	2102	224	ZNF396	OR13A1	inter-chromosomal
20189	9	34286615	[34286612,34286705]	17	17106412	[17105825,17106420]	1910	252	KIF24	PLD6;RP11-45M22.4	inter-chromosomal
15132	17	60471005	[60470934,60471014]	16	838931	[838925,839360]	1518	445	EFCAB3	CHTF18	inter-chromosomal
11081	12	70330412	[70330233,70330420]	19	57883150	[57883145,57883276]	1881	251	C12orf28	ZNF547	inter-chromosomal
7544	11	380951	[380671,380954]	5	86707163	[86707041,86707167]	1609	349	B4GALNT4	CCNH	inter-chromosomal
1296	1	204161902	[204161891,204162042]	1	21097566	[21097423,21097569]	1688	281	KISS1	HP1BP3	intra-chromosomal
27983	5	64077860	[64077748,64077863]	8	10470856	[10470231,10470864]	1729	236	CWC27	RP1L1	inter-chromosomal
28737	6	7578795	[7578697,7578803]	6	7310262	[7310150,7310271]	1610	274	DSP	SSR1	intra-chromosomal
28977	8	120103459	[120103386,120103461]	6	49583484	[49583337,49583486]	1474	318	COLEC10	RHAG	inter-chromosomal
27093	4	17963526	[17963525,17963655]	X	120007878	[120007719,120007881]	1712	178	LCORL	CT47B1	inter-chromosomal
22806	7	100649853	[100649752,100649856]	19	59074629	[59074129,59074635]	1460	305	MUC12	MZF1	inter-chromosomal
19071	16	28970312	[28970310,28970421]	22	30163596	[30163363,30163597]	1564	248	NFATC2IP	UQCR10	inter-chromosomal
4227	11	129312814	[129312267,129312816]	1	152770249	[152770247,152770655]	1369	347	BARX2	LCE1D	inter-chromosomal
18667	8	59343228	[59343078,59343235]	16	25264358	[25264266,25264361]	1689	181	UBXN2B	ZKSCAN2	inter-chromosomal
7662	11	6503082	[6502987,6503089]	20	43992184	[43992175,43992333]	1692	172	CTD-2010I16.2;FXC1	SYS1;SYS1-DBNDD2	inter-chromosomal
5611	10	23408380	[23408232,23408383]	X	15342993	[15342787,15342996]	1483	269	MSRB2	PIGA	inter-chromosomal
1869	22	29755813	[29755812,29755948]	1	44818597	[44818522,44818600]	1393	317	AP1B1	ERI3	inter-chromosomal
23108	2	233537153	[233537019,233537155]	2	69736592	[69736363,69736598]	1448	280	EFHD1	AAK1	intra-chromosomal
22615	9	100963761	[100963760,100963946]	19	51650478	[51650470,51650574]	1480	251	TBC1D2	SIGLEC7	inter-chromosomal
11153	12	81111343	[81110762,81111345]	21	18977315	[18977178,18977318]	1390	292	MYF5	BTG3	inter-chromosomal
8177	11	61608003	[61607806,61608006]	15	41554950	[41554944,41555081]	1441	254	FADS2	CHP1	inter-chromosomal
2155	1	65278532	[65278421,65278533]	12	54976579	[54976516,54976587]	1277	330	RAVER2	PPP1R1A	inter-chromosomal
1325	1	22033237	[22033231,22033362]	16	88876556	[88876477,88876560]	1450	215	USP48	APRT	inter-chromosomal
11524	7	27141729	[27141722,27142340]	12	122217568	[122216938,122217578]	1285	293	HOXA2	RHOF;RP11-347I19.3;TMEM120B	inter-chromosomal
22391	2	107446522	[107446516,107446696]	19	34838782	[34838780,34838947]	1519	157	ST6GAL2	KIAA0355	inter-chromosomal
12859	2	201400865	[201400787,201400866]	14	95035732	[95035724,95036204]	1312	231	SGOL2	SERPINA4	inter-chromosomal
22461	3	46784403	[46784397,46784572]	19	39760555	[39760553,39760732]	1271	248	PRSS45	IL28A	inter-chromosomal
655	1	3672131	[3672021,3672134]	12	105150727	[105150721,105151392]	1337	211	CCDC27	CHST11	inter-chromosomal
13660	15	45464345	[45464344,45464516]	5	112222880	[112222712,112222881]	1324	200	SHF	REEP5	inter-chromosomal
26596	3	121573670	[121573534,121573675]	3	172163255	[172162926,172163258]	1116	292	EAF2	GHSR	intra-chromosomal
29407	X	106804083	[106803957,106804088]	7	20825414	[20824917,20825421]	1248	224	FRMPD3	SP8	inter-chromosomal
12896	17	39139298	[39139297,39139382]	14	99958963	[99958961,99959211]	1350	170	KRT40	CCNK	inter-chromosomal
9708	X	106171281	[106171280,106171823]	12	53071434	[53071421,53071529]	1190	236	CLDN2	KRT1	inter-chromosomal
7669	9	139341679	[139341678,139341819]	11	6632534	[6632420,6632540]	1252	198	SEC16A	TAF10	inter-chromosomal
