prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	2334	2	166	0.93	1	0.964	0
nFuse	5	2191	71	309	0.88	0.97	0.923	0.03
JAFFA-Direct	1	2158	48	342	0.86	0.98	0.916	0.02
TopHat-Fusion	2	2122	30	378	0.85	0.99	0.915	0.01
InFusion	5	2068	10	432	0.83	1	0.907	0
deFuse	10	2064	69	436	0.83	0.97	0.895	0.03
MapSplice	3	1974	5	526	0.79	1	0.883	0
ChimPipe	3	1962	2	538	0.78	1	0.876	0
FusionCatcher	5	1902	26	598	0.76	0.99	0.86	0.01
ChimeraScan	3	2101	323	399	0.84	0.87	0.855	0.13
JAFFA-Hybrid	1	1839	48	661	0.74	0.97	0.84	0.03
SOAP-fuse	3	1788	15	712	0.72	0.99	0.834	0.01
EricScript	5	1791	184	709	0.72	0.91	0.804	0.09
PRADA	3	1648	2	852	0.66	1	0.795	0
JAFFA-Assembly	10	1617	199	883	0.65	0.89	0.751	0.11
FusionHunter	9	1088	10	1412	0.44	0.99	0.609	0.01
