1	2	3	4	5	6	7	8	9	10
STAR-Fusion	64.468	88.974	94.674	96.222	96.958	97.55	97.66	96.744	98.25	98.058
JAFFA-Assembly	25.112	52.84	77.682	77.376	75.26	80.73	77.672	74.726	70.862	64.9
ChimeraScan	47.978	77.914	87.204	92.782	95.768	96.648	99.09	100	97.824	97.558
FusionHunter	3.318	9.0925	16.592	33.708	46.212	61.1	69.022	72.716	74.224	80.562
InFusion	29.428	66.71	84.102	90.852	93.796	94.738	95.458	96.132	95.172	96.488
PRADA	9.5	29.534	60.618	67.008	82.602	85.026	86.282	87.236	88.36	89.038
SOAP-fuse	23.594	53.364	76.29	81.484	82.812	85.646	81.612	85.134	80.96	82.84
EricScript	38.802	65.25	70.6	75.21	74.67	75.43	80.982	79.648	82.124	81.982
deFuse	12.988	60.554	87.086	94.284	97.376	98.676	98.316	97.898	99.574	98.722
MapSplice	40.136	74.298	84.256	84.538	87.112	85.516	84.372	84.18	89.282	89.8
JAFFA-Hybrid	55.072	73.452	80.764	76.498	75.542	73.5	74.444	70.328	66.608	75.258
JAFFA-Direct	56.876	77.048	86.716	85.288	87.684	90.136	91.148	93.4	89.774	93.254
nFuse	30.932	77.08	96.326	97.142	97.29	96.802	98.02	97.654	99.216	100
FusionCatcher	14.118	48.634	78.57	86.666	89.538	89.682	93.496	91.264	95.34	96.004
TopHat-Fusion	60.482	79.474	86.538	84.316	87.628	89.998	93.17	88.508	92.914	93.824
ChimPipe	31.436	58.964	74.612	76.834	90.448	90.214	91.15	95.042	96.568	97.074
