1	2	3	4	5	6	7	8	9	10
STAR-Fusion	64.468	88.974	94.674	96.222	96.958	97.55	97.66	96.744	98.25	98.058
JAFFA-Assembly	24.832	52.84	77.682	77.376	75.26	80.73	77.672	74.394	70.862	64.9
ChimeraScan	47.978	77.914	87.204	92.782	95.768	96.648	99.09	100	97.824	97.558
FusionHunter	1.945	5.7075	7.214	16.47	23.848	37.028	35.996	37.826	38.534	43.332
InFusion	28.824	64.622	82.046	85.408	91.964	87.648	90.238	91.854	89.884	92.348
PRADA	9.5	29.534	60.618	67.008	82.602	85.026	86.282	87.236	88.36	89.038
SOAP-fuse	23.594	53.364	76.29	81.484	82.812	85.646	81.612	85.134	80.96	82.84
EricScript	38.802	65.25	70.6	75.21	74.67	75.43	80.982	79.648	82.124	81.982
deFuse	10.232	50.584	69.72	81.26	86.636	87.226	89.642	93.146	94.462	94.438
MapSplice	40.136	74.298	84.256	84.538	87.112	85.516	84.372	84.18	89.282	89.8
JAFFA-Hybrid	55.072	73.452	80.764	76.498	75.542	73.5	74.444	69.994	66.608	75.258
JAFFA-Direct	56.876	77.048	86.716	84.954	87.684	90.136	91.148	93.4	89.774	93.254
nFuse	4.98666666666667	4.732	7.252	3.8225	11.524	10.104	17.182	18.946	23.296	30.162
FusionCatcher	14.118	48.634	78.57	86.666	89.538	89.682	93.496	91.264	95.34	96.004
TopHat-Fusion	58.398	76.008	84.008	81.516	86.288	85.258	88.836	84.664	87.954	91.174
ChimPipe	31.436	58.964	74.612	76.834	90.448	90.214	91.15	95.042	96.568	97.074
