#	1	2	3	4	5	6	7	8	9	10
STAR-Fusion	24.438	64.27	80.202	92.088	99.016	97.878	99.334	99.428	98.738	100
JAFFA-Assembly	1.735	19.015	43.942	63.024	77.942	82.256	85.142	87.344	82.576	63.35
ChimeraScan	27.776	54.818	65.928	75.338	81.786	89.862	99.334	98.872	98.75	98.546
FusionHunter	7.81	45.398	60.182	74.336	74.62	80.518	75.354	78.008	72.334	80.286
InFusion	13.404	62.474	80.66	91.498	93.73	95.962	97.662	98.312	94.756	97.642
PRADA	15.674	65.892	73.742	81.538	86.426	80.882	87.13	86.852	81.488	87.264
SOAP-fuse	19.05	65.72	85.754	92.546	93.834	94.588	96.892	95.85	92.812	95.368
EricScript	9.548	46.506	59.976	66.926	78.786	76.572	79.938	76.75	73.53	78.842
deFuse	6.018	56.592	84.544	92.852	97.378	98.536	98.688	98.804	99.428	99.686
MapSplice	2.888	46.478	73.196	84.764	87.566	84.724	83.96	87.852	83.636	87.232
nFuse	16.418	79.468	96.376	99.26	98.668	97.39	98.308	99.444	98.688	99.364
FusionCatcher	2.0425	21.082	50.472	70.106	89.84	90.81	93.826	90.092	90.276	92.81
TopHat-Fusion	13.804	47.246	63.824	75.784	84.514	89.668	91.504	91.338	85.75	90.164
ChimPipe	14.71	62.214	81.064	87.448	95.406	94.002	94.636	97.062	92.386	96.792
