prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	1934	51	566	0.77	0.97	0.859	0.03
nFuse	5	1968	186	532	0.79	0.91	0.846	0.09
ChimPipe	3	1837	59	663	0.73	0.97	0.833	0.03
SOAP-fuse	2	1894	189	606	0.76	0.91	0.828	0.09
deFuse	7	1813	111	687	0.73	0.94	0.822	0.0600000000000001
InFusion	4	1852	176	648	0.74	0.91	0.816	0.09
PRADA	3	1701	7	799	0.68	1	0.81	0
MapSplice	9	1590	24	910	0.64	0.99	0.777	0.01
ChimeraScan	3	1800	381	700	0.72	0.83	0.771	0.17
TopHat-Fusion	2	1669	210	831	0.67	0.89	0.764	0.11
FusionCatcher	6	1542	28	958	0.62	0.98	0.759	0.02
FusionHunter	3	1468	15	1032	0.59	0.99	0.739	0.01
EricScript	5	1444	41	1056	0.58	0.97	0.726	0.03
JAFFA-Assembly	1	1266	52	1234	0.51	0.96	0.666	0.04
