prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	1934	51	566	0.77	0.97	0.859	0.03
ChimPipe	3	1837	59	663	0.73	0.97	0.833	0.03
SOAP-fuse	2	1894	189	606	0.76	0.91	0.828	0.09
PRADA	3	1701	7	799	0.68	1	0.81	0
MapSplice	9	1590	24	910	0.64	0.99	0.777	0.01
InFusion	4	1754	281	746	0.7	0.86	0.772	0.14
ChimeraScan	3	1800	390	700	0.72	0.82	0.767	0.18
FusionCatcher	6	1542	28	958	0.62	0.98	0.759	0.02
TopHat-Fusion	3	1583	246	917	0.63	0.87	0.731	0.13
EricScript	5	1444	41	1056	0.58	0.97	0.726	0.03
JAFFA-Assembly	1	1266	52	1234	0.51	0.96	0.666	0.04
deFuse	7	1538	713	962	0.62	0.68	0.649	0.32
FusionHunter	4	738	729	1762	0.3	0.5	0.375	0.5
nFuse	7	315	1956	2185	0.13	0.14	0.135	0.86
