#	1	2	3	4	5	6	7	8	9	10
STAR-Fusion	24.438	64.27	80.202	90.756	96.602	94.182	98.082	95.94	95.062	97.246
JAFFA-Assembly	1.735	17.075	43.026	63.024	77.498	79.778	84.496	84.434	80.042	62.518
ChimeraScan	27.372	54.818	65.402	75.338	81.246	89.862	99.334	98.872	98.75	98.546
FusionHunter	4.38	22.856	29.472	34.78	32.234	43.104	36.982	43.04	39.508	41.148
InFusion	12.32	55.176	75.842	87.53	88.692	89.04	91.644	91.53	89.194	92.242
PRADA	15.674	65.892	73.742	81.538	86.426	80.882	87.13	86.852	81.488	87.068
SOAP-fuse	19.05	65.72	85.754	92.546	93.834	94.588	96.892	95.85	92.812	95.012
EricScript	9.382	45.934	59.976	64.468	77.802	76.072	78.02	76.75	72.1	78.15
deFuse	6.4825	42.55	63.494	73.636	77.964	78.12	78.414	82.736	77.38	90.684
MapSplice	2.888	45.89	73.196	84.38	86.188	84.724	83.314	87.28	82.322	86.714
nFuse	2.43333333333333	8.38666666666667	6.028	9.738	9.582	9.394	13.908	18.992	20.26	26.262
FusionCatcher	2.0425	21.082	50.472	68.57	88.752	89.666	92.574	89.52	89.536	92.12
TopHat-Fusion	13.45	43.234	61.8	72.534	79.128	85.556	87.558	86.78	81.966	86.138
ChimPipe	14.71	61.626	81.064	86.196	94.96	93.336	92.658	95.964	90.07	95.548
