#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
22239	5	177421107	[177421104,177421339]	11	63883691	[63883684,63884270]	6280	13213	PROP1	FLRT1	inter-chromosomal
28215	5	65088482	[65088281,65088488]	12	58176893	[58176890,58177066]	6287	11873	NLN	RP11-571M6.15;TSFM	inter-chromosomal
8135	1	150778337	[150778333,150778700]	10	75896565	[75896390,75896566]	6297	11511	CTSK	AP3M1	inter-chromosomal
3494	11	112064717	[112064599,112064722]	1	40126935	[40126751,40126941]	6229	11541	BCO2	NT5C1A	inter-chromosomal
48790	20	62680512	[62680510,62680981]	18	9954050	[9954043,9954279]	5944	11550	SOX18	VAPA	inter-chromosomal
54262	5	172410967	[172410760,172410970]	19	58549096	[58549092,58549488]	3826	12063	ATP6V0E1	ZSCAN1	inter-chromosomal
59237	2	230020534	[230020532,230020680]	5	10681281	[10681002,10681288]	6198	10701	PID1	DAP	inter-chromosomal
53276	19	49167400	[49167397,49167549]	4	170017838	[170017382,170017839]	6157	10505	NTN5	SH3RF1	inter-chromosomal
3563	1	40544232	[40544231,40544330]	22	41864151	[41864123,41864157]	4552	11203	PPT1	PHF5A	inter-chromosomal
24265	11	118133646	[118133643,118133818]	20	44166189	[44165695,44166192]	4844	8407	MPZL2	SPINLW1;SPINLW1-WFDC6	inter-chromosomal
55610	4	129043343	[129043035,129043344]	2	68385512	[68385506,68385661]	4186	8140	LARP1B	PNO1	inter-chromosomal
1802	1	19992960	[19992573,19992964]	2	39158250	[39158247,39158392]	4758	7330	HTR6	ARHGEF33	inter-chromosomal
28263	7	94147635	[94147515,94147639]	12	59268112	[59267678,59268119]	3791	7628	CASD1	LRIG3	inter-chromosomal
46427	2	31457714	[31457332,31457718]	17	27051911	[27051393,27051917]	3858	7274	EHD3	TLCD1	inter-chromosomal
50641	2	180835228	[180835224,180835290]	19	5914396	[5914393,5914649]	7449	4800	CWC22	CAPS	inter-chromosomal
51297	5	60083161	[60083159,60083259]	19	15514526	[15514286,15514532]	3909	6293	ELOVL7	AKAP8L	inter-chromosomal
5591	20	35689536	[35689535,35689672]	1	84946639	[84946634,84946695]	5	8210	RBL1	RPF1	inter-chromosomal
50642	2	180835377	[180835376,180835583]	19	5914396	[5914395,5914500]	2	7842	CWC22	CAPS	inter-chromosomal
25071	12	4554391	[4554390,4554773]	7	104719293	[104719291,104719410]	4450	5485	FGF6	MLL5	inter-chromosomal
18896	X	53247458	[53247457,53247582]	10	120879853	[120879850,120879964]	4825	5269	KDM5C	FAM45A	inter-chromosomal
8010	13	80107591	[80107458,80107593]	1	149765643	[149765224,149765648]	5364	4557	NDFIP2	HIST2H2BF	inter-chromosomal
18001	4	170663108	[170663101,170663258]	10	93390623	[93390318,93390625]	2528	5310	C4orf27	PPP1R3C	inter-chromosomal
5165	1	74648222	[74648220,74648544]	11	113933933	[113933930,113934488]	2526	5139	LRRIQ3	ZBTB16	inter-chromosomal
20953	11	122929340	[122929339,122929540]	11	34680080	[34680078,34680275]	2643	4827	HSPA8	EHF	intra-chromosomal
8680	16	27499875	[27499872,27499956]	1	156256051	[156256048,156256264]	2531	4804	GTF3C1	TMEM79	inter-chromosomal
1888	1	204161902	[204161897,204162042]	1	21097566	[21097423,21097569]	2972	4435	KISS1	HP1BP3	intra-chromosomal
63367	3	52968829	[52968825,52968917]	5	72469887	[72469886,72470417]	4263	3811	SFMBT1	TMEM174	inter-chromosomal
14753	10	38126545	[38126544,38126640]	12	57011316	[57011179,57011321]	4779	3409	ZNF248	BAZ2A	inter-chromosomal
8373	1	153507678	[153507677,153507851]	1	231401039	[231401036,231401166]	3170	4101	S100A6	GNPAT	intra-chromosomal
70942	X	38212026	[38211798,38212029]	6	41606477	[41606476,41606563]	1728	4769	OTC	MDFI	inter-chromosomal
58761	2	203397455	[203397308,203397458]	2	242742760	[242742757,242743162]	2239	4392	BMPR2	GAL3ST2	intra-chromosomal
9752	10	54074845	[54074680,54074848]	1	178514348	[178514346,178514783]	2095	4419	DKK1	AL513013.1;C1orf220	inter-chromosomal
35709	X	155233203	[155233114,155233203]	14	64153379	[64153128,64153379]	1	5433	IL9R	SGPP1	inter-chromosomal
31841	13	23808750	[23808746,23808851]	2	233245030	[233244896,233245033]	3132	3543	SGCG	ALPP	inter-chromosomal
