juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr8_125551169_-:chr17_38062238_-	interchromosomal	0	na	17	5	5	100	0	0	12	129	91.4894	100	100	0	0	na	na	GT	AG	125551195	38062211	0	na	na	ENSG00000147687.12	ENSG00000073605.14	TATDN1	GSDMB	protein_coding	protein_coding	HWI-EAS418:7:50:804:56/2,HWI-EAS418:7:60:518:293/1,HWI-EAS418:7:33:1021:1720/2,HWI-EAS418:8:88:165:226/2,HWI-EAS418:8:46:776:1373/1,	HWI-EAS418:7:67:655:940,HWI-EAS418:8:73:1224:655,HWI-EAS418:7:71:292:1107,HWI-EAS418:8:91:252:29,HWI-EAS418:8:65:515:597,HWI-EAS418:7:43:950:1100,HWI-EAS418:7:8:1102:409,HWI-EAS418:7:34:1757:1167,HWI-EAS418:8:7:1530:247,HWI-EAS418:7:99:1709:828,HWI-EAS418:8:93:1270:1696,HWI-EAS418:8:84:1266:1400,	HWI-EAS418:7:13:1484:945,HWI-EAS418:8:2:28:1497,HWI-EAS418:8:79:533:1574,HWI-EAS418:8:13:43:370,HWI-EAS418:8:2:1416:1328,HWI-EAS418:7:45:1148:902,HWI-EAS418:8:62:523:1651,HWI-EAS418:7:69:1662:1531,HWI-EAS418:8:95:1043:1226,HWI-EAS418:8:73:481:1067,HWI-EAS418:8:62:483:1816,HWI-EAS418:8:95:732:62,HWI-EAS418:7:54:1118:1019,HWI-EAS418:7:24:278:2003,HWI-EAS418:8:82:879:244,HWI-EAS418:7:88:1652:279,HWI-EAS418:7:33:1748:1342,HWI-EAS418:7:92:592:1368,HWI-EAS418:7:78:1134:276,HWI-EAS418:7:40:535:1765,HWI-EAS418:7:13:1441:1333,HWI-EAS418:7:49:1395:246,HWI-EAS418:8:6:788:1055,HWI-EAS418:8:99:300:1032,HWI-EAS418:7:72:729:1516,HWI-EAS418:7:16:321:407,HWI-EAS418:8:58:372:1984,HWI-EAS418:7:39:410:1145,HWI-EAS418:8:36:1677:1897,HWI-EAS418:8:31:1338:594,HWI-EAS418:7:53:637:1745,HWI-EAS418:7:89:25:427,HWI-EAS418:8:76:1645:1296,HWI-EAS418:7:1:948:872,HWI-EAS418:7:6:215:242,HWI-EAS418:7:30:1677:890,HWI-EAS418:7:91:814:88,HWI-EAS418:8:3:1519:1729,HWI-EAS418:8:13:70:1635,HWI-EAS418:8:11:1352:1193,HWI-EAS418:7:96:1788:1560,HWI-EAS418:7:26:1309:611,HWI-EAS418:7:97:855:1672,HWI-EAS418:8:40:301:1865,HWI-EAS418:8:79:1060:1619,HWI-EAS418:7:90:829:1782,HWI-EAS418:8:90:160:619,HWI-EAS418:8:47:1538:685,HWI-EAS418:8:23:370:460,HWI-EAS418:8:11:1167:342,HWI-EAS418:8:8:1267:872,HWI-EAS418:8:7:283:2024,HWI-EAS418:8:99:22:814,HWI-EAS418:8:94:1113:1911,HWI-EAS418:8:75:1171:108,HWI-EAS418:8:1:1351:623,HWI-EAS418:8:26:375:1735,HWI-EAS418:7:79:873:237,HWI-EAS418:8:68:1193:532,HWI-EAS418:8:20:1505:1584,HWI-EAS418:7:47:1660:1773,HWI-EAS418:7:71:1669:1535,HWI-EAS418:7:86:1155:630,HWI-EAS418:7:93:142:30,HWI-EAS418:8:14:1312:910,HWI-EAS418:8:37:1736:724,HWI-EAS418:7:83:1596:1774,HWI-EAS418:7:45:538:1660,HWI-EAS418:7:18:897:957,HWI-EAS418:7:22:597:1295,HWI-EAS418:7:74:195:1317,HWI-EAS418:7:50:323:500,HWI-EAS418:8:31:1225:985,HWI-EAS418:7:49:454:1440,HWI-EAS418:8:30:1487:1471,HWI-EAS418:7:61:1512:171,HWI-EAS418:7:82:680:1597,HWI-EAS418:7:58:394:1389,HWI-EAS418:7:82:1388:1734,HWI-EAS418:8:62:653:1853,HWI-EAS418:7:92:682:1966,HWI-EAS418:7:57:211:1109,HWI-EAS418:8:96:1721:1079,HWI-EAS418:8:94:579:111,HWI-EAS418:8:63:1715:171,HWI-EAS418:7:91:960:1091,HWI-EAS418:7:90:1725:1032,HWI-EAS418:8:100:167:574,HWI-EAS418:8:97:413:1597,HWI-EAS418:7:89:1408:1715,HWI-EAS418:8:24:1484:1944,HWI-EAS418:8:72:1448:868,HWI-EAS418:8:95:845:360,HWI-EAS418:8:85:575:1041,HWI-EAS418:8:84:1560:1807,HWI-EAS418:8:67:414:1317,HWI-EAS418:7:46:1560:444,HWI-EAS418:8:36:1088:1194,HWI-EAS418:7:2:1472:1029,HWI-EAS418:7:61:1597:41,HWI-EAS418:7:96:137:1690,HWI-EAS418:7:42:503:700,HWI-EAS418:7:11:936:1366,HWI-EAS418:7:78:265:524,HWI-EAS418:7:35:1716:730,HWI-EAS418:7:14:932:427,HWI-EAS418:7:80:444:944,HWI-EAS418:7:41:825:514,HWI-EAS418:7:27:282:1414,HWI-EAS418:7:15:112:1903,HWI-EAS418:8:93:1010:576,HWI-EAS418:8:72:621:696,HWI-EAS418:7:100:688:1755,HWI-EAS418:8:30:1240:1606,HWI-EAS418:8:33:1121:445,HWI-EAS418:7:56:76:81,HWI-EAS418:8:93:788:1454,HWI-EAS418:7:8:1471:292,HWI-EAS418:7:86:1377:553,HWI-EAS418:7:75:300:1095,HWI-EAS418:7:76:972:891,HWI-EAS418:7:54:461:631,HWI-EAS418:7:7:104:1545,HWI-EAS418:7:61:1302:1885,HWI-EAS418:8:88:343:1041,HWI-EAS418:8:61:491:408,HWI-EAS418:8:3:1498:1175,HWI-EAS418:7:17:1463:907,HWI-EAS418:7:53:107:100,
chr2_74213833_+:chr2_74230237_+	readthrough	0	na	8	5	3	60	2	40	3	0	0	100	100	0	0	na	na	GT	AG	74213805	74230283	1	1	16404	ENSG00000255989.1	ENSG00000187605.11	RP11-711M9.1	TET3	lincRNA	protein_coding	HWI-EAS418:7:78:1514:1837/2,HWI-EAS418:7:46:226:749/2,HWI-EAS418:8:4:611:22/1,HWI-EAS418:8:4:428:1879/1,HWI-EAS418:7:6:490:946/2,	HWI-EAS418:7:25:1546:1740,HWI-EAS418:7:31:1557:1142,HWI-EAS418:7:25:940:405,	na
chr6_158735300_+:chr6_158703295_+	inverted	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	158735282	158703327	1	0	na	ENSG00000130338.8	ENSG00000236537.1	TULP4	RP11-732M18.3	protein_coding	lincRNA	HWI-EAS418:8:18:1014:563/1,HWI-EAS418:8:17:1071:271/1,	HWI-EAS418:7:57:1084:1363,	na
chr8_23085666_+:chr8_23103769_+	readthrough	0	na	6	5	4	80	0	0	1	0	0	100	100	0	0	na	na	GT	AG	23085627	23103808	1	1	18103	ENSG00000246582.2	ENSG00000147457.9	RP11-1149O23.3	CHMP7	processed_transcript	protein_coding	HWI-EAS418:7:44:782:1684/2,HWI-EAS418:7:100:543:368/2,HWI-EAS418:7:13:628:380/2,HWI-EAS418:7:56:1525:1419/1,HWI-EAS418:8:47:1617:1255/1,	HWI-EAS418:8:99:694:1326,	na
chr8_125551266_-:chr17_38065295_-	interchromosomal	0	na	4	1	1	100	0	0	3	138	97.8723	100	100	0	0	na	na	GT	AG	125551300	38065281	0	na	na	ENSG00000147687.12	ENSG00000073605.14	TATDN1	GSDMB	protein_coding	protein_coding	HWI-EAS418:7:74:1540:734/2,	HWI-EAS418:8:91:252:29,HWI-EAS418:8:7:1530:247,HWI-EAS418:7:99:1709:828,	HWI-EAS418:7:13:1484:945,HWI-EAS418:8:2:28:1497,HWI-EAS418:8:79:533:1574,HWI-EAS418:8:13:43:370,HWI-EAS418:8:2:1416:1328,HWI-EAS418:7:45:1148:902,HWI-EAS418:8:62:523:1651,HWI-EAS418:7:69:1662:1531,HWI-EAS418:8:95:1043:1226,HWI-EAS418:8:73:481:1067,HWI-EAS418:8:62:483:1816,HWI-EAS418:8:95:732:62,HWI-EAS418:7:54:1118:1019,HWI-EAS418:7:24:278:2003,HWI-EAS418:8:82:879:244,HWI-EAS418:7:88:1652:279,HWI-EAS418:7:33:1748:1342,HWI-EAS418:7:92:592:1368,HWI-EAS418:7:78:1134:276,HWI-EAS418:7:40:535:1765,HWI-EAS418:7:13:1441:1333,HWI-EAS418:7:49:1395:246,HWI-EAS418:8:6:788:1055,HWI-EAS418:8:99:300:1032,HWI-EAS418:7:72:729:1516,HWI-EAS418:7:16:321:407,HWI-EAS418:8:58:372:1984,HWI-EAS418:7:39:410:1145,HWI-EAS418:8:36:1677:1897,HWI-EAS418:8:31:1338:594,HWI-EAS418:7:53:637:1745,HWI-EAS418:7:89:25:427,HWI-EAS418:8:76:1645:1296,HWI-EAS418:7:1:948:872,HWI-EAS418:7:6:215:242,HWI-EAS418:7:30:1677:890,HWI-EAS418:7:91:814:88,HWI-EAS418:8:3:1519:1729,HWI-EAS418:8:13:70:1635,HWI-EAS418:8:11:1352:1193,HWI-EAS418:7:96:1788:1560,HWI-EAS418:7:26:1309:611,HWI-EAS418:7:97:855:1672,HWI-EAS418:8:40:301:1865,HWI-EAS418:8:79:1060:1619,HWI-EAS418:7:90:829:1782,HWI-EAS418:8:90:160:619,HWI-EAS418:8:47:1538:685,HWI-EAS418:8:23:370:460,HWI-EAS418:8:11:1167:342,HWI-EAS418:8:8:1267:872,HWI-EAS418:8:7:283:2024,HWI-EAS418:8:99:22:814,HWI-EAS418:8:94:1113:1911,HWI-EAS418:8:75:1171:108,HWI-EAS418:8:1:1351:623,HWI-EAS418:8:26:375:1735,HWI-EAS418:7:79:873:237,HWI-EAS418:8:68:1193:532,HWI-EAS418:8:20:1505:1584,HWI-EAS418:7:47:1660:1773,HWI-EAS418:7:71:1669:1535,HWI-EAS418:7:86:1155:630,HWI-EAS418:7:93:142:30,HWI-EAS418:8:14:1312:910,HWI-EAS418:8:37:1736:724,HWI-EAS418:7:83:1596:1774,HWI-EAS418:7:45:538:1660,HWI-EAS418:7:18:897:957,HWI-EAS418:7:22:597:1295,HWI-EAS418:7:74:195:1317,HWI-EAS418:7:50:323:500,HWI-EAS418:8:31:1225:985,HWI-EAS418:7:49:454:1440,HWI-EAS418:8:30:1487:1471,HWI-EAS418:7:61:1512:171,HWI-EAS418:7:82:680:1597,HWI-EAS418:7:58:394:1389,HWI-EAS418:7:82:1388:1734,HWI-EAS418:8:62:653:1853,HWI-EAS418:7:67:655:940,HWI-EAS418:7:92:682:1966,HWI-EAS418:7:57:211:1109,HWI-EAS418:8:96:1721:1079,HWI-EAS418:8:94:579:111,HWI-EAS418:8:63:1715:171,HWI-EAS418:7:91:960:1091,HWI-EAS418:8:73:1224:655,HWI-EAS418:7:90:1725:1032,HWI-EAS418:8:100:167:574,HWI-EAS418:8:97:413:1597,HWI-EAS418:7:89:1408:1715,HWI-EAS418:8:24:1484:1944,HWI-EAS418:7:71:292:1107,HWI-EAS418:8:72:1448:868,HWI-EAS418:8:95:845:360,HWI-EAS418:8:85:575:1041,HWI-EAS418:8:84:1560:1807,HWI-EAS418:8:67:414:1317,HWI-EAS418:7:46:1560:444,HWI-EAS418:8:36:1088:1194,HWI-EAS418:7:2:1472:1029,HWI-EAS418:7:61:1597:41,HWI-EAS418:7:96:137:1690,HWI-EAS418:7:42:503:700,HWI-EAS418:7:11:936:1366,HWI-EAS418:7:78:265:524,HWI-EAS418:7:35:1716:730,HWI-EAS418:7:14:932:427,HWI-EAS418:7:80:444:944,HWI-EAS418:7:41:825:514,HWI-EAS418:7:27:282:1414,HWI-EAS418:7:15:112:1903,HWI-EAS418:8:93:1010:576,HWI-EAS418:8:72:621:696,HWI-EAS418:8:65:515:597,HWI-EAS418:7:43:950:1100,HWI-EAS418:7:8:1102:409,HWI-EAS418:7:34:1757:1167,HWI-EAS418:7:100:688:1755,HWI-EAS418:8:30:1240:1606,HWI-EAS418:8:33:1121:445,HWI-EAS418:8:93:1270:1696,HWI-EAS418:7:56:76:81,HWI-EAS418:8:93:788:1454,HWI-EAS418:7:8:1471:292,HWI-EAS418:7:86:1377:553,HWI-EAS418:7:75:300:1095,HWI-EAS418:7:76:972:891,HWI-EAS418:7:54:461:631,HWI-EAS418:7:7:104:1545,HWI-EAS418:7:61:1302:1885,HWI-EAS418:8:88:343:1041,HWI-EAS418:8:61:491:408,HWI-EAS418:8:84:1266:1400,HWI-EAS418:8:3:1498:1175,HWI-EAS418:7:17:1463:907,HWI-EAS418:7:53:107:100,
chr16_85391249_+:chr16_85682158_+	intrachromosomal	0	na	6	4	4	100	3	75	2	0	0	100	100	0	0	na	na	GT	AG	85391228	85682205	1	1	290909	ENSG00000261567.1	ENSG00000131149.13	RP11-680G10.1	GSE1	protein_coding	protein_coding	HWI-EAS418:7:3:1298:452/2,HWI-EAS418:8:25:998:1349/1,HWI-EAS418:8:20:669:102/2,HWI-EAS418:8:42:1605:1483/1,	HWI-EAS418:7:100:1059:1008,HWI-EAS418:7:37:781:1062,	na
chr8_125551266_-:chr17_38063240_-	interchromosomal	0	na	5	2	2	100	0	0	3	138	97.8723	100	100	0	0	na	na	GT	AG	125551300	38063216	0	na	na	ENSG00000147687.12	ENSG00000073605.14	TATDN1	GSDMB	protein_coding	protein_coding	HWI-EAS418:7:42:1439:1369/1,HWI-EAS418:7:56:1190:890/2,	HWI-EAS418:8:91:252:29,HWI-EAS418:8:7:1530:247,HWI-EAS418:7:99:1709:828,	HWI-EAS418:7:13:1484:945,HWI-EAS418:8:2:28:1497,HWI-EAS418:8:79:533:1574,HWI-EAS418:8:13:43:370,HWI-EAS418:8:2:1416:1328,HWI-EAS418:7:45:1148:902,HWI-EAS418:8:62:523:1651,HWI-EAS418:7:69:1662:1531,HWI-EAS418:8:95:1043:1226,HWI-EAS418:8:73:481:1067,HWI-EAS418:8:62:483:1816,HWI-EAS418:8:95:732:62,HWI-EAS418:7:54:1118:1019,HWI-EAS418:7:24:278:2003,HWI-EAS418:8:82:879:244,HWI-EAS418:7:88:1652:279,HWI-EAS418:7:33:1748:1342,HWI-EAS418:7:92:592:1368,HWI-EAS418:7:78:1134:276,HWI-EAS418:7:40:535:1765,HWI-EAS418:7:13:1441:1333,HWI-EAS418:7:49:1395:246,HWI-EAS418:8:6:788:1055,HWI-EAS418:8:99:300:1032,HWI-EAS418:7:72:729:1516,HWI-EAS418:7:16:321:407,HWI-EAS418:8:58:372:1984,HWI-EAS418:7:39:410:1145,HWI-EAS418:8:36:1677:1897,HWI-EAS418:8:31:1338:594,HWI-EAS418:7:53:637:1745,HWI-EAS418:7:89:25:427,HWI-EAS418:8:76:1645:1296,HWI-EAS418:7:1:948:872,HWI-EAS418:7:6:215:242,HWI-EAS418:7:30:1677:890,HWI-EAS418:7:91:814:88,HWI-EAS418:8:3:1519:1729,HWI-EAS418:8:13:70:1635,HWI-EAS418:8:11:1352:1193,HWI-EAS418:7:96:1788:1560,HWI-EAS418:7:26:1309:611,HWI-EAS418:7:97:855:1672,HWI-EAS418:8:40:301:1865,HWI-EAS418:8:79:1060:1619,HWI-EAS418:7:90:829:1782,HWI-EAS418:8:90:160:619,HWI-EAS418:8:47:1538:685,HWI-EAS418:8:23:370:460,HWI-EAS418:8:11:1167:342,HWI-EAS418:8:8:1267:872,HWI-EAS418:8:7:283:2024,HWI-EAS418:8:99:22:814,HWI-EAS418:8:94:1113:1911,HWI-EAS418:8:75:1171:108,HWI-EAS418:8:1:1351:623,HWI-EAS418:8:26:375:1735,HWI-EAS418:7:79:873:237,HWI-EAS418:8:68:1193:532,HWI-EAS418:8:20:1505:1584,HWI-EAS418:7:47:1660:1773,HWI-EAS418:7:71:1669:1535,HWI-EAS418:7:86:1155:630,HWI-EAS418:7:93:142:30,HWI-EAS418:8:14:1312:910,HWI-EAS418:8:37:1736:724,HWI-EAS418:7:83:1596:1774,HWI-EAS418:7:45:538:1660,HWI-EAS418:7:18:897:957,HWI-EAS418:7:22:597:1295,HWI-EAS418:7:74:195:1317,HWI-EAS418:7:50:323:500,HWI-EAS418:8:31:1225:985,HWI-EAS418:7:49:454:1440,HWI-EAS418:8:30:1487:1471,HWI-EAS418:7:61:1512:171,HWI-EAS418:7:82:680:1597,HWI-EAS418:7:58:394:1389,HWI-EAS418:7:82:1388:1734,HWI-EAS418:8:62:653:1853,HWI-EAS418:7:67:655:940,HWI-EAS418:7:92:682:1966,HWI-EAS418:7:57:211:1109,HWI-EAS418:8:96:1721:1079,HWI-EAS418:8:94:579:111,HWI-EAS418:8:63:1715:171,HWI-EAS418:7:91:960:1091,HWI-EAS418:8:73:1224:655,HWI-EAS418:7:90:1725:1032,HWI-EAS418:8:100:167:574,HWI-EAS418:8:97:413:1597,HWI-EAS418:7:89:1408:1715,HWI-EAS418:8:24:1484:1944,HWI-EAS418:7:71:292:1107,HWI-EAS418:8:72:1448:868,HWI-EAS418:8:95:845:360,HWI-EAS418:8:85:575:1041,HWI-EAS418:8:84:1560:1807,HWI-EAS418:8:67:414:1317,HWI-EAS418:7:46:1560:444,HWI-EAS418:8:36:1088:1194,HWI-EAS418:7:2:1472:1029,HWI-EAS418:7:61:1597:41,HWI-EAS418:7:96:137:1690,HWI-EAS418:7:42:503:700,HWI-EAS418:7:11:936:1366,HWI-EAS418:7:78:265:524,HWI-EAS418:7:35:1716:730,HWI-EAS418:7:14:932:427,HWI-EAS418:7:80:444:944,HWI-EAS418:7:41:825:514,HWI-EAS418:7:27:282:1414,HWI-EAS418:7:15:112:1903,HWI-EAS418:8:93:1010:576,HWI-EAS418:8:72:621:696,HWI-EAS418:8:65:515:597,HWI-EAS418:7:43:950:1100,HWI-EAS418:7:8:1102:409,HWI-EAS418:7:34:1757:1167,HWI-EAS418:7:100:688:1755,HWI-EAS418:8:30:1240:1606,HWI-EAS418:8:33:1121:445,HWI-EAS418:8:93:1270:1696,HWI-EAS418:7:56:76:81,HWI-EAS418:8:93:788:1454,HWI-EAS418:7:8:1471:292,HWI-EAS418:7:86:1377:553,HWI-EAS418:7:75:300:1095,HWI-EAS418:7:76:972:891,HWI-EAS418:7:54:461:631,HWI-EAS418:7:7:104:1545,HWI-EAS418:7:61:1302:1885,HWI-EAS418:8:88:343:1041,HWI-EAS418:8:61:491:408,HWI-EAS418:8:84:1266:1400,HWI-EAS418:8:3:1498:1175,HWI-EAS418:7:17:1463:907,HWI-EAS418:7:53:107:100,
chr17_76778284_-:chr8_117671219_-	interchromosomal	0	na	12	1	1	100	0	0	11	31	73.8095	100	100	0	0	na	na	GT	AG	76778314	117671201	0	na	na	ENSG00000108669.12	ENSG00000147677.6	CYTH1	EIF3H	protein_coding	protein_coding	HWI-EAS418:7:38:1208:1975/1,	HWI-EAS418:8:1:1480:183,HWI-EAS418:7:20:1430:1547,HWI-EAS418:7:21:1634:245,HWI-EAS418:7:90:646:793,HWI-EAS418:7:99:1619:965,HWI-EAS418:7:95:421:572,HWI-EAS418:7:1:934:535,HWI-EAS418:7:39:868:690,HWI-EAS418:7:6:1587:1952,HWI-EAS418:7:38:1725:1507,HWI-EAS418:7:94:711:1342,	HWI-EAS418:7:93:1118:1705,HWI-EAS418:8:99:454:927,HWI-EAS418:7:66:304:1639,HWI-EAS418:7:58:1092:375,HWI-EAS418:7:6:980:1818,HWI-EAS418:8:12:1470:1080,HWI-EAS418:7:25:425:1665,HWI-EAS418:7:93:413:36,HWI-EAS418:7:4:1696:809,HWI-EAS418:7:7:308:90,HWI-EAS418:7:55:1216:1532,HWI-EAS418:7:58:421:691,HWI-EAS418:7:17:1724:1634,HWI-EAS418:8:31:1068:1689,HWI-EAS418:7:30:1687:654,HWI-EAS418:7:10:765:1276,HWI-EAS418:7:4:990:1843,HWI-EAS418:7:57:220:557,HWI-EAS418:8:71:1067:480,HWI-EAS418:7:22:210:126,HWI-EAS418:7:95:1258:1319,HWI-EAS418:8:62:1499:997,HWI-EAS418:7:56:714:1977,HWI-EAS418:7:19:1675:653,HWI-EAS418:7:22:877:1777,HWI-EAS418:7:86:671:2022,HWI-EAS418:7:1:601:1417,HWI-EAS418:7:19:348:779,HWI-EAS418:7:79:1020:960,HWI-EAS418:7:79:1040:1778,HWI-EAS418:7:46:1511:272,
chr15_45879723_+:chr15_86182605_+	intrachromosomal	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	123	88.62	GT	AG	45879677	86182636	1	1	40302882	ENSG00000260170.1,ENSG00000104164.6	ENSG00000170776.15	RP11-96O20.4,BLOC1S6	AKAP13	protein_coding,protein_coding	protein_coding	HWI-EAS418:8:5:1748:1677/1,HWI-EAS418:7:38:764:1372/2,	HWI-EAS418:7:54:1713:966,	na
chr2_85808999_+:chr2_85818848_+	readthrough	0	na	17	12	7	58.3333	10	83.3333	5	0	0	100	100	121	0	na	na	GT	AG	85808951	85818895	1	1	9849	ENSG00000118640.6	ENSG00000168899.4	VAMP8	VAMP5	protein_coding	protein_coding	HWI-EAS418:8:52:405:1157/1,HWI-EAS418:8:24:306:806/2,HWI-EAS418:8:68:1428:1001/2,HWI-EAS418:8:68:1428:1001/2,HWI-EAS418:8:68:1428:1001/2,HWI-EAS418:8:24:306:806/1,HWI-EAS418:8:24:306:806/1,HWI-EAS418:8:24:306:806/1,HWI-EAS418:8:24:306:806/1,HWI-EAS418:7:26:977:1626/1,HWI-EAS418:8:69:194:1329/1,HWI-EAS418:8:99:390:120/1,	HWI-EAS418:7:25:540:594,HWI-EAS418:7:61:911:40,HWI-EAS418:7:37:100:1891,HWI-EAS418:7:80:931:438,HWI-EAS418:7:74:791:1512,	na
