juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr5_115389850_+:chr5_115423194_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	115389760	115423221	1	1	33344	ENSG00000268714.3,ENSG00000268223.2	ENSG00000145781.4	CTD-2287O16.3,ARL14EPL	COMMD10	protein_coding,protein_coding	protein_coding	D1KNFACXX130129:7:2102:13245:59861/1,D1KNFACXX130129:7:2102:13245:59861/2,	D1KNFACXX130129:5:1109:14370:82323,	na
chr14_62162557_+:chr19_10450357_-	interchromosomal	0	na	155	92	49	53.2609	8	8.69565	63	12	16	100	76.7442	0	20	na	na	GT	AG	62162474	10450272	0	na	na	ENSG00000100644.12	ENSG00000076662.5	HIF1A	ICAM3	protein_coding	protein_coding	D1KYPACXX130129:5:2314:8242:89473/1,D1KVCACXX130129:5:2112:10722:75749/1,D1KNFACXX130129:7:1213:9235:11690/1,C1EHHACXX130117:7:2212:5058:15173/1,C1EHHACXX130117:6:2315:16046:25217/1,D1KNFACXX130129:5:1102:4522:50389/2,D1KYPACXX130129:3:1113:18978:87338/1,D1KYPACXX130129:8:1110:5822:24332/2,D1KVCACXX130129:5:2203:9951:89098/2,D1KNFACXX130129:8:2111:16359:53063/2,D1KNFACXX130129:4:1103:16266:59042/2,C1EHHACXX130117:7:2101:8506:35562/2,D1KYPACXX130129:6:1210:18158:44842/1,D1KYPACXX130129:5:2301:8627:14621/2,C1EHHACXX130117:4:2206:19114:81506/1,D1KT4ACXX130122:8:1305:5677:24240/2,D1KNFACXX130129:8:2111:8692:23435/2,D1KNFACXX130129:4:2303:16753:4791/2,D1KNFACXX130129:5:2116:13353:14105/2,D1KYPACXX130129:3:1311:8136:56987/2,D1KYPACXX130129:2:2204:11021:39847/1,C1FBVACXX130129:2:2212:16002:97614/2,D1KYPACXX130129:5:1116:15530:60713/1,D1KYPACXX130129:2:1301:5952:47584/1,D1KVCACXX130129:6:2213:12538:56900/1,D1KT4ACXX130122:7:1109:12817:99306/2,D1KNFACXX130129:1:2109:17818:23981/1,C1FBVACXX130129:5:1205:2260:31505/2,C1FBVACXX130129:4:2215:12413:6496/1,C1FBVACXX130129:2:1311:15431:73050/2,C1EHHACXX130117:8:1201:12325:65692/2,C1FBVACXX130129:4:2111:13856:69558/2,D1KNFACXX130129:7:2111:3432:96328/1,D1KNFACXX130129:5:2301:15925:22061/1,C1EHHACXX130117:3:1206:14378:99601/1,C1EHHACXX130117:7:2212:5058:15173/2,D1KYPACXX130129:4:1111:13577:51811/2,C1FBVACXX130129:2:2304:15878:28910/1,D1KNFACXX130129:7:1113:14649:56631/2,D1KT4ACXX130122:6:2103:2499:74174/2,D1KVCACXX130129:6:1212:16781:95473/1,D1KNFACXX130129:1:1316:8392:91384/1,C1EHHACXX130117:4:2315:10457:24999/2,D1KNFACXX130129:6:1113:1866:60501/1,D1KNFACXX130129:6:1315:10706:98229/2,D1KVCACXX130129:6:2108:16638:7770/1,D1KYPACXX130129:7:2205:18131:41296/2,C1EHHACXX130117:8:1110:13625:39210/1,C1FBVACXX130129:2:2309:7059:8056/2,D1KYPACXX130129:5:2301:8627:14621/1,D1KT4ACXX130122:8:1112:12380:55849/1,D1KYPACXX130129:1:1303:15663:69895/1,C1EHHACXX130117:8:2209:16789:65312/1,D1KVCACXX130129:7:2212:9712:37001/2,C1EHHACXX130117:1:2312:4155:73721/1,C1EHHACXX130117:8:1213:19984:63825/2,C1DVPACXX130111:8:2207:14724:69367/2,C1FBVACXX130129:2:2312:6482:4410/1,D1KYPACXX130129:6:1210:18158:44842/2,D1KNFACXX130129:6:1301:1362:8544/1,C1FBVACXX130129:4:2112:20384:32607/2,C1EHHACXX130117:6:2109:18242:72833/2,C1EHHACXX130117:4:1204:9945:34428/2,D1KYPACXX130129:5:1305:14734:47794/2,D1KYPACXX130129:7:1203:11637:43942/2,C1FBVACXX130129:4:1204:20159:29215/2,C1FBVACXX130129:4:2111:13856:69558/1,D1KVCACXX130129:5:1107:18582:30232/2,D1KNFACXX130129:4:1301:7856:25655/1,C1EHHACXX130117:1:1102:14382:81554/1,D1KVCACXX130129:5:2115:17128:18239/1,D1KYPACXX130129:3:2204:16572:53891/2,D1KT4ACXX130122:8:2203:4912:52051/1,D1KVCACXX130129:1:1112:17195:68728/2,D1KT4ACXX130122:8:2205:4217:21107/2,D1KVCACXX130129:2:2107:8169:47611/1,D1KNFACXX130129:4:2102:5205:48198/1,C1FBVACXX130129:2:2312:6482:4410/2,C1FBVACXX130129:3:1215:17237:79624/2,D1KYPACXX130129:4:2305:11439:58441/1,C1FBVACXX130129:4:1211:14763:28827/2,C1FBVACXX130129:3:2309:4228:3584/2,D1KYPACXX130129:6:2115:2491:83542/2,C1EHHACXX130117:4:1207:19479:58764/2,D1KVCACXX130129:7:2212:5506:56136/1,D1KYPACXX130129:2:1209:20622:38618/2,D1KVCACXX130129:3:2203:16748:74759/2,D1KVCACXX130129:3:1306:17888:88906/2,C1EHHACXX130117:2:2308:17467:84824/2,D1KNFACXX130129:5:2306:8419:50002/2,C1FBVACXX130129:3:1307:8950:41526/2,D1KNFACXX130129:3:1302:14406:55064/1,	C1EHHACXX130117:3:1211:6250:58969,D1KYPACXX130129:2:1308:9114:95174,D1KVCACXX130129:4:1312:15567:42784,D1KVCACXX130129:3:2307:11257:23453,D1KVCACXX130129:4:1101:5293:61302,D1KYPACXX130129:4:1215:19161:83978,D1KYPACXX130129:2:1304:14877:21905,D1KNFACXX130129:6:2105:20646:54081,D1KNFACXX130129:8:2314:2084:6314,C1FBVACXX130129:5:1306:11866:45868,C1FBVACXX130129:3:1208:17184:53242,D1KNFACXX130129:6:1201:18141:68630,D1KVCACXX130129:1:2102:15915:61230,D1KYPACXX130129:7:2308:6311:27430,C1EHHACXX130117:5:1313:13031:67504,D1KVCACXX130129:2:2204:20692:26492,C1FBVACXX130129:5:2314:11003:77356,C1EHHACXX130117:6:2210:2707:53895,D1KNFACXX130129:6:2203:11087:57863,D1KYPACXX130129:7:1107:5575:88359,C1EHHACXX130117:1:1103:6921:15343,C1EHHACXX130117:4:2107:15846:7986,D1KNFACXX130129:7:2307:2118:78358,D1KYPACXX130129:3:2206:9268:72834,D1KNFACXX130129:3:1111:21051:63802,D1KVCACXX130129:5:2202:10215:63504,C1FBVACXX130129:5:1102:8731:64020,D1KT4ACXX130122:7:1204:17889:15410,D1KVCACXX130129:7:1205:15815:31811,D1KYPACXX130129:1:1212:4174:100458,D1KNFACXX130129:6:2209:19558:25712,C1EHHACXX130117:1:2303:9444:33166,D1KT4ACXX130122:6:1301:2581:41326,C1FBVACXX130129:2:1101:7125:41145,D1KT4ACXX130122:7:2216:13719:65595,D1KYPACXX130129:5:2112:3795:45726,C1EHHACXX130117:7:2215:2643:89333,D1KT4ACXX130122:7:1306:12106:51417,D1KYPACXX130129:4:1212:11381:94526,D1KNFACXX130129:8:2316:14586:60837,D1KNFACXX130129:2:1101:17602:78952,D1KVCACXX130129:2:2112:17155:62375,C1EHHACXX130117:1:2201:7868:24715,D1KNFACXX130129:7:1212:7265:90943,D1KT4ACXX130122:6:2201:20155:44827,C1EHHACXX130117:4:1106:20921:9541,D1KNFACXX130129:7:1313:16606:23815,D1KNFACXX130129:5:1215:4255:31380,D1KNFACXX130129:3:2314:19847:61455,C1EHHACXX130117:3:2308:2162:87961,C1EHHACXX130117:8:2107:10611:18635,D1KVCACXX130129:5:2113:2794:87466,D1KYPACXX130129:8:1101:8324:94190,D1KYPACXX130129:2:1310:9559:9302,C1FBVACXX130129:5:2105:2830:8900,D1KYPACXX130129:4:2313:3505:78896,D1KYPACXX130129:2:1206:17220:84580,D1KYPACXX130129:1:1110:12436:52351,D1KVCACXX130129:1:2202:5302:2325,D1KYPACXX130129:5:2204:1900:100075,D1KYPACXX130129:3:1202:12172:75131,C1FBVACXX130129:4:1111:11831:27992,C1FBVACXX130129:4:1203:17034:37734,	C1DVPACXX130111:8:2105:18521:36957,D1KVCACXX130129:4:2109:17057:68405,D1KYPACXX130129:4:1203:6327:89217,C1EHHACXX130117:1:2209:11197:26107,D1KYPACXX130129:8:2109:19076:62285,D1KNFACXX130129:3:2102:11105:84173,C1FBVACXX130129:2:2215:11489:30901,D1KYPACXX130129:7:2204:10067:31613,D1KNFACXX130129:7:2114:3806:11415,D1KYPACXX130129:3:2112:19867:36026,D1KNFACXX130129:2:1116:11301:53197,C1FBVACXX130129:4:2315:17290:52336,
chr14_62162557_+:chr19_10450417_-	interchromosomal	0	na	104	35	28	80	0	0	69	6	8	100	3.61446	0	80	na	na	GT	AG	62162474	10450335	0	na	na	ENSG00000100644.12	ENSG00000076662.5	HIF1A	ICAM3	protein_coding	protein_coding	C1EHHACXX130117:8:1215:16700:26043/1,C1EHHACXX130117:8:2207:19385:34448/2,D1KYPACXX130129:6:2103:8062:40756/1,D1KNFACXX130129:2:1209:6920:42930/2,D1KYPACXX130129:8:1106:4602:9520/2,C1FBVACXX130129:3:2101:15850:94321/2,D1KNFACXX130129:3:2205:8627:67879/2,C1FBVACXX130129:4:2206:21026:14906/1,D1KYPACXX130129:7:2305:1790:68155/2,D1KYPACXX130129:5:2112:9532:58124/2,D1KNFACXX130129:1:2213:13521:43242/1,D1KVCACXX130129:1:2307:20319:22709/2,D1KNFACXX130129:5:1211:10137:9128/2,C1EHHACXX130117:1:1213:13021:37082/1,D1KVCACXX130129:7:1214:3118:46218/2,D1KYPACXX130129:5:1210:20345:27514/1,D1KNFACXX130129:4:2315:4684:54898/2,D1KNFACXX130129:7:2302:13418:93546/1,D1KYPACXX130129:3:2207:2176:62696/2,D1KT4ACXX130122:8:1204:10700:88620/1,C1EHHACXX130117:3:2314:9688:78743/1,D1KNFACXX130129:3:1310:1927:73014/1,D1KT4ACXX130122:6:2215:17184:2325/2,C1EHHACXX130117:8:1211:8117:85619/2,D1KYPACXX130129:8:1310:12390:22500/1,D1KT4ACXX130122:8:2205:16054:75651/1,D1KYPACXX130129:4:2313:17135:19535/2,D1KYPACXX130129:2:1212:4400:77891/1,D1KVCACXX130129:6:2104:1537:100445/2,C1FBVACXX130129:5:1210:15734:34435/2,D1KYPACXX130129:8:1310:12390:22500/2,D1KVCACXX130129:4:2305:4275:13758/1,C1EHHACXX130117:3:2308:4097:32382/1,D1KNFACXX130129:5:2203:16925:20428/2,D1KYPACXX130129:5:2112:9532:58124/1,	C1EHHACXX130117:3:1211:6250:58969,D1KYPACXX130129:2:1308:9114:95174,D1KVCACXX130129:4:1312:15567:42784,D1KVCACXX130129:3:2307:11257:23453,D1KVCACXX130129:4:1101:5293:61302,D1KYPACXX130129:4:1215:19161:83978,D1KYPACXX130129:2:1304:14877:21905,D1KNFACXX130129:6:2105:20646:54081,D1KNFACXX130129:8:2314:2084:6314,C1FBVACXX130129:5:1306:11866:45868,C1FBVACXX130129:3:1208:17184:53242,D1KNFACXX130129:6:1201:18141:68630,D1KVCACXX130129:1:2102:15915:61230,D1KYPACXX130129:7:2308:6311:27430,C1EHHACXX130117:5:1313:13031:67504,D1KVCACXX130129:2:2204:20692:26492,C1FBVACXX130129:5:2314:11003:77356,C1EHHACXX130117:6:2210:2707:53895,D1KNFACXX130129:6:2203:11087:57863,D1KYPACXX130129:7:1107:5575:88359,C1EHHACXX130117:1:1103:6921:15343,C1EHHACXX130117:4:2107:15846:7986,D1KNFACXX130129:7:2307:2118:78358,D1KYPACXX130129:3:2206:9268:72834,D1KNFACXX130129:3:1111:21051:63802,D1KVCACXX130129:5:2202:10215:63504,C1FBVACXX130129:5:1102:8731:64020,D1KT4ACXX130122:7:1204:17889:15410,C1FBVACXX130129:2:2215:11489:30901,D1KYPACXX130129:7:2204:10067:31613,D1KVCACXX130129:7:1205:15815:31811,D1KYPACXX130129:1:1212:4174:100458,D1KNFACXX130129:6:2209:19558:25712,C1EHHACXX130117:1:2303:9444:33166,D1KT4ACXX130122:6:1301:2581:41326,C1FBVACXX130129:2:1101:7125:41145,D1KT4ACXX130122:7:2216:13719:65595,D1KYPACXX130129:5:2112:3795:45726,C1EHHACXX130117:7:2215:2643:89333,D1KT4ACXX130122:7:1306:12106:51417,D1KYPACXX130129:4:1212:11381:94526,D1KNFACXX130129:8:2316:14586:60837,D1KNFACXX130129:2:1101:17602:78952,D1KVCACXX130129:2:2112:17155:62375,C1EHHACXX130117:1:2201:7868:24715,D1KNFACXX130129:7:1212:7265:90943,D1KT4ACXX130122:6:2201:20155:44827,C1EHHACXX130117:4:1106:20921:9541,D1KNFACXX130129:7:1313:16606:23815,D1KNFACXX130129:5:1215:4255:31380,D1KNFACXX130129:3:2314:19847:61455,C1EHHACXX130117:3:2308:2162:87961,C1EHHACXX130117:8:2107:10611:18635,D1KVCACXX130129:5:2113:2794:87466,D1KYPACXX130129:8:1101:8324:94190,D1KYPACXX130129:2:1310:9559:9302,D1KNFACXX130129:7:2114:3806:11415,C1FBVACXX130129:5:2105:2830:8900,D1KYPACXX130129:4:2313:3505:78896,D1KYPACXX130129:2:1206:17220:84580,D1KYPACXX130129:3:2112:19867:36026,D1KYPACXX130129:1:1110:12436:52351,D1KVCACXX130129:1:2202:5302:2325,D1KNFACXX130129:2:1116:11301:53197,D1KYPACXX130129:5:2204:1900:100075,D1KYPACXX130129:3:1202:12172:75131,C1FBVACXX130129:4:1111:11831:27992,C1FBVACXX130129:4:1203:17034:37734,C1FBVACXX130129:4:2315:17290:52336,	C1DVPACXX130111:8:2105:18521:36957,D1KVCACXX130129:4:2109:17057:68405,D1KYPACXX130129:4:1203:6327:89217,C1EHHACXX130117:1:2209:11197:26107,D1KYPACXX130129:8:2109:19076:62285,D1KNFACXX130129:3:2102:11105:84173,
chr9_540667_+:chr9_549190_+	readthrough	0	na	8	6	5	83.3333	0	0	2	0	0	100	100	0	0	na	na	GT	AG	540598	549273	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1KVCACXX130129:7:2207:4521:36661/2,D1KVCACXX130129:6:1303:19035:4177/1,D1KT4ACXX130122:7:1112:11718:68733/1,C1FBVACXX130129:4:2106:16133:5486/1,D1KT4ACXX130122:6:2104:11131:97351/1,D1KYPACXX130129:3:2114:5368:29268/2,	D1KYPACXX130129:4:2209:14271:98674,D1KNFACXX130129:2:1209:20996:83405,	na
chr9_540667_+:chr9_549107_+	readthrough	0	na	8	6	6	100	1	16.6667	2	0	0	100	100	0	0	na	na	GT	AG	540582	549206	1	1	8440	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1KNFACXX130129:5:1303:16295:40290/1,D1KVCACXX130129:5:1113:10502:92576/2,D1KYPACXX130129:2:2306:4375:36548/2,D1KNFACXX130129:5:2313:6029:36724/2,D1KVCACXX130129:5:1113:10502:92576/1,D1KVCACXX130129:1:2105:3802:34343/1,	D1KYPACXX130129:4:2209:14271:98674,D1KNFACXX130129:2:1209:20996:83405,	na
chr4_124418099_+:chr4_124573942_+	intrachromosomal	0	na	13	11	7	63.6364	7	63.6364	2	0	0	100	100	0	0	na	na	GT	AG	124418019	124574034	1	1	155843	ENSG00000249125.1	ENSG00000249464.1	RP11-381N20.2	RP11-93L9.1	lincRNA	lincRNA	D1KYPACXX130129:6:1211:19501:48065/1,D1KYPACXX130129:6:1211:19501:48065/1,C1FBVACXX130129:5:1314:3981:90395/2,C1DVPACXX130111:8:2210:11361:93685/1,D1KVCACXX130129:8:2116:12458:36763/1,D1KVCACXX130129:8:2116:12458:36763/1,D1KVCACXX130129:4:1215:14243:9366/2,D1KVCACXX130129:4:1215:14243:9366/2,C1DVPACXX130111:8:2210:11361:93685/2,C1FBVACXX130129:5:2208:8326:88181/1,C1FBVACXX130129:5:1314:3981:90395/1,	D1KYPACXX130129:7:2208:16292:40963,D1KYPACXX130129:1:1205:17421:21559,	na
chr12_46848924_+:chr12_47046173_+	intrachromosomal	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	46848828	47046243	1	1	197249	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	D1KYPACXX130129:4:2306:14912:34119/1,D1KYPACXX130129:4:2306:14912:34119/2,D1KNFACXX130129:6:2208:3004:65309/2,	D1KNFACXX130129:3:1112:7768:38776,	na
chr3_53289852_-:chr3_58739590_-	inverted	0	na	101	59	35	59.322	0	0	42	2	4.54545	100	100	0	0	na	na	GT	AG	53289932	58739514	1	0	na	ENSG00000163931.11	ENSG00000163689.14	TKT	C3orf67	protein_coding	protein_coding	C1EHHACXX130117:7:1311:15636:44083/1,D1KNFACXX130129:5:1115:11497:22449/1,D1KYPACXX130129:6:1203:6675:95933/1,D1KYPACXX130129:3:2113:16281:72740/2,C1FBVACXX130129:2:1313:4008:89719/2,D1KYPACXX130129:7:2206:16322:64299/1,D1KYPACXX130129:4:2108:15116:58953/1,C1FBVACXX130129:4:1312:15743:23843/1,C1FBVACXX130129:4:1202:8201:90158/1,D1KYPACXX130129:4:2116:6066:43788/2,D1KVCACXX130129:6:1116:19235:9642/1,D1KYPACXX130129:7:2203:4717:77957/1,D1KYPACXX130129:5:2304:21046:100567/1,D1KNFACXX130129:4:1310:19360:88690/2,C1FBVACXX130129:4:2304:10744:24764/1,D1KVCACXX130129:6:2104:1904:9426/1,C1EHHACXX130117:5:2205:18886:92817/1,D1KYPACXX130129:1:1105:15329:86345/2,D1KYPACXX130129:7:2312:19453:62251/2,D1KVCACXX130129:7:1208:8145:35496/1,D1KYPACXX130129:7:2203:4717:77957/2,D1KNFACXX130129:1:2103:14949:14293/1,C1FBVACXX130129:4:1113:16873:11049/1,D1KNFACXX130129:7:2316:2529:9588/2,D1KYPACXX130129:3:1111:17436:41033/2,D1KYPACXX130129:5:2214:10925:89938/1,D1KYPACXX130129:7:1108:9765:52210/1,D1KYPACXX130129:1:2112:19619:16725/2,D1KYPACXX130129:3:2304:12974:51689/1,D1KYPACXX130129:4:2114:4802:47445/1,D1KYPACXX130129:3:1111:17436:41033/1,C1EHHACXX130117:1:2204:15602:50432/2,D1KNFACXX130129:3:2212:1959:70758/2,D1KYPACXX130129:2:2306:2446:99364/1,C1EHHACXX130117:5:1216:5404:30712/1,C1FBVACXX130129:2:2116:12571:58550/1,C1EHHACXX130117:1:1202:3377:97156/1,C1EHHACXX130117:4:2111:13996:13516/1,D1KVCACXX130129:6:2205:3641:89044/1,C1FBVACXX130129:4:1103:13776:78689/1,D1KNFACXX130129:2:2115:18805:40208/1,D1KNFACXX130129:6:2102:12878:35386/1,D1KNFACXX130129:3:1205:17356:84577/1,D1KNFACXX130129:4:2102:7614:60063/1,D1KT4ACXX130122:6:2308:16586:48974/2,C1EHHACXX130117:3:2210:1133:67062/1,D1KYPACXX130129:5:1310:17620:13392/2,D1KT4ACXX130122:8:1315:8870:86823/2,D1KVCACXX130129:2:2212:7271:78624/1,C1EHHACXX130117:8:1110:6193:82617/2,D1KYPACXX130129:4:1109:10078:50239/2,C1EHHACXX130117:6:2103:6070:83069/1,D1KYPACXX130129:3:2305:12265:37020/1,D1KNFACXX130129:3:2301:11644:43985/1,D1KNFACXX130129:5:2204:3793:78606/1,D1KYPACXX130129:4:2114:4802:47445/2,C1EHHACXX130117:7:1311:15636:44083/2,D1KYPACXX130129:5:2115:12968:52892/1,D1KYPACXX130129:5:2208:9830:37050/2,	C1EHHACXX130117:6:2105:3396:87536,D1KVCACXX130129:7:1108:3272:58411,C1FBVACXX130129:3:2109:6363:35181,D1KNFACXX130129:1:1202:4348:78791,D1KNFACXX130129:2:2108:2307:36225,C1EHHACXX130117:5:1306:21134:60832,C1DVPACXX130111:8:2204:7365:2299,D1KT4ACXX130122:6:2103:7346:7812,D1KT4ACXX130122:8:1102:11320:54569,D1KVCACXX130129:4:2116:15627:49710,D1KYPACXX130129:6:1306:7469:63475,C1FBVACXX130129:3:1314:6210:31420,D1KT4ACXX130122:8:1212:5873:62664,D1KNFACXX130129:6:2209:20326:12451,D1KYPACXX130129:4:1203:17559:69730,D1KT4ACXX130122:8:2107:2278:94136,C1EHHACXX130117:5:1206:8697:41716,D1KYPACXX130129:4:1211:18549:35143,D1KVCACXX130129:3:2215:14202:43006,D1KT4ACXX130122:7:2312:6242:39176,D1KVCACXX130129:3:1208:12765:39598,D1KVCACXX130129:6:2310:18088:9352,D1KNFACXX130129:7:2204:14926:22791,C1EHHACXX130117:1:2313:4431:70578,D1KVCACXX130129:4:1211:9419:94856,C1EHHACXX130117:1:1108:4894:20239,C1FBVACXX130129:5:2305:8696:47991,D1KYPACXX130129:4:2201:2909:23562,D1KVCACXX130129:3:1316:4012:34627,C1EHHACXX130117:2:2106:12993:100618,D1KNFACXX130129:6:1210:5735:50933,D1KVCACXX130129:8:2115:3795:86033,D1KYPACXX130129:2:1209:13202:94826,D1KNFACXX130129:4:1110:4906:68733,D1KT4ACXX130122:7:2106:16535:28433,D1KYPACXX130129:1:2313:9439:54844,C1FBVACXX130129:5:2103:11164:48607,D1KNFACXX130129:2:2112:13566:76776,C1EHHACXX130117:1:2212:11874:65635,D1KNFACXX130129:6:2106:8151:12686,C1EHHACXX130117:6:2105:4882:90364,D1KYPACXX130129:7:2209:16037:63571,	C1DVPACXX130111:8:1114:14685:92908,C1EHHACXX130117:3:1203:15711:20945,
chr7_150034688_+:chr7_150039260_+	readthrough	0	na	12	9	8	88.8889	0	0	3	0	0	100	100	73	400	na	na	GT	AG	150034601	150039340	1	1	4572	ENSG00000127399.10	ENSG00000261305.1	LRRC61	RP4-584D14.7	protein_coding	sense_overlapping	D1KNFACXX130129:7:2212:18195:91715/1,C1DVPACXX130111:8:1308:5443:87490/2,D1KVCACXX130129:8:2309:16416:72968/2,D1KYPACXX130129:8:1103:7521:33100/1,D1KYPACXX130129:7:2310:11662:70824/1,D1KT4ACXX130122:8:1311:13411:77612/1,D1KVCACXX130129:4:1206:8195:63964/1,D1KVCACXX130129:4:1206:8195:63964/2,D1KYPACXX130129:2:1303:14405:31593/1,	D1KVCACXX130129:1:1215:7049:67319,D1KYPACXX130129:2:2213:14457:31353,D1KVCACXX130129:6:1114:18055:70251,	na
chr11_117688105_-:chr11_117672750_-	readthrough	0	na	18	17	14	82.3529	0	0	1	0	0	100	100	0	0	na	na	GT	AG	117688194	117672661	1	1	15355	ENSG00000177103.9	ENSG00000137731.9	DSCAML1	FXYD2	protein_coding	protein_coding	D1KNFACXX130129:3:2204:9818:71958/1,D1KYPACXX130129:3:1305:11393:59026/2,C1EHHACXX130117:2:2315:6090:11892/1,D1KNFACXX130129:2:1209:14478:35189/2,C1FBVACXX130129:5:1216:3770:86700/2,D1KVCACXX130129:8:2306:16375:79521/2,D1KT4ACXX130122:6:2316:20405:55332/2,C1EHHACXX130117:2:2313:17607:17514/2,D1KT4ACXX130122:8:2101:7392:30341/2,D1KVCACXX130129:8:2209:11398:58672/1,D1KNFACXX130129:1:2303:15003:8615/2,C1EHHACXX130117:2:2313:17607:17514/1,C1EHHACXX130117:2:2315:6090:11892/2,D1KT4ACXX130122:6:2316:20405:55332/1,D1KNFACXX130129:3:2204:9818:71958/2,D1KNFACXX130129:1:2303:15003:8615/1,D1KYPACXX130129:1:2210:14578:15624/1,	D1KVCACXX130129:2:1303:13965:89518,	na
