juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	46781673	47046227	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1EHHACXX130117:2:1309:17821:36777/1,D1KYPACXX130129:2:2203:8523:71617/2,C1DVPACXX130111:8:1202:12888:29953/2,	D1KVCACXX130129:3:2204:13050:41007,	na
chr19_1011095_-:chr19_1119163_-	inverted	0	na	8	7	7	100	0	0	1	2	66.6667	100	100	0	0	na	na	GT	AG	1011168	1119083	1	0	na	ENSG00000182087.8	ENSG00000064932.11	TMEM259	SBNO2	protein_coding	protein_coding	C1FBVACXX130129:3:2115:9651:23188/2,D1KVCACXX130129:6:2211:9038:66908/2,D1KVCACXX130129:3:2312:13855:5457/1,D1KYPACXX130129:6:2309:4261:16416/1,D1KYPACXX130129:6:2309:4261:16416/2,D1KYPACXX130129:4:2315:15768:29879/1,C1FBVACXX130129:4:2109:1767:6985/1,	C1FBVACXX130129:5:1204:18513:57013,	C1EHHACXX130117:2:1213:5574:93943,D1KNFACXX130129:4:2115:14955:51622,
chr2_219724840_+:chr2_219746883_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	219724741	219746957	1	1	22043	ENSG00000115596.3	ENSG00000135925.4	WNT6	WNT10A	protein_coding	protein_coding	C1EHHACXX130117:1:2302:9873:16909/2,D1KYPACXX130129:6:2113:20181:91535/2,	C1DVPACXX130111:8:2206:2517:87755,	na
chr9_540667_+:chr9_549107_+	readthrough	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	540649	549188	1	1	8440	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	D1KNFACXX130129:5:1101:1961:6127/1,	D1KYPACXX130129:6:1208:8023:62114,D1KYPACXX130129:7:2301:12102:76383,	na
chr8_48206619_+:chr8_56435840_+	intrachromosomal	0	na	5	4	4	100	2	50	1	0	0	100	100	0	0	na	na	GT	AG	48206523	56435892	1	1	8229221	ENSG00000164808.12	ENSG00000206579.7	SPIDR	XKR4	protein_coding	protein_coding	D1KVCACXX130129:7:1209:5518:22017/2,C1FBVACXX130129:4:2113:10815:44431/2,D1KYPACXX130129:4:1302:14093:44836/2,C1FBVACXX130129:4:1315:10049:61967/1,	D1KT4ACXX130122:8:1312:18610:84958,	na
chr20_46130763_+:chr20_45809463_+	inverted	0	na	4	2	2	100	0	0	2	10	83.3333	100	100	0	0	na	na	GT	AG	46130686	45809525	1	0	na	ENSG00000124151.14	ENSG00000064655.14	NCOA3	EYA2	protein_coding	protein_coding	C1EHHACXX130117:4:1206:8230:85821/2,D1KVCACXX130129:2:2104:4840:53763/1,	D1KYPACXX130129:4:2110:17590:70704,D1KNFACXX130129:8:1206:20565:41954,	C1EHHACXX130117:7:2316:16659:56033,C1EHHACXX130117:3:2304:17653:98937,C1FBVACXX130129:4:2216:4762:91761,C1FBVACXX130129:3:1313:9853:45438,D1KVCACXX130129:4:2302:12526:47952,C1EHHACXX130117:2:1204:2315:41306,D1KYPACXX130129:5:2203:14077:25567,D1KNFACXX130129:2:1301:16736:81504,C1EHHACXX130117:5:2214:11446:13008,D1KVCACXX130129:2:2211:14171:30228,
chr3_123349416_+:chr3_123410424_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	123349350	123410479	1	1	61008	ENSG00000239523.1	ENSG00000250174.1	MYLK-AS1	MYLK-AS2	antisense	antisense	D1KYPACXX130129:7:2304:2786:86217/1,D1KYPACXX130129:7:2304:2786:86217/2,	C1EHHACXX130117:4:2213:11456:15172,	na
chr16_69693802_+:chr16_69481053_+	inverted	0	na	4	2	2	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	69693736	69481100	1	0	na	ENSG00000102908.16	ENSG00000103018.12	NFAT5	CYB5B	protein_coding	protein_coding	D1KT4ACXX130122:8:2213:11600:23898/2,D1KVCACXX130129:1:1211:9840:6262/1,	C1FBVACXX130129:2:1206:2664:56144,D1KT4ACXX130122:7:2311:13318:95148,	na
chr20_50459224_-:chr20_50408891_-	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	50459278	50408798	1	1	50333	ENSG00000227964.1	ENSG00000101115.8	RP5-1112F19.2	SALL4	lincRNA	protein_coding	D1KNFACXX130129:8:1111:11297:41098/1,D1KNFACXX130129:1:1309:5062:59761/2,D1KNFACXX130129:1:2106:13836:29323/2,	D1KYPACXX130129:2:2206:14670:20474,	na
chr12_46781755_+:chr12_46965039_+	intrachromosomal	0	na	6	5	3	60	4	80	1	0	0	100	100	0	0	na	na	GT	AG	46781658	46965073	1	1	183284	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	D1KYPACXX130129:8:1307:7425:60993/1,D1KYPACXX130129:8:1307:7425:60993/1,D1KYPACXX130129:8:1307:7425:60993/1,D1KNFACXX130129:7:1108:12032:85833/2,C1FBVACXX130129:3:1309:11529:25010/2,	D1KVCACXX130129:3:2204:13050:41007,	na
chr10_24727408_+:chr13_25399757_+	interchromosomal	0	na	29	20	14	70	20	100	9	0	0	100	100	0	0	na	na	GT	AG	24727327	25399833	0	na	na	ENSG00000120549.11	ENSG00000132972.14	KIAA1217	RNF17	protein_coding	protein_coding	D1KYPACXX130129:8:2116:3957:73103/1,D1KYPACXX130129:2:2314:16537:93693/1,D1KVCACXX130129:4:1304:6410:42862/2,D1KYPACXX130129:7:2315:20313:96230/1,D1KVCACXX130129:2:1305:12237:14377/1,D1KNFACXX130129:2:2112:20150:82942/1,D1KNFACXX130129:7:1108:5495:51402/2,C1FBVACXX130129:2:2313:3749:78724/2,D1KYPACXX130129:4:1215:10099:13377/2,D1KVCACXX130129:3:2313:7147:18538/2,D1KYPACXX130129:6:1203:13384:88188/2,C1FBVACXX130129:2:2203:15735:80157/2,D1KYPACXX130129:4:2207:11963:43236/2,D1KYPACXX130129:7:2315:20313:96230/2,D1KVCACXX130129:2:1305:12237:14377/2,D1KT4ACXX130122:8:1103:20071:53011/2,C1FBVACXX130129:5:1116:15788:50644/1,D1KYPACXX130129:7:2107:13442:80285/1,D1KVCACXX130129:7:2104:11094:22989/2,C1EHHACXX130117:1:2313:6555:93958/2,	C1EHHACXX130117:6:1305:6712:76623,D1KNFACXX130129:3:1104:4176:59361,D1KYPACXX130129:3:1303:18267:19894,D1KVCACXX130129:7:2110:13225:93514,D1KVCACXX130129:8:1316:9953:38722,C1FBVACXX130129:3:2107:3014:57099,D1KVCACXX130129:8:1304:1567:73484,C1EHHACXX130117:4:1313:13630:16052,C1EHHACXX130117:4:2304:7226:49934,	na
chr20_57416992_-:chr20_57409723_-	readthrough	0	na	5	4	4	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	57417077	57409690	1	1	7269	ENSG00000235590.3	ENSG00000268333.1	GNAS-AS1	RP4-806M20.3	antisense	lincRNA	D1KNFACXX130129:4:1301:5631:39446/2,D1KYPACXX130129:1:1108:18270:60350/1,D1KNFACXX130129:2:2315:11154:29946/2,C1DVPACXX130111:8:2306:6170:10960/2,	D1KYPACXX130129:5:1109:17844:95689,	na
chr17_40854895_-:chr17_40832635_-	readthrough	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	40854950	40832561	1	1	22260	ENSG00000108799.8	ENSG00000184451.5	EZH1	CCR10	protein_coding	protein_coding	C1EHHACXX130117:1:1216:13380:99662/1,C1FBVACXX130129:5:2203:5771:76631/2,D1KVCACXX130129:3:1108:13728:29710/1,	D1KNFACXX130129:5:1304:7716:93037,	na
chr12_117100051_+:chr12_117140577_+	readthrough	0	na	9	5	4	80	3	60	4	1	20	100	66.6667	0	21	na	na	GT	AG	117099952	117140639	1	1	40526	ENSG00000257883.1	ENSG00000257654.1	RP11-497G19.1	RP11-497G19.2	lincRNA	lincRNA	D1KNFACXX130129:4:1212:8556:34367/2,D1KNFACXX130129:4:1212:8556:34367/1,D1KYPACXX130129:3:2309:2701:58374/2,D1KNFACXX130129:4:2308:17105:53187/1,D1KT4ACXX130122:6:1205:2267:33744/1,	D1KNFACXX130129:1:2109:18026:5038,C1EHHACXX130117:3:1109:19475:17018,D1KVCACXX130129:7:2101:13510:29159,D1KNFACXX130129:5:1109:18312:39258,	D1KNFACXX130129:5:2310:15593:99186,
