#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
46546	14	19650131	[19650036,19650131]	14	19894790	[19894699,19894791]	21	0	AL589743.1	CTD-2314B22.3	intra-chromosomal
28874	11	3944000	[3943623,3944000]	11	3774539	[3774539,3774638]	9	5	SNORA7	NUP98	intra-chromosomal
136452	14	19680685	[19680595,19680685]	14	19857070	[19856984,19857072]	17	0	AL589743.1	CTD-2314B22.2;CTD-2314B22.3	readthrough-intersecting
61302	16	20907630	[20907628,20907695]	16	20873965	[20873873,20873966]	15	0	ERI2	DCUN1D3	readthrough-intersecting
94298	21	27843070	[27843067,27843154]	21	27778447	[27778354,27778446]	14	0	AP001596.6	AP001597.1	readthrough-intersecting
72855	17	61086895	[61086895,61086987]	17	61044107	[61044030,61044110]	11	0	TANC2	RP11-180P8.1	intra-chromosomal
76385	9	116638585	[116638553,116638588]	19	1356323	[1356322,1356417]	10	0	ZNF618	MUM1	inter-chromosomal
6457	1	85028940	[85028938,85029019]	1	84967653	[84967575,84967653]	8	0	CTBS	GNG5	readthrough-intersecting
28876	11	3944000	[3943675,3944000]	11	3781789	[3781789,3781856]	2	3	SNORA7	NUP98	intra-chromosomal
65990	16	85205413	[85205252,85205413]	16	85391069	[85391067,85391219]	5	1	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
90805	2	232234836	[232234758,232234837]	2	232258192	[232258192,232258282]	5	0	ARMC9	AC017104.6	readthrough-adjacent
45030	13	48611742	[48611742,48611831]	13	48576737	[48576669,48576737]	4	0	NUDT15;SUCLA2	SUCLA2-AS1	readthrough-intersecting
