"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","CSE1L:ARFGEF2","chr20",47707559,"chr20",47639588,67.969,"23",61,TRUE,TRUE,TRUE,"Locus_708_Transcript_20/28_Confidence_0.236_Length_7961",5461,"HighConfidence","-"
"jaffa-direct","CABIN1:VSTM2A","chr22",24456604,"chr7",54614640,Inf,"12",57,TRUE,TRUE,TRUE,"Locus_2098_Transcript_28/30_Confidence_0.208_Length_4322",2323,"HighConfidence","-"
"jaffa-direct","AKT3:CEP170","chr1",243736228,"chr1",243299533,436.696,"6",21,TRUE,TRUE,FALSE,"Locus_3743_Transcript_10/15_Confidence_0.291_Length_3564",2554,"HighConfidence","-"
"jaffa-direct","TNS3:INTS1","chr7",47546505,"chr7",1522343,46024.165,"4",17,FALSE,TRUE,FALSE,"Locus_2394_Transcript_26/28_Confidence_0.059_Length_3710",3432,"HighConfidence","-"
"jaffa-direct","MTMR4:SEPT4","chr17",56590213,"chr17",56603674,13.457,"4",16,TRUE,TRUE,TRUE,"Locus_5550_Transcript_4/9_Confidence_0.144_Length_1494",1250,"HighConfidence","-"
"jaffa-direct","SH3PXD2A:OBFC1","chr10",105614953,"chr10",105670380,55.424,"1",9,FALSE,TRUE,TRUE,"Locus_10953_Transcript_5/5_Confidence_0.310_Length_1637",212,"HighConfidence","-"
"jaffa-direct","MTMR4:SEPT4","chr17",56590213,"chr17",56604339,14.123,"1",6,TRUE,TRUE,TRUE,"Locus_5550_Transcript_5/9_Confidence_0.167_Length_1791",1547,"HighConfidence","-"
"jaffa-direct","TAF4:HHLA2","chr20",60639507,"chr3",108070635,Inf,"1",4,FALSE,TRUE,TRUE,"Locus_10579_Transcript_5/5_Confidence_0.000_Length_555",330,"HighConfidence","-"
"jaffa-direct","PITPNA:SLC43A2","chr17",1461823,"chr17",1496573,34.746,"-",16,TRUE,TRUE,TRUE,"Locus_1946_Transcript_5/9_Confidence_0.148_Length_2161",125,"MediumConfidence","-"
"jaffa-direct","SS18L1:MYH15","chr20",60718945,"chr3",108195362,Inf,"-",13,FALSE,TRUE,TRUE,"Locus_3755_Transcript_3/26_Confidence_0.136_Length_3893",159,"MediumConfidence","-"
