juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr11_71159931_+:chr11_71166156_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	71159833	71166200	1	1	6225	ENSG00000254682.1	ENSG00000172890.7	RP11-660L16.2	NADSYN1	antisense	protein_coding	D1KVCACXX130129:8:2104:13355:15322/2,D1KYPACXX130129:4:2307:18601:54113/2,	D1KVCACXX130129:1:2101:9504:26683,	na
chr8_1920203_+:chr8_1948451_+	readthrough	0	na	4	1	1	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	1920176	1948523	1	1	28248	ENSG00000253696.2	ENSG00000176595.3	KBTBD11-OT1	KBTBD11	lincRNA	protein_coding	D1KYPACXX130129:1:2113:11165:63942/2,	C1FBVACXX130129:2:2210:20495:20593,D1KYPACXX130129:3:1316:15134:50210,D1KYPACXX130129:1:2302:4182:59197,	na
chr12_54388800_+:chr12_54446944_+	readthrough	0	na	10	9	8	88.8889	3	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	54388707	54447035	1	1	58144	ENSG00000180806.4	ENSG00000198353.6	HOXC9	HOXC4	protein_coding	protein_coding	D1KYPACXX130129:4:1304:15330:60446/1,D1KYPACXX130129:6:2211:2197:64606/2,D1KVCACXX130129:4:1204:7943:49262/2,D1KT4ACXX130122:8:2214:3755:14008/2,D1KNFACXX130129:7:2207:18252:55746/1,D1KYPACXX130129:3:2114:15112:84290/2,D1KYPACXX130129:4:1304:15330:60446/2,D1KNFACXX130129:7:2115:11648:75381/1,D1KT4ACXX130122:7:2204:12018:33792/2,	D1KNFACXX130129:4:2204:17442:17381,	na
chr18_47799194_-:chr18_47788589_-	readthrough	0	na	4	2	2	100	1	50	2	0	0	100	100	0	0	na	na	GT	AG	47799293	47788559	1	1	10605	ENSG00000141644.13	ENSG00000172361.5	MBD1	CCDC11	protein_coding	protein_coding	C1EHHACXX130117:3:1210:15321:50439/1,D1KVCACXX130129:4:2306:15093:80396/2,	D1KNFACXX130129:8:1106:2688:83000,C1FBVACXX130129:4:2211:20370:100191,	na
chr15_91505004_+:chr15_91525185_+	readthrough	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	91504909	91525249	1	1	20181	ENSG00000166965.8	ENSG00000258725.1	RCCD1	PRC1-AS1	protein_coding	antisense	D1KYPACXX130129:5:2110:14471:55503/2,C1EHHACXX130117:6:2213:21361:41870/1,	D1KNFACXX130129:7:1301:9138:32539,	na
chr6_44200165_+:chr6_44216367_+	readthrough	0	na	11	10	7	70	6	60	1	0	0	100	100	0	0	na	na	GT	AG	44200080	44216466	1	1	16202	ENSG00000112759.12	ENSG00000096384.15	SLC29A1	HSP90AB1	protein_coding	protein_coding	C1EHHACXX130117:3:1213:9770:40115/2,D1KYPACXX130129:8:1207:1432:43874/2,D1KT4ACXX130122:8:1303:18080:78815/2,D1KT4ACXX130122:8:1303:18080:78815/1,C1FBVACXX130129:5:2102:19837:70986/1,C1FBVACXX130129:5:2102:19837:70986/1,C1EHHACXX130117:7:1203:10788:26245/2,C1EHHACXX130117:7:1203:10788:26245/2,C1EHHACXX130117:7:1203:10788:26245/2,C1FBVACXX130129:4:1301:11328:22442/1,	C1DVPACXX130111:8:1205:15142:39963,	na
chr2_45170049_+:chr2_45193557_+	readthrough	0	na	3	2	2	100	0	0	1	2	66.6667	100	100	0	0	na	na	GT	AG	45169952	45193575	1	1	23508	ENSG00000138083.3	ENSG00000225156.2	SIX3	AC012354.6	protein_coding	lincRNA	D1KYPACXX130129:8:2313:12797:54009/2,D1KYPACXX130129:8:2313:12797:54009/1,	C1EHHACXX130117:7:2316:16645:23263,	D1KNFACXX130129:8:1308:10964:76370,C1EHHACXX130117:3:1207:14908:88653,
chr8_38854679_+:chr17_4075975_-	interchromosomal	0	na	37	27	21	77.7778	0	0	10	1	9.09091	100	100	0	0	na	na	GT	AG	38854597	4075890	0	na	na	ENSG00000168615.7	ENSG00000185722.12	ADAM9	ANKFY1	protein_coding	protein_coding	D1KNFACXX130129:8:2307:5911:53950/1,D1KVCACXX130129:8:2101:9333:57226/2,C1FBVACXX130129:5:2303:18609:58409/1,D1KVCACXX130129:8:1310:18483:82884/2,D1KVCACXX130129:8:1310:18483:82884/1,D1KT4ACXX130122:8:2101:14012:22651/2,D1KYPACXX130129:8:1316:16812:86063/1,C1EHHACXX130117:2:2301:6278:53421/2,C1EHHACXX130117:6:2210:21070:70140/1,D1KYPACXX130129:2:2204:6709:48341/1,D1KNFACXX130129:6:2106:8729:36480/2,D1KT4ACXX130122:6:2212:14717:23912/1,C1EHHACXX130117:7:2302:12785:4376/2,D1KVCACXX130129:4:2212:3323:78583/1,C1FBVACXX130129:5:1203:4651:11623/2,D1KT4ACXX130122:8:2101:14012:22651/1,D1KNFACXX130129:6:2302:9406:34712/2,D1KNFACXX130129:7:1315:18482:48125/1,D1KYPACXX130129:4:2204:2142:80727/1,C1FBVACXX130129:3:2108:13046:25486/2,D1KVCACXX130129:2:1313:5416:3946/1,D1KT4ACXX130122:6:1315:6152:18385/2,C1EHHACXX130117:6:2210:21070:70140/2,D1KVCACXX130129:2:1308:7488:79080/2,D1KNFACXX130129:3:2304:17417:26092/1,D1KNFACXX130129:6:2315:2651:66311/1,D1KVCACXX130129:3:2309:15788:92064/2,	C1EHHACXX130117:7:2215:2036:98873,D1KNFACXX130129:4:2204:19428:29085,C1FBVACXX130129:4:1202:12350:22906,D1KYPACXX130129:6:2206:15181:74525,D1KYPACXX130129:6:2303:4612:22008,D1KYPACXX130129:2:1315:5330:13556,D1KYPACXX130129:1:1116:5323:90021,D1KVCACXX130129:4:1301:2553:7471,D1KNFACXX130129:2:1113:15425:89238,D1KVCACXX130129:5:1108:4980:73160,	D1KVCACXX130129:6:1105:2269:31255,
chr8_38854679_+:chr17_4074155_-	interchromosomal	0	na	10	4	4	100	0	0	6	5	45.4545	100	100	0	0	na	na	GT	AG	38854603	4074071	0	na	na	ENSG00000168615.7	ENSG00000185722.12	ADAM9	ANKFY1	protein_coding	protein_coding	D1KVCACXX130129:6:1212:13316:66914/1,C1FBVACXX130129:4:1111:7053:94727/1,C1EHHACXX130117:4:1102:10973:71858/1,D1KVCACXX130129:8:1104:5478:50374/1,	D1KNFACXX130129:4:2204:19428:29085,C1FBVACXX130129:4:1202:12350:22906,D1KYPACXX130129:6:2206:15181:74525,D1KVCACXX130129:4:1301:2553:7471,D1KNFACXX130129:2:1113:15425:89238,D1KVCACXX130129:5:1108:4980:73160,	C1EHHACXX130117:7:2215:2036:98873,D1KVCACXX130129:6:1105:2269:31255,D1KYPACXX130129:6:2303:4612:22008,D1KYPACXX130129:2:1315:5330:13556,D1KYPACXX130129:1:1116:5323:90021,
chr1_65533287_-:chr1_65352024_-	intrachromosomal	0	na	3	2	2	100	1	50	1	0	0	100	100	0	0	na	na	GT	AG	65533385	65352007	1	1	181263	ENSG00000231485.1	ENSG00000162434.7	RP4-535B20.1	JAK1	lincRNA	protein_coding	D1KVCACXX130129:7:2209:15053:76474/1,D1KVCACXX130129:5:1302:10787:9629/1,	C1EHHACXX130117:8:2205:4388:48902,	na
