juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	9	6	6	100	2	33.3333	3	3	50	100	100	0	0	na	na	GT	AG	46781662	47046271	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1EHHACXX130117:6:2301:11042:41324/1,C1EHHACXX130117:5:2206:13893:60899/1,D1KVCACXX130129:1:1213:19337:95075/1,C1EHHACXX130117:7:1315:5845:68587/1,C1DVPACXX130111:8:2104:12696:24941/1,D1KT4ACXX130122:8:2312:9926:93205/2,	D1KNFACXX130129:6:2106:2672:13213,C1FBVACXX130129:2:1201:16934:83368,C1EHHACXX130117:4:1301:16708:96390,	D1KYPACXX130129:3:1308:2842:43864,D1KNFACXX130129:3:1215:1838:56044,D1KYPACXX130129:3:1215:6620:86096,
chr17_46710876_-:chr17_46700497_-	readthrough	0	na	8	7	6	85.7143	2	28.5714	1	0	0	66.2921	100	0	0	na	na	GT	AG	46710964	46700404	1	1	10379	ENSG00000260027.3	ENSG00000170689.8	HOXB7	HOXB9	protein_coding	protein_coding	D1KNFACXX130129:7:1315:12262:68526/2,D1KVCACXX130129:6:2314:15374:22918/2,D1KNFACXX130129:7:2313:7886:64040/1,C1EHHACXX130117:7:1308:16236:60619/2,D1KT4ACXX130122:8:1214:16255:59246/1,D1KNFACXX130129:7:2313:7886:64040/2,D1KNFACXX130129:4:2207:14760:29046/1,	D1KVCACXX130129:3:1205:6603:36663,	na
chr12_46848924_+:chr12_47046173_+	intrachromosomal	0	na	7	3	3	100	1	33.3333	4	2	33.3333	100	100	0	0	na	na	GT	AG	46848849	47046271	1	1	197249	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1FBVACXX130129:4:2310:3605:55528/1,C1DVPACXX130111:8:2104:12696:24941/1,C1FBVACXX130129:4:2310:3605:55528/2,	D1KNFACXX130129:6:2106:2672:13213,C1FBVACXX130129:2:1201:16934:83368,D1KYPACXX130129:3:1308:2842:43864,C1EHHACXX130117:4:1301:16708:96390,	D1KNFACXX130129:3:1215:1838:56044,D1KYPACXX130129:3:1215:6620:86096,
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	16	14	11	78.5714	9	64.2857	2	0	0	100	100	0	0	na	na	GT	AG	85029036	84967556	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C1FBVACXX130129:3:1315:19302:12269/1,C1FBVACXX130129:3:1315:19302:12269/1,C1EHHACXX130117:1:1306:18149:2134/2,D1KVCACXX130129:2:1212:20905:13723/2,D1KVCACXX130129:2:1212:20905:13723/1,D1KVCACXX130129:4:1202:16278:46187/1,D1KVCACXX130129:4:1202:16278:46187/1,D1KNFACXX130129:8:2215:17197:42349/1,C1DVPACXX130111:8:1116:1705:35813/2,C1FBVACXX130129:4:2213:7098:90712/2,D1KVCACXX130129:3:1204:2430:34040/2,D1KNFACXX130129:1:2211:15772:17352/1,C1FBVACXX130129:4:1203:2633:91982/1,C1EHHACXX130117:2:2105:14902:56617/1,	C1EHHACXX130117:3:2306:5257:69564,D1KNFACXX130129:2:2314:8930:72596,	na
chr3_57994583_+:chr3_57857363_+	inverted	0	na	13	1	1	100	0	0	12	0	0	100	100	0	0	na	na	GT	AG	57994545	57857424	1	0	na	ENSG00000136068.10	ENSG00000163681.10	FLNB	SLMAP	protein_coding	protein_coding	D1KVCACXX130129:8:1206:10612:69503/1,	D1KVCACXX130129:4:1105:16280:65064,D1KNFACXX130129:3:2304:8836:14195,D1KNFACXX130129:3:2107:2828:39846,D1KNFACXX130129:1:1210:3560:57079,D1KYPACXX130129:4:2106:5336:14069,D1KNFACXX130129:8:1307:4238:62553,C1EHHACXX130117:3:2109:13731:85709,D1KNFACXX130129:2:2116:14125:60328,C1FBVACXX130129:5:2215:5761:79764,D1KNFACXX130129:4:1108:12806:58041,D1KVCACXX130129:5:1307:19693:63850,D1KNFACXX130129:2:1312:12599:12187,	na
chr17_1958532_+:chr17_1945899_+	inverted	0	na	15	12	11	91.6667	0	0	3	2	40	100	100	0	0	na	na	GT	AG	1958463	1945977	1	0	na	ENSG00000177374.8	ENSG00000108963.13	HIC1	DPH1	protein_coding	protein_coding	C1FBVACXX130129:5:1314:12168:66855/1,C1DVPACXX130111:8:1113:5953:60073/2,D1KVCACXX130129:8:1102:20905:73526/2,D1KYPACXX130129:5:2312:18607:19082/2,D1KYPACXX130129:7:1101:9129:38336/2,D1KT4ACXX130122:7:1206:4630:56827/2,D1KT4ACXX130122:7:1206:4630:56827/1,D1KNFACXX130129:6:1214:18718:96633/2,D1KVCACXX130129:7:1102:15887:92471/2,D1KYPACXX130129:2:1111:5634:2105/2,D1KVCACXX130129:3:2308:3775:75299/1,C1FBVACXX130129:2:2209:13238:88301/1,	C1FBVACXX130129:5:1112:2766:96553,D1KYPACXX130129:2:2214:13155:68480,D1KYPACXX130129:6:1316:12325:30874,	D1KVCACXX130129:5:1216:10992:22139,D1KNFACXX130129:5:1305:7282:47834,
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	29	26	18	69.2308	18	69.2308	3	0	0	100	100	0	177	na	na	GT	AG	51387670	51732871	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C1EHHACXX130117:5:1108:3110:66084/2,D1KYPACXX130129:8:1216:6370:53562/2,C1FBVACXX130129:4:2202:10299:33019/1,C1EHHACXX130117:7:1309:3670:81298/1,D1KYPACXX130129:1:2211:2075:20600/2,D1KVCACXX130129:5:1315:15333:59917/1,D1KVCACXX130129:5:1315:15333:59917/1,D1KVCACXX130129:5:1315:15333:59917/1,D1KNFACXX130129:5:1114:4287:86636/2,D1KNFACXX130129:5:1114:4287:86636/2,D1KVCACXX130129:3:1107:18300:37137/2,D1KT4ACXX130122:6:2208:14231:14459/2,D1KT4ACXX130122:6:2208:14231:14459/2,D1KT4ACXX130122:6:2208:14231:14459/2,D1KYPACXX130129:6:2205:1259:60080/2,D1KNFACXX130129:5:1306:11460:74728/1,D1KT4ACXX130122:8:1106:17119:44826/1,C1FBVACXX130129:5:1304:6438:97749/1,D1KYPACXX130129:8:1216:6370:53562/1,D1KT4ACXX130122:8:1106:17119:44826/2,D1KNFACXX130129:4:2314:5072:85804/2,D1KYPACXX130129:3:2302:12367:72801/2,C1EHHACXX130117:1:1201:8887:44216/2,D1KYPACXX130129:6:2203:14601:93595/1,D1KVCACXX130129:5:1315:15333:59917/2,C1EHHACXX130117:1:1201:8887:44216/1,	D1KNFACXX130129:2:2215:14078:56194,C1DVPACXX130111:8:1202:1516:70293,D1KNFACXX130129:6:1309:13072:94964,	na
chr3_57994583_+:chr3_57875768_+	inverted	0	na	35	24	17	70.8333	5	20.8333	11	1	8.33333	100	100	0	0	na	na	GT	AG	57994498	57875827	1	0	na	ENSG00000136068.10	ENSG00000163681.10	FLNB	SLMAP	protein_coding	protein_coding	D1KVCACXX130129:4:1104:20256:12069/2,D1KYPACXX130129:6:2303:2799:51687/1,D1KNFACXX130129:3:2306:7219:82047/2,D1KNFACXX130129:7:1114:8255:51868/1,C1DVPACXX130111:8:1310:1093:46697/2,D1KYPACXX130129:7:2203:14439:29930/1,C1FBVACXX130129:5:1306:13892:41826/2,D1KVCACXX130129:2:2207:4660:51597/2,C1EHHACXX130117:8:2306:13744:23373/1,C1EHHACXX130117:6:1311:6921:12568/2,C1DVPACXX130111:8:2302:7946:15785/2,D1KT4ACXX130122:8:2311:13857:42143/1,D1KT4ACXX130122:6:2312:10507:43038/1,D1KNFACXX130129:6:2114:15505:94387/1,D1KYPACXX130129:1:1109:20824:40299/2,D1KVCACXX130129:7:1308:9530:30078/2,C1EHHACXX130117:2:1109:16445:64199/2,D1KYPACXX130129:7:1103:13555:2192/2,D1KNFACXX130129:4:1206:12521:74484/1,C1FBVACXX130129:3:2215:2893:3431/1,D1KVCACXX130129:4:1307:14111:54723/2,D1KYPACXX130129:4:1310:19318:57826/2,D1KVCACXX130129:3:2210:18319:76924/2,C1FBVACXX130129:3:1214:12382:2738/1,	D1KVCACXX130129:4:1105:16280:65064,D1KNFACXX130129:3:2304:8836:14195,D1KNFACXX130129:3:2107:2828:39846,D1KNFACXX130129:1:1210:3560:57079,D1KYPACXX130129:4:2106:5336:14069,D1KNFACXX130129:8:1307:4238:62553,D1KNFACXX130129:2:2116:14125:60328,C1FBVACXX130129:5:2215:5761:79764,D1KNFACXX130129:4:1108:12806:58041,D1KVCACXX130129:5:1307:19693:63850,D1KNFACXX130129:2:1312:12599:12187,	C1EHHACXX130117:3:2109:13731:85709,
chr12_54389333_+:chr12_54404873_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	41.8367	100	0	0	na	na	GT	AG	54389236	54404894	1	1	15540	ENSG00000180806.4	ENSG00000037965.4	HOXC9	HOXC8	protein_coding	protein_coding	D1KVCACXX130129:5:2101:16213:80612/2,D1KVCACXX130129:5:2101:16213:80612/1,	C1EHHACXX130117:4:2104:15173:51104,	na
chr17_1958532_+:chr8_128351526_+	interchromosomal	0	na	13	10	9	90	0	0	3	2	40	100	100	0	7	na	na	GT	AG	1958459	128351605	0	na	na	ENSG00000177374.8	ENSG00000253929.1	HIC1	RP11-382A18.2	protein_coding	lincRNA	C1EHHACXX130117:7:2307:13634:72665/2,D1KVCACXX130129:3:2206:11813:61759/1,D1KT4ACXX130122:7:1201:13508:41884/2,D1KNFACXX130129:5:1211:4809:96918/1,D1KYPACXX130129:5:2107:1319:53965/2,D1KNFACXX130129:1:2205:4213:27161/2,D1KYPACXX130129:4:1211:12086:31173/1,C1DVPACXX130111:8:2215:11109:85958/2,D1KYPACXX130129:3:2307:16611:64719/1,D1KVCACXX130129:4:2202:13794:55347/2,	D1KYPACXX130129:3:2308:15446:9261,C1EHHACXX130117:8:2104:16698:99024,D1KYPACXX130129:3:1113:19508:58818,	D1KT4ACXX130122:8:1306:9990:24481,C1EHHACXX130117:1:2308:19222:69614,
chr9_117159005_-:chr9_117156690_-	readthrough	0	na	20	17	11	64.7059	3	17.6471	3	0	0	100	88.8889	1	5	na	na	GT	AG	117159092	117156646	1	1	2315	ENSG00000235119.1	ENSG00000106948.12	RP11-9M16.2	AKNA	lincRNA	protein_coding	D1KYPACXX130129:6:1103:8530:47183/1,D1KNFACXX130129:5:1214:4253:7730/1,D1KT4ACXX130122:6:1310:10873:57369/2,D1KNFACXX130129:5:1214:4253:7730/2,C1EHHACXX130117:4:1109:17116:37811/1,D1KNFACXX130129:7:2308:2224:68178/2,C1FBVACXX130129:4:1312:4659:47558/2,D1KNFACXX130129:4:1203:13765:88392/2,C1EHHACXX130117:4:1109:17116:37811/2,D1KYPACXX130129:2:2310:16995:8024/2,D1KYPACXX130129:2:2310:16995:8024/2,C1EHHACXX130117:1:2207:2521:10246/2,D1KNFACXX130129:4:1203:13765:88392/1,D1KVCACXX130129:3:1110:19406:100415/1,D1KNFACXX130129:1:2302:7686:30845/1,D1KNFACXX130129:7:2308:2224:68178/1,C1FBVACXX130129:4:1312:4659:47558/1,	C1EHHACXX130117:6:2101:8826:95163,C1FBVACXX130129:2:2210:12646:87229,D1KYPACXX130129:2:2205:13499:73012,	na
chr10_71903598_-:chr10_71883853_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	71903644	71883758	1	1	19745	ENSG00000156521.9	ENSG00000042286.10	TYSND1	AIFM2	protein_coding	protein_coding	D1KNFACXX130129:8:1203:10616:26212/2,D1KNFACXX130129:8:1203:10616:26212/1,	D1KVCACXX130129:3:1204:6874:83872,	na
chr12_46781755_+:chr12_46965039_+	intrachromosomal	0	na	8	4	4	100	2	50	4	2	33.3333	100	100	0	0	na	na	GT	AG	46781656	46965057	1	1	183284	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C1FBVACXX130129:5:2111:6332:6390/2,C1EHHACXX130117:2:2206:12311:92189/1,C1EHHACXX130117:2:1104:16486:18522/1,D1KNFACXX130129:3:2308:12914:10122/2,	D1KNFACXX130129:6:2106:2672:13213,C1FBVACXX130129:2:1201:16934:83368,D1KNFACXX130129:3:1215:1838:56044,C1EHHACXX130117:4:1301:16708:96390,	D1KYPACXX130129:3:1308:2842:43864,D1KYPACXX130129:3:1215:6620:86096,
chr11_65063461_+:chr11_65088015_+	readthrough	0	na	11	10	9	90	4	40	1	0	0	100	100	0	0	na	na	GT	AG	65063365	65088112	1	1	24554	ENSG00000014138.4	ENSG00000149798.3	POLA2	CDC42EP2	protein_coding	protein_coding	D1KT4ACXX130122:8:2305:17023:64776/2,D1KYPACXX130129:8:2205:12010:83813/1,D1KYPACXX130129:8:2316:16904:42629/1,D1KNFACXX130129:4:1315:2120:50374/2,C1EHHACXX130117:7:1216:10621:5655/1,D1KYPACXX130129:8:2205:12010:83813/2,D1KVCACXX130129:8:1112:6822:14250/1,D1KNFACXX130129:3:1309:5456:45079/2,D1KNFACXX130129:7:1201:3096:6222/2,D1KT4ACXX130122:8:1104:10324:79445/1,	D1KVCACXX130129:8:2110:6640:34706,	na
chr16_85205413_+:chr16_85391069_+	intrachromosomal	0	na	14	13	11	84.6154	0	0	1	0	0	100	100	0	0	na	na	GT	AG	85205339	85391159	1	1	185656	ENSG00000262601.1	ENSG00000261567.1	CTC-786C10.1	RP11-680G10.1	protein_coding	protein_coding	C1FBVACXX130129:5:1313:19319:69807/1,D1KNFACXX130129:4:2309:14550:50878/2,D1KVCACXX130129:7:2113:6185:65807/2,C1EHHACXX130117:2:2104:17583:18985/2,C1EHHACXX130117:3:2214:3056:96347/1,D1KVCACXX130129:1:2208:5821:7011/1,C1EHHACXX130117:2:2104:17583:18985/1,C1FBVACXX130129:5:1313:19319:69807/2,C1EHHACXX130117:2:2212:18119:19882/2,D1KVCACXX130129:7:2113:6185:65807/1,D1KYPACXX130129:5:2201:9031:78391/1,C1EHHACXX130117:2:2212:18119:19882/1,C1FBVACXX130129:3:1210:7298:33678/2,	D1KYPACXX130129:8:1202:3087:81279,	na
chr16_29982899_+:chr16_29989059_+	readthrough	0	na	4	3	3	100	3	100	1	0	0	100	100	0	0	na	na	GT	AG	29982800	29989117	1	1	6160	ENSG00000149932.12	ENSG00000149930.13	TMEM219	TAOK2	protein_coding	protein_coding	D1KT4ACXX130122:7:1312:16810:48456/2,D1KNFACXX130129:7:2206:8808:81828/1,C1FBVACXX130129:5:1212:13446:61808/2,	C1EHHACXX130117:7:1207:19574:94374,	na
chr1_153933048_-:chr1_153927642_-	readthrough	0	na	8	5	4	80	4	80	3	0	0	100	100	118	0	na	na	GC	AG	153933119	153927545	1	1	5406	ENSG00000143570.13	ENSG00000160741.12	SLC39A1	CRTC2	protein_coding	protein_coding	C1FBVACXX130129:4:1114:6742:72502/2,D1KNFACXX130129:2:2112:7414:76687/2,D1KNFACXX130129:2:1105:9442:6005/1,D1KYPACXX130129:5:2103:18549:37336/2,D1KVCACXX130129:5:1203:10192:51711/1,	C1DVPACXX130111:8:1107:19831:41079,D1KYPACXX130129:3:1312:6785:72209,C1FBVACXX130129:5:1208:9199:82006,	na
chr2_203332412_+:chr2_203762138_-	interstrand	0	na	8	2	2	100	0	0	6	0	0	100	100	0	0	na	na	GT	AG	203332383	203762066	0	na	na	ENSG00000204217.8	ENSG00000138442.5	BMPR2	WDR12	protein_coding	protein_coding	D1KVCACXX130129:7:2108:18276:27966/2,D1KYPACXX130129:3:1202:5631:94011/1,	D1KVCACXX130129:3:2212:6923:43955,D1KNFACXX130129:5:1303:18685:44937,D1KNFACXX130129:3:1208:2695:94807,D1KNFACXX130129:1:2310:16119:83780,D1KYPACXX130129:7:1314:15421:27651,D1KVCACXX130129:8:2309:20017:40298,	na
chr10_135108691_-:chr10_135107273_-	readthrough	0	na	5	4	4	100	2	50	1	0	0	100	100	0	0	na	na	GT	AG	135108751	135107174	1	1	1418	ENSG00000235245.1	ENSG00000130640.9	RP11-122K13.12	TUBGCP2	antisense	protein_coding	D1KNFACXX130129:4:2304:2622:21494/2,C1FBVACXX130129:3:1312:15903:16054/2,D1KVCACXX130129:3:2101:15164:26519/1,D1KVCACXX130129:8:2211:20085:65472/1,	C1EHHACXX130117:7:1309:19281:94629,	na
chr11_71821134_-:chr11_71810302_-	readthrough	0	na	15	14	10	71.4286	10	71.4286	1	0	0	100	100	0	0	na	na	GT	AG	71821233	71810203	1	1	10832	ENSG00000110200.4	ENSG00000149357.5	ANAPC15	LAMTOR1	protein_coding	protein_coding	D1KYPACXX130129:8:2205:20514:93357/1,C1EHHACXX130117:1:2202:11673:56696/1,C1DVPACXX130111:8:1309:15873:22126/2,C1FBVACXX130129:4:2314:14915:58519/1,C1FBVACXX130129:4:2111:19774:56243/2,C1FBVACXX130129:4:1311:7482:11018/1,C1EHHACXX130117:6:2107:16842:77433/2,C1EHHACXX130117:6:2107:16842:77433/2,C1EHHACXX130117:2:1309:9051:93539/2,D1KNFACXX130129:3:2311:13609:52194/2,D1KYPACXX130129:8:2205:20514:93357/2,C1EHHACXX130117:5:2113:16506:22234/1,D1KT4ACXX130122:8:2211:7286:74753/1,D1KVCACXX130129:3:1104:11074:40670/2,	C1FBVACXX130129:4:1111:20004:28397,	na
chr22_23247205_+:chr22_23248512_+	readthrough	0	na	3	2	2	100	2	100	1	0	0	100	100	0	0	na	na	GT	AG	23247188	23248597	1	1	1307	ENSG00000211678.2	ENSG00000211679.2	IGLJ3	IGLC3	IG_J_gene	IG_C_gene	C1EHHACXX130117:8:2211:13958:76394/2,D1KYPACXX130129:8:2301:7703:25705/1,	C1EHHACXX130117:3:2105:6929:56873,	na
chr12_6574056_-:chr12_6557923_-	readthrough	0	na	8	6	6	100	2	33.3333	2	0	0	94.5455	100	0	0	na	na	GT	AG	6574110	6557827	1	1	16133	ENSG00000139190.12	ENSG00000215039.2	VAMP1	CD27-AS1	protein_coding	antisense	D1KT4ACXX130122:7:1310:19486:43015/2,D1KT4ACXX130122:7:1203:5051:60743/2,D1KVCACXX130129:2:2203:4262:47986/1,D1KVCACXX130129:4:2205:20582:94594/2,D1KVCACXX130129:2:2203:4262:47986/2,C1EHHACXX130117:1:2309:17481:52043/1,	D1KNFACXX130129:8:2115:9513:92759,D1KVCACXX130129:1:2110:11064:42689,	na
chr17_46723967_-:chr17_46700497_-	readthrough	0	na	4	3	3	100	2	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	46724036	46700404	1	1	23470	ENSG00000272763.1	ENSG00000170689.8	RP11-357H14.17	HOXB9	lincRNA	protein_coding	D1KVCACXX130129:6:2314:15374:22918/2,C1EHHACXX130117:7:1308:16236:60619/2,D1KVCACXX130129:2:1105:9995:31819/1,	C1FBVACXX130129:2:1206:20822:36919,	na
chr11_86665843_-:chr11_86633140_-	readthrough	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	86665936	86633112	1	1	32703	ENSG00000174804.3	ENSG00000255471.1	FZD4	RP11-736K20.5	protein_coding	antisense	D1KNFACXX130129:4:1208:19632:26392/1,D1KVCACXX130129:4:2212:10351:6272/1,D1KVCACXX130129:3:1116:8682:79047/2,	D1KYPACXX130129:4:2210:20066:46595,	na
chr12_54389333_+:chr12_54446944_+	readthrough	0	na	4	1	1	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	54389302	54447012	1	1	57611	ENSG00000180806.4	ENSG00000198353.6	HOXC9	HOXC4	protein_coding	protein_coding	C1FBVACXX130129:4:2113:4957:50502/2,	D1KYPACXX130129:3:1204:14208:24143,C1FBVACXX130129:2:1214:5385:2308,D1KVCACXX130129:6:1311:20716:25142,	na
