"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","RARA:KIAA0195","chr17",38487648,"chr17",73481509,34993.863,"61",169,FALSE,TRUE,FALSE,"Locus_8_Transcript_2527/14759_Confidence_0.000_Length_1939",807,"HighConfidence","-"
"jaffa-direct","CCDC6:ANK3","chr10",61665880,"chr10",61802517,136.634,"24",94,TRUE,TRUE,TRUE,"Locus_208_Transcript_34/37_Confidence_0.156_Length_3361",734,"HighConfidence","Yes"
"jaffa-direct","HUWE1:XAGE1E","chrX",53675155,"chrX",52544549,1130.61,"94",1,TRUE,TRUE,FALSE,"C1K43ACXX130219:6:2206:2691:62744/1/1",67,"HighConfidence","-"
"jaffa-direct","HUWE1:XAGE1C","chrX",53675155,"chrX",52513409,1161.75,"94",1,TRUE,TRUE,TRUE,"C1NHTACXX130228:5:2205:13721:57472/1/1",53,"HighConfidence","-"
"jaffa-direct","CDH1:CDH3","chr16",68772314,"chr16",68710288,62.022,"12",56,TRUE,TRUE,TRUE,"Locus_3779_Transcript_36/71_Confidence_0.034_Length_2050",310,"HighConfidence","-"
"jaffa-direct","DOCK5:CDCA2","chr8",25042466,"chr8",25360889,318.425,"12",54,FALSE,TRUE,FALSE,"Locus_4960_Transcript_8/8_Confidence_0.311_Length_1685",231,"HighConfidence","-"
"jaffa-direct","HUWE1:XAGE1C","chrX",53674311,"chrX",52513409,1160.902,"43",1,TRUE,TRUE,TRUE,"C1N6EACXX130227:4:2202:7459:60581/1/1",57,"HighConfidence","-"
"jaffa-direct","RARA:KIAA0195","chr17",38474700,"chr17",73482371,35007.676,"36",1,FALSE,TRUE,FALSE,"C1LUFACXX130228:2:1306:7937:13216/1/1",41,"HighConfidence","-"
"jaffa-direct","LLGL2:RECQL5","chr17",73521906,"chr17",73662700,140.797,"6",14,FALSE,TRUE,TRUE,"C1LUFACXX130228:2:1115:19263:81850/2/2",62,"HighConfidence","-"
"jaffa-direct","HUWE1:XAGE1E","chrX",53681007,"chrX",52544549,1136.459,"19",1,TRUE,TRUE,FALSE,"C1K43ACXX130219:5:1206:4177:45291/1/1",50,"HighConfidence","-"
"jaffa-direct","LLGL2:RECQL5","chr17",73521906,"chr17",73661252,139.347,"4",15,FALSE,TRUE,TRUE,"C1K43ACXX130219:3:1211:13598:50681/2/2",62,"HighConfidence","-"
"jaffa-direct","HUWE1:XAGE1E","chrX",53674311,"chrX",52543880,1130.434,"18",1,TRUE,TRUE,FALSE,"C1NHTACXX130228:8:1213:20424:16449/2/2",51,"HighConfidence","-"
"jaffa-direct","HUWE1:XAGE1C","chrX",53681007,"chrX",52513409,1167.599,"18",1,TRUE,TRUE,TRUE,"C1N6EACXX130227:7:1308:13248:98414/1/1",58,"HighConfidence","-"
"jaffa-direct","FEM1B:KCNG3","chr15",68571003,"chr2",42671719,Inf,"3",14,TRUE,TRUE,TRUE,"Locus_3557_Transcript_33/34_Confidence_0.151_Length_3474",925,"HighConfidence","-"
"jaffa-direct","UBE2K:UGDH-AS1","chr4",39700010,"chr4",39589543,110.461,"2",14,FALSE,TRUE,TRUE,"Locus_8_Transcript_2332/14759_Confidence_0.000_Length_562",259,"HighConfidence","-"
"jaffa-direct","GSK3B:GPR156","chr3",119812194,"chr3",119912271,100.074,"5",8,FALSE,TRUE,TRUE,"Locus_8_Transcript_3042/14759_Confidence_0.000_Length_1817",326,"HighConfidence","-"
"jaffa-direct","ITGB6:RBMS1","chr2",160968591,"chr2",161143595,175.002,"2",11,TRUE,TRUE,TRUE,"Locus_8_Transcript_1555/14759_Confidence_0.001_Length_3199",2334,"HighConfidence","-"
"jaffa-direct","CCSER1:HERC6","chr4",91048982,"chr4",89345012,1703.965,"2",11,FALSE,TRUE,TRUE,"Locus_8084_Transcript_4/13_Confidence_0.409_Length_2405",427,"HighConfidence","-"
"jaffa-direct","ZNF710:WDR93","chr15",90617522,"chr15",90270388,347.131,"3",5,TRUE,TRUE,TRUE,"Locus_6630_Transcript_11/44_Confidence_0.286_Length_3373",1333,"HighConfidence","-"
"jaffa-direct","SEC63:REV3L","chr6",108222574,"chr6",111628773,3406.195,"1",7,FALSE,TRUE,TRUE,"Locus_5855_Transcript_22/24_Confidence_0.192_Length_1870",346,"HighConfidence","-"
"jaffa-direct","EIF2AK3:PRKD3","chr2",88913242,"chr2",37520414,51392.831,"1",7,TRUE,TRUE,FALSE,"Locus_93_Transcript_67/71_Confidence_0.034_Length_2348",1723,"HighConfidence","Yes"
"jaffa-direct","GSK3B:GPR156","chr3",119812194,"chr3",119905630,93.435,"5",2,FALSE,TRUE,TRUE,"C1N6EACXX130227:1:2314:4616:86448/2/2",45,"HighConfidence","-"
"jaffa-direct","ERBB2:FLNA","chr17",37871612,"chrX",153582659,Inf,"4",1,TRUE,TRUE,TRUE,"C1N6EACXX130227:6:1203:11945:10416/2/2",54,"HighConfidence","-"
"jaffa-direct","GSK3B:GPR156","chr3",119812194,"chr3",119904241,92.04,"3",1,FALSE,TRUE,TRUE,"C1N6EACXX130227:2:1311:12835:93412/2/2",57,"HighConfidence","-"
"jaffa-direct","DHX30:SMARCC1","chr3",47882668,"chr3",47712207,170.457,"3",1,FALSE,TRUE,TRUE,"C1NHDACXX130227:8:1209:8663:27256/1/1",55,"HighConfidence","-"
"jaffa-direct","GSK3B:GPR156","chr3",119812194,"chr3",119911896,99.701,"2",1,FALSE,TRUE,TRUE,"C1NHTACXX130228:4:2111:21031:86602/1/1",45,"HighConfidence","-"
"jaffa-direct","BRE:MRPL33","chr2",28352247,"chr2",28002300,349.943,"2",1,TRUE,TRUE,TRUE,"H0976ADXX130311:1:1115:18358:22839/2/2",47,"HighConfidence","-"
"jaffa-direct","EYA3:RCC1","chr1",28362055,"chr1",28843237,481.185,"2",1,FALSE,TRUE,TRUE,"C1NHDACXX130227:6:2114:8377:39949/2/2",44,"HighConfidence","-"
"jaffa-direct","CCSER1:HERC6","chr4",91048982,"chr4",89349732,1699.247,"2",1,FALSE,TRUE,TRUE,"C1LUFACXX130228:3:1211:20388:6681/1/1",45,"HighConfidence","-"
"jaffa-direct","ERBB2:CTTN","chr17",37872192,"chr11",70269046,Inf,"2",1,TRUE,TRUE,TRUE,"C1LUFACXX130228:8:2206:11354:59759/2/2",59,"HighConfidence","-"
"jaffa-direct","ACTN4:CDH13","chr19",39138547,"chr16",83158990,Inf,"2",1,TRUE,TRUE,TRUE,"C1NHDACXX130227:3:2115:20757:4269/1/1",47,"HighConfidence","-"
"jaffa-direct","WNK2:MT-ATP8","chr9",96019421,"chrM",8367,Inf,"1",2,TRUE,TRUE,TRUE,"C1NHTACXX130228:4:1307:5116:51947/1/1",69,"HighConfidence","-"
"jaffa-direct","UBE3B:MYH11","chr12",109940995,"chr16",15815491,Inf,"1",1,FALSE,TRUE,TRUE,"C1NHTACXX130228:4:2311:16765:68579/1/1",50,"HighConfidence","-"
"jaffa-direct","ABCC5:TSEN54","chr3",183703092,"chr17",73517490,Inf,"1",1,FALSE,TRUE,TRUE,"H097HADXX130311:1:2101:17994:52564/2/2",45,"HighConfidence","-"
"jaffa-direct","EZR:RSPH3","chr6",159239114,"chr6",159399378,160.261,"-",146,FALSE,TRUE,TRUE,"Locus_507_Transcript_164/177_Confidence_0.007_Length_1027",852,"MediumConfidence","-"
"jaffa-direct","RPL8:C17orf61-PLSCR3","chr8",146017525,"chr17",7307416,Inf,"0",50,FALSE,TRUE,TRUE,"Locus_1239_Transcript_33/46_Confidence_0.176_Length_1758",1341,"MediumConfidence","-"
"jaffa-direct","SIAH1:ABCC11","chr16",48419115,"chr16",48204878,214.242,"-",34,FALSE,TRUE,FALSE,"Locus_8_Transcript_10605/14759_Confidence_0.000_Length_403",219,"MediumConfidence","-"
"jaffa-direct","BAIAP2:PSMD12","chr17",79009108,"chr17",65338379,13670.731,"-",31,TRUE,TRUE,TRUE,"Locus_2972_Transcript_18/22_Confidence_0.097_Length_1025",876,"MediumConfidence","-"
"jaffa-direct","FAM60A:ERGIC2","chr12",31478958,"chr12",29524603,1954.359,"-",24,FALSE,TRUE,FALSE,"Locus_4298_Transcript_30/33_Confidence_0.196_Length_3939",3762,"MediumConfidence","-"
"jaffa-direct","SAE1:PET100","chr19",47673180,"chr19",7694623,39978.556,"0",12,FALSE,TRUE,TRUE,"Locus_4857_Transcript_15/24_Confidence_0.186_Length_1107",803,"MediumConfidence","-"
"jaffa-direct","GAREM:RP11-405F3.4","chr18",29890156,"chr16",57720732,Inf,"0",7,FALSE,TRUE,TRUE,"Locus_206_Transcript_28/72_Confidence_0.049_Length_793",328,"MediumConfidence","-"
"jaffa-direct","PLEC:PPP6R1","chr8",145047571,"chr19",55758477,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_89_Transcript_2624/3555_Confidence_0.001_Length_1025",98,"MediumConfidence","-"
"jaffa-direct","UBE2K:UGDH-AS1","chr4",39700010,"chr4",39591207,108.801,"0",2,FALSE,TRUE,TRUE,"Locus_8_Transcript_2330/14759_Confidence_0.000_Length_402",259,"MediumConfidence","-"
"jaffa-direct","LONP2:ABCC11","chr16",48390621,"chr16",48204878,185.743,"0",2,FALSE,TRUE,TRUE,"C1NHDACXX130227:7:2310:12848:23928/2/2",47,"MediumConfidence","-"
"jaffa-direct","VAPB:GNAS","chr20",56964573,"chr20",57470667,506.099,"-",2,TRUE,TRUE,FALSE,"Locus_8_Transcript_6314/14759_Confidence_0.000_Length_362",320,"MediumConfidence","-"
"jaffa-direct","S100A10:UBAP2L","chr1",151966228,"chr1",154197560,2231.329,"0",2,FALSE,TRUE,TRUE,"C1NHDACXX130227:2:1315:9844:25240/1/1",72,"MediumConfidence","-"
"jaffa-direct","PRCC:EFHD1","chr1",156720523,"chr2",233527512,Inf,"0",2,FALSE,TRUE,TRUE,"C1NHDACXX130227:4:1310:1425:10480/1/1",57,"MediumConfidence","-"
"jaffa-direct","SF1:KRBOX4","chr11",64543970,"chrX",46330577,Inf,"0",2,TRUE,TRUE,TRUE,"C1NHDACXX130227:4:2202:10518:58705/1/1",48,"MediumConfidence","-"
