juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr6_167386227_-:chr6_167366036_-	readthrough	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	167386267	167365977	1	1	20191	ENSG00000227598.1	ENSG00000249141.1,ENSG00000026297.11	RP1-167A14.2	RP11-514O12.4,RNASET2	antisense	protein_coding,protein_coding	C0UNPACXX120727:6:2306:4592:18108/1,	C0UNPACXX120727:8:2313:3754:42483,C0VHUACXX120727:7:2301:19429:27360,	na
chr7_92086903_+:chr7_92090633_+	readthrough	0	na	8	4	4	100	0	0	4	0	0	100	100	1247	0	na	na	GT	AG	92086831	92090708	1	1	3730	ENSG00000157259.6	ENSG00000244055.1	GATAD1	AC007566.10	protein_coding	antisense	C0UNPACXX120727:4:1206:16174:31547/2,C0UNPACXX120727:6:2209:5157:43838/2,C0VHUACXX120727:6:2216:15117:12559/2,C0VHUACXX120727:4:2110:14822:87040/2,	C0UNPACXX120727:7:1115:8330:80482,C0RTFACXX120719:8:1112:11232:57517,C0UNPACXX120727:1:1302:6811:85930,C0VHUACXX120727:4:1307:18193:67678,	na
chr12_112530855_-:chr12_69853297_+	interstrand	0	na	13	10	8	80	10	100	3	0	0	100	100	0	0	na	na	GT	AG	112530937	69853376	0	na	na	ENSG00000111300.5	ENSG00000257507.1	NAA25	RP11-956E11.1	protein_coding	lincRNA	C0VHUACXX120727:2:1115:12772:90583/2,C0VHUACXX120727:3:2314:18899:86387/2,C0RTFACXX120719:2:1106:12498:39330/1,C0VHUACXX120727:4:2307:4811:13734/2,C0UNPACXX120727:4:1313:20147:41379/1,C0VHUACXX120727:5:2310:4625:54906/2,C0VHUACXX120727:7:2302:18749:6643/2,C0UNPACXX120727:6:1312:6447:72388/2,C0RTFACXX120719:8:1107:9548:23407/2,C0UNPACXX120727:6:1204:11358:4177/1,	C0RTFACXX120719:8:1203:11836:27114,C0UNPACXX120727:6:1308:2922:78545,C0VHUACXX120727:3:2302:4842:61044,	na
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	13	8	3	37.5	6	75	5	0	0	100	100	0	0	na	na	GT	AG	46781676	47046261	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C0UNPACXX120727:3:2103:6048:25779/2,C0VHUACXX120727:4:2308:18927:85854/2,C0VHUACXX120727:4:2308:18927:85854/2,C0VHUACXX120727:4:2308:18927:85854/2,C0UNPACXX120727:3:2105:11601:52278/2,C0UNPACXX120727:3:2105:11601:52278/2,C0UNPACXX120727:3:2105:11601:52278/2,C0UNPACXX120727:3:2103:6048:25779/1,	C0VHUACXX120727:7:2306:14297:84510,C0UNPACXX120727:2:2303:12600:92509,C0VHUACXX120727:8:2314:14704:3916,C0VHUACXX120727:8:1212:2588:42410,C0VHUACXX120727:6:2313:12929:62586,	na
chr9_540667_+:chr9_549190_+	readthrough	0	na	9	6	6	100	0	0	3	1	25	100	100	0	0	na	na	GT	AG	540575	549254	1	1	8523	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	C0UNPACXX120727:5:1214:15427:83102/1,C0RTFACXX120719:8:1312:20632:86406/1,C0UNPACXX120727:3:2107:17449:72765/1,C0UNPACXX120727:8:1205:19884:95779/2,C0RTFACXX120719:2:1310:1387:64477/1,C0VHUACXX120727:3:1114:20179:62096/2,	C0UNPACXX120727:2:2211:16835:48872,C0UNPACXX120727:2:2312:17073:94853,C0VHUACXX120727:8:2116:17958:27896,	C0UNPACXX120727:2:1311:19912:80996,
chr12_54388800_+:chr12_54446944_+	readthrough	0	na	10	4	4	100	0	0	6	0	0	100	100	0	0	na	na	GT	AG	54388712	54447008	1	1	58144	ENSG00000180806.4	ENSG00000198353.6	HOXC9	HOXC4	protein_coding	protein_coding	C0VHUACXX120727:4:2208:19110:44096/1,C0UNPACXX120727:4:1111:8453:76058/2,C0RTFACXX120719:5:1206:20664:28945/2,C0VHUACXX120727:8:1214:17960:53521/1,	C0UNPACXX120727:2:1305:16129:21921,C0VHUACXX120727:7:2206:7675:58924,C0RTFACXX120719:7:1101:7500:49129,C0VHUACXX120727:6:1116:11026:63298,C0UNPACXX120727:6:2308:6599:14180,C0UNPACXX120727:2:2309:20115:26244,	na
chr9_540667_+:chr9_549107_+	readthrough	0	na	6	2	2	100	0	0	4	0	0	100	100	0	0	na	na	GT	AG	540628	549187	1	1	8440	ENSG00000107104.14	ENSG00000226403.1	KANK1	RP11-31F19.1	protein_coding	sense_intronic	C0UNPACXX120727:8:2113:17978:43091/2,C0VHUACXX120727:6:2115:12128:32922/1,	C0UNPACXX120727:2:2211:16835:48872,C0UNPACXX120727:2:1311:19912:80996,C0UNPACXX120727:2:2312:17073:94853,C0VHUACXX120727:8:2116:17958:27896,	na
chr2_236403493_+:chr2_236415597_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	236403402	236415642	1	1	12104	ENSG00000157985.13	ENSG00000235529.1	AGAP1	AGAP1-IT1	protein_coding	sense_intronic	C0UNPACXX120727:1:2115:10344:10729/2,C0UNPACXX120727:1:2115:10344:10729/1,	C0RTFACXX120719:7:1304:4714:66840,	na
chr12_46848924_+:chr12_47046173_+	intrachromosomal	0	na	6	1	1	100	0	0	5	0	0	100	100	0	0	na	na	GT	AG	46848894	47046242	1	1	197249	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	C0VHUACXX120727:5:1312:13897:59507/1,	C0VHUACXX120727:7:2306:14297:84510,C0UNPACXX120727:2:2303:12600:92509,C0VHUACXX120727:8:2314:14704:3916,C0VHUACXX120727:8:1212:2588:42410,C0VHUACXX120727:6:2313:12929:62586,	na
chr10_51387763_+:chr10_51732772_+	intrachromosomal	0	na	36	33	27	81.8182	21	63.6364	3	0	0	100	100	0	177	na	na	GT	AG	51387665	51732866	1	1	345009	ENSG00000204152.6	ENSG00000178440.5	TIMM23B	LINC00843	protein_coding	lincRNA	C0VHUACXX120727:2:1301:2774:26037/1,C0UNPACXX120727:6:1211:8114:84089/2,C0UNPACXX120727:8:1207:3408:32853/2,C0UNPACXX120727:1:2305:11834:30346/1,C0UNPACXX120727:1:1113:14687:96946/1,C0VHUACXX120727:6:2304:20651:18248/2,C0UNPACXX120727:3:1209:15320:11309/1,C0VHUACXX120727:7:1304:2080:98105/1,C0UNPACXX120727:8:2304:12050:53462/2,C0UNPACXX120727:4:2111:18570:16558/2,C0VHUACXX120727:2:2211:2787:25884/2,C0UNPACXX120727:4:1213:13012:99337/1,C0UNPACXX120727:7:2314:8004:60367/2,C0VHUACXX120727:3:1111:11531:21039/2,C0UNPACXX120727:6:1310:2824:43267/1,C0UNPACXX120727:6:1114:19671:82113/2,C0UNPACXX120727:3:2316:15339:51322/2,C0RTFACXX120719:6:1302:12643:34143/2,C0VHUACXX120727:3:2209:16996:35169/2,C0UNPACXX120727:4:1308:10845:89277/2,C0UNPACXX120727:4:1112:3597:30714/2,C0UNPACXX120727:4:1116:14033:11359/1,C0UNPACXX120727:2:1309:8498:60303/2,C0UNPACXX120727:2:1309:8498:60303/2,C0UNPACXX120727:7:2303:4506:5738/1,C0VHUACXX120727:8:2111:1136:4590/1,C0UNPACXX120727:5:1204:13651:84566/2,C0UNPACXX120727:3:1307:2832:90209/1,C0UNPACXX120727:5:2210:14182:73162/1,C0UNPACXX120727:7:2303:18577:78723/1,C0VHUACXX120727:7:1202:9395:50165/2,C0VHUACXX120727:3:1213:16921:95504/2,C0UNPACXX120727:5:2104:13457:44982/2,	C0VHUACXX120727:6:1103:5350:99040,C0VHUACXX120727:4:1216:16675:74512,C0VHUACXX120727:6:1306:6912:82008,	na
