juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr6_41874754_-:chr6_41859613_-	readthrough	0	na	8	5	4	80	1	20	3	0	0	100	100	212	0	na	na	GT	AG	41874852	41859558	1	1	15141	ENSG00000124641.10	ENSG00000164663.9	MED20	USP49	protein_coding	protein_coding	D1JD2ACXX121220:4:1208:16973:7325/1,D1JD2ACXX121220:1:2309:15708:59339/2,D1JP0ACXX121220:3:1113:20538:71751/1,D1JRVACXX121221:7:1309:9659:56948/2,D1JD2ACXX121220:4:1208:16973:7325/2,	D1JYPACXX121220:2:2307:12272:41444,D1JP0ACXX121220:1:1201:13772:65660,D1JYPACXX121220:3:1312:7154:37166,	na
chr7_94049598_+:chr17_48265998_-	interchromosomal	0	na	4	1	1	100	0	0	3	13	81.25	100	100	0	0	103	85.44	GT	AG	94049554	48265943	0	na	na	ENSG00000164692.13	ENSG00000108821.9	COL1A2	COL1A1	protein_coding	protein_coding	D1JP0ACXX121220:7:2211:2650:59921/2,	D1JP0ACXX121220:5:1107:1393:13495,D1JRVACXX121221:4:2212:9910:59091,D1JP0ACXX121220:7:2204:13148:24430,	D1JD2ACXX121220:1:1201:16497:39087,D1JYPACXX121220:2:1211:14714:19372,D1JYPACXX121220:7:2215:7356:89157,D1JYPACXX121220:8:2105:4295:60953,D1JP0ACXX121220:4:1108:10479:87500,D1JP0ACXX121220:3:1215:14058:8406,D1JP0ACXX121220:8:2102:9526:99931,D1JRVACXX121221:8:2212:20634:92708,D1JRVACXX121221:7:2306:13718:73173,D1JYPACXX121220:5:2214:4368:96948,D1JD2ACXX121220:4:2316:4013:27375,D1JP0ACXX121220:2:1105:6590:43362,D1JYPACXX121220:2:1301:11158:72478,
chr17_57728677_+:chr17_57915656_+	intrachromosomal	0	na	8	7	5	71.4286	5	71.4286	1	0	0	100	100	0	0	na	na	GT	AG	57728598	57915755	1	1	186979	ENSG00000141367.7	ENSG00000062716.6	CLTC	VMP1	protein_coding	protein_coding	D1JP0ACXX121220:8:2314:10123:18744/2,D1JP0ACXX121220:3:1304:2921:47183/1,D1JRVACXX121221:6:2110:17665:17008/2,D1JYPACXX121220:3:1306:9817:46449/1,D1JYPACXX121220:3:1306:9817:46449/1,D1JRVACXX121221:3:2205:2613:6428/2,D1JD2ACXX121220:1:2101:14650:92696/1,	D1JRVACXX121221:3:2304:16302:48337,	na
chr12_46781755_+:chr12_47046173_+	intrachromosomal	0	na	4	3	3	100	0	0	1	1	50	100	100	0	0	na	na	GT	AG	46781677	47046271	1	1	264418	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	D1JD2ACXX121220:6:1216:7265:54691/2,D1JRVACXX121221:8:2204:16813:19688/2,D1JD2ACXX121220:6:1216:7265:54691/1,	D1JRVACXX121221:7:2208:10583:35334,	D1JD2ACXX121220:4:1314:19636:6410,
chr1_44517203_+:chr1_44595025_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	44517127	44595050	1	1	77822	ENSG00000230615.2	ENSG00000171872.4	RP5-1198O20.4	KLF17	lincRNA	protein_coding	D1JRVACXX121221:2:1304:5397:69290/2,D1JRVACXX121221:2:1304:5397:69290/1,	D1JD2ACXX121220:2:2306:11433:86173,	na
chr17_48264376_-:chr7_94049853_+	interchromosomal	0	na	9	1	1	100	0	0	8	8	50	100	100	0	0	103	85.44	GT	AG	48264436	94049892	0	na	na	ENSG00000108821.9	ENSG00000164692.13	COL1A1	COL1A2	protein_coding	protein_coding	D1JRVACXX121221:7:1305:17475:49871/1,	D1JYPACXX121220:7:2215:7356:89157,D1JP0ACXX121220:4:1108:10479:87500,D1JP0ACXX121220:3:1215:14058:8406,D1JRVACXX121221:8:2212:20634:92708,D1JRVACXX121221:7:2306:13718:73173,D1JD2ACXX121220:4:2316:4013:27375,D1JP0ACXX121220:2:1105:6590:43362,D1JYPACXX121220:2:1301:11158:72478,	D1JD2ACXX121220:1:1201:16497:39087,D1JYPACXX121220:2:1211:14714:19372,D1JYPACXX121220:8:2105:4295:60953,D1JP0ACXX121220:8:2102:9526:99931,D1JP0ACXX121220:5:1107:1393:13495,D1JYPACXX121220:5:2214:4368:96948,D1JRVACXX121221:4:2212:9910:59091,D1JP0ACXX121220:7:2204:13148:24430,
chr12_46848924_+:chr12_47046173_+	intrachromosomal	0	na	3	1	1	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	46848844	47046192	1	1	197249	ENSG00000257261.1	ENSG00000272369.1	RP11-96H19.1	RP11-446N19.1	lincRNA	lincRNA	D1JP0ACXX121220:3:2109:17596:63288/1,	D1JD2ACXX121220:4:1314:19636:6410,D1JRVACXX121221:7:2208:10583:35334,	na
chr2_10269281_+:chr2_10281981_+	readthrough	0	na	13	12	9	75	4	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	10269182	10282070	1	1	12700	ENSG00000171848.9	ENSG00000163009.4	RRM2	C2orf48	protein_coding	protein_coding	D1JP0ACXX121220:6:1103:16785:8593/2,D1JP0ACXX121220:5:2308:9731:61390/2,D1JD2ACXX121220:3:2209:19153:40718/2,D1JRVACXX121221:1:2214:9164:64530/1,D1JD2ACXX121220:4:1303:6551:4760/1,D1JP0ACXX121220:2:2107:19804:11681/2,D1JYPACXX121220:1:2311:5695:52647/2,D1JD2ACXX121220:3:1212:5283:94448/2,D1JRVACXX121221:1:2214:9164:64530/2,D1JP0ACXX121220:6:2105:5863:65614/2,D1JD2ACXX121220:2:1202:19438:98157/1,D1JD2ACXX121220:2:1202:19438:98157/1,	D1JRVACXX121221:1:2101:20878:23616,	na
chr17_48266738_-:chr7_94053648_+	interchromosomal	0	na	3	1	1	100	0	0	2	14	87.5	100	100	0	0	103	85.44	GT	AG	48266793	94053692	0	na	na	ENSG00000108821.9	ENSG00000164692.13	COL1A1	COL1A2	protein_coding	protein_coding	C1DUFACXX121220:6:1305:9314:2562/1,	D1JP0ACXX121220:4:1108:10479:87500,D1JP0ACXX121220:2:1105:6590:43362,	D1JD2ACXX121220:1:1201:16497:39087,D1JYPACXX121220:2:1211:14714:19372,D1JYPACXX121220:7:2215:7356:89157,D1JYPACXX121220:8:2105:4295:60953,D1JP0ACXX121220:3:1215:14058:8406,D1JP0ACXX121220:8:2102:9526:99931,D1JRVACXX121221:8:2212:20634:92708,D1JRVACXX121221:7:2306:13718:73173,D1JP0ACXX121220:5:1107:1393:13495,D1JYPACXX121220:5:2214:4368:96948,D1JRVACXX121221:4:2212:9910:59091,D1JD2ACXX121220:4:2316:4013:27375,D1JYPACXX121220:2:1301:11158:72478,D1JP0ACXX121220:7:2204:13148:24430,
chr6_44200165_+:chr6_44216367_+	readthrough	0	na	7	6	4	66.6667	2	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	44200132	44216446	1	1	16202	ENSG00000112759.12	ENSG00000096384.15	SLC29A1	HSP90AB1	protein_coding	protein_coding	D1JRVACXX121221:1:2304:11788:53609/1,D1JP0ACXX121220:2:2113:19996:2408/1,D1JYPACXX121220:8:1110:6068:8148/2,D1JD2ACXX121220:5:2111:18396:91068/2,D1JD2ACXX121220:5:2111:18396:91068/2,D1JP0ACXX121220:1:1206:19514:19092/2,	D1JRVACXX121221:6:1209:3152:18929,	na
