juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr18_21462009_+:chr19_11027083_+	interchromosomal	0	na	3	2	2	100	0	0	1	11	91.6667	100	100	0	0	na	na	GT	AG	21461946	11027131	0	na	na	ENSG00000053747.11	ENSG00000142453.7	LAMA3	CARM1	protein_coding	protein_coding	C183VACXX121031:4:1213:16624:29281/2,C185NACXX121031:7:2308:10734:86211/1,	C17W9ACXX121031:5:1314:8993:97511,	C183VACXX121031:2:2213:13703:10888,C17W9ACXX121031:8:1307:4640:89494,C17W9ACXX121031:1:2113:13660:92999,C17W9ACXX121031:8:1310:17975:27697,C183VACXX121031:5:1302:14370:30861,C183VACXX121031:8:2108:1833:16724,C17W9ACXX121031:1:1216:13658:46431,C185NACXX121031:4:2313:20569:59885,C183VACXX121031:5:1211:14067:8136,C183VACXX121031:8:2308:9139:55574,C183VACXX121031:5:2216:11556:47201,
chr3_184612713_+:chr3_184157032_+	inverted	0	na	4	2	2	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	184612670	184157102	1	0	na	ENSG00000156931.11	ENSG00000224153.2	VPS8	RP11-433C9.2	protein_coding	protein_coding	C17U8ACXX121101:4:2316:14700:29259/2,C17U8ACXX121101:4:2316:14700:29259/1,	C17W9ACXX121031:6:1213:9781:36893,C17W9ACXX121031:2:2211:19938:81978,	na
chrX_129263945_-:chrX_129354454_-	inverted	0	na	3	2	2	100	0	0	1	1	50	100	100	0	0	na	na	GT	AG	129263980	129354378	1	0	na	ENSG00000156709.9	ENSG00000056277.11	AIFM1	ZNF280C	protein_coding	protein_coding	C183VACXX121031:6:2203:8053:77072/2,C17W9ACXX121031:4:2312:9053:30500/1,	C17W9ACXX121031:5:2206:15205:94276,	C183VACXX121031:8:2111:20922:92241,
chr1_100503872_+:chr1_100602438_+	readthrough	0	na	8	7	5	71.4286	0	0	1	0	0	100	100	0	0	na	na	GT	AG	100503787	100602483	1	1	98566	ENSG00000156875.9	ENSG00000122435.5	HIAT1	TRMT13	protein_coding	protein_coding	C183VACXX121031:4:2215:4083:27108/1,C17W9ACXX121031:5:1209:10050:95017/2,C17W9ACXX121031:2:2316:20592:52554/2,C17W9ACXX121031:8:1209:10216:41067/1,C17W9ACXX121031:7:1212:8681:74875/1,C185NACXX121031:8:2314:12252:43903/1,C185NACXX121031:8:2314:12252:43903/2,	C183VACXX121031:3:2215:8108:10723,	na
chr2_85808999_+:chr2_85818848_+	readthrough	0	na	8	5	5	100	0	0	3	0	0	100	100	121	0	na	na	GT	AG	85808926	85818915	1	1	9849	ENSG00000118640.6	ENSG00000168899.4	VAMP8	VAMP5	protein_coding	protein_coding	C183VACXX121031:2:1110:16114:67516/2,C185NACXX121031:4:1307:5238:21819/1,C183VACXX121031:1:1203:6968:4278/2,C183VACXX121031:5:2108:16582:7033/1,C183VACXX121031:8:2102:9121:23425/2,	C17W9ACXX121031:2:1301:13673:41125,C183VACXX121031:1:1302:11459:96039,C17W9ACXX121031:4:2216:4914:75539,	na
chr7_5530862_-:chr7_5434226_-	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	5530918	5434127	1	1	96636	ENSG00000155034.14	ENSG00000182095.10	FBXL18	TNRC18	protein_coding	protein_coding	C183VACXX121031:2:1215:2687:77848/2,C17W9ACXX121031:3:1206:6368:94429/2,C183VACXX121031:8:1108:1549:32831/1,	C183VACXX121031:1:2110:2015:98403,	na
chr2_70310639_-:chr2_70410067_-	inverted	0	na	4	3	3	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	70310685	70409991	1	0	na	ENSG00000179818.9	ENSG00000115998.3	PCBP1-AS1	C2orf42	antisense	protein_coding	C183VACXX121031:3:1301:4913:33548/1,C183VACXX121031:2:1208:8842:50144/2,C183VACXX121031:1:1304:18224:93221/2,	C183VACXX121031:5:2310:12931:56278,	na
chr18_21663045_+:chr18_20832924_+	inverted	0	na	5	4	3	75	0	0	1	1	50	100	100	0	0	na	na	GT	AG	21662983	20832986	1	0	na	ENSG00000168234.8	ENSG00000134508.8	TTC39C	CABLES1	protein_coding	protein_coding	C183VACXX121031:8:1214:8109:82315/1,C17W9ACXX121031:1:2213:1895:38637/2,C183VACXX121031:7:1305:15549:72912/2,C183VACXX121031:8:2313:11593:84290/2,	C183VACXX121031:5:2204:9736:39208,	C185NACXX121031:4:1201:6618:47975,
chr19_45397323_+:chr19_45174576_+	inverted	0	na	18	1	1	100	0	0	17	3	15	100	100	0	0	na	na	GT	AG	45397303	45174655	1	0	na	ENSG00000130204.8	ENSG00000186567.8	TOMM40	CEACAM19	protein_coding	protein_coding	C17W9ACXX121031:6:2308:16457:53402/2,	C17U8ACXX121101:4:1203:14760:54769,C185NACXX121031:4:2113:18272:15546,C17W9ACXX121031:5:1306:12198:75985,C183VACXX121031:6:2309:9277:90122,C183VACXX121031:7:1113:14813:3383,C185NACXX121031:4:1303:5461:93327,C183VACXX121031:5:2102:17882:5739,C185NACXX121031:4:2108:14225:4802,C17W9ACXX121031:6:1105:9082:12908,C17W9ACXX121031:2:2309:18631:27082,C17W9ACXX121031:1:1205:8601:38695,C17W9ACXX121031:4:2214:2465:77249,C17U8ACXX121101:8:2206:1898:82670,C183VACXX121031:6:2314:14349:43554,C185NACXX121031:8:2104:1602:45042,C183VACXX121031:4:2109:20007:7945,C183VACXX121031:6:2105:7877:47512,	C17W9ACXX121031:3:2307:15156:3764,C17W9ACXX121031:1:2210:4318:49942,C185NACXX121031:7:1207:18595:25102,
chr1_70825980_-:chr1_70801782_-	readthrough	0	na	8	3	3	100	1	33.3333	5	0	0	100	100	0	0	na	na	GT	AG	70826079	70801748	1	1	24198	ENSG00000226088.1	ENSG00000118454.8	RP11-180O5.2	ANKRD13C	antisense	protein_coding	C183VACXX121031:8:1315:14697:65075/2,C183VACXX121031:2:2203:3057:55668/1,C185NACXX121031:8:1307:13507:29785/2,	C185NACXX121031:4:1309:15499:65330,C17W9ACXX121031:1:2205:15720:6092,C183VACXX121031:8:2316:6660:85224,C17W9ACXX121031:8:2214:3539:12905,C17W9ACXX121031:3:2115:19666:86394,	na
