juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr11_71159931_+:chr11_71166156_+	readthrough	0	na	6	5	4	80	0	0	1	0	0	100	100	0	0	na	na	GT	AG	71159842	71166216	1	1	6225	ENSG00000254682.1	ENSG00000172890.7	RP11-660L16.2	NADSYN1	antisense	protein_coding	H13N7ADXX130815:1:2109:12063:34297/1,D2FGHACXX130903:6:2108:2842:56819/1,H13N7ADXX130815:1:2109:12063:34297/2,H13N7ADXX130815:1:2110:2013:34128/1,C29TWACXX130819:6:2108:3111:14480/2,	C29TWACXX130819:3:2110:16922:39490,	na
chr2_128603744_-:chr2_128603059_-	readthrough	0	na	6	3	2	66.6667	1	33.3333	3	0	0	4	100	96	202	na	na	GT	AG	128603843	128603014	1	1	685	ENSG00000144231.6	ENSG00000270081.1	POLR2D	RP5-935K16.1	protein_coding	lincRNA	C29TWACXX130819:8:2303:19651:33656/1,D2BCKACXX130819:3:1111:5353:24476/1,C29TWACXX130819:2:1202:9363:33888/2,	D2FGHACXX130903:5:2205:16356:60668,D2FGHACXX130903:1:2212:11783:20348,D2FGHACXX130903:8:1103:15547:73405,	na
chr8_1920203_+:chr8_1948451_+	readthrough	0	na	9	8	7	87.5	5	62.5	1	0	0	100	100	0	0	na	na	GT	AG	1920105	1948550	1	1	28248	ENSG00000253696.2	ENSG00000176595.3	KBTBD11-OT1	KBTBD11	lincRNA	protein_coding	D2BCKACXX130819:2:2108:8987:54871/1,C29TWACXX130819:7:1311:17918:77400/2,C29TWACXX130819:7:1311:17918:77400/1,C29TWACXX130819:7:1302:3092:98654/1,D2BCKACXX130819:5:2103:13994:49520/2,D2BCKACXX130819:5:2103:13994:49520/2,D2B83ACXX130818:5:1102:20015:21498/2,D2B83ACXX130818:8:2112:9797:46783/2,	C29TWACXX130819:7:2315:4481:20695,	na
chr11_63918711_-:chr11_63886249_-	readthrough	0	na	13	10	5	50	8	80	3	0	0	100	100	0	0	na	na	GT	AG	63918810	63886175	1	1	32462	ENSG00000133315.6	ENSG00000256341.1	MACROD1	RP11-21A7A.3	protein_coding	antisense	H13N7ADXX130815:1:1109:4254:76182/2,D2FUTACXX130901:5:2103:5538:11972/2,D2FGHACXX130903:5:1315:1964:41153/2,D2BCKACXX130819:2:1215:9289:85979/2,C29TWACXX130819:5:1212:14305:53795/2,D2B83ACXX130818:5:2205:12669:84863/1,D2B83ACXX130818:5:2205:12669:84863/2,D2B83ACXX130818:4:1207:4114:95579/2,D2B75ACXX130819:5:1213:9719:59138/2,D2BCKACXX130819:4:1307:15688:85212/2,	D2FGHACXX130903:7:1303:2327:12412,C29TWACXX130819:5:1101:20425:4295,C29TWACXX130819:6:1212:14650:97600,	na
chr22_40762502_+:chr22_40796700_+	readthrough	0	na	8	7	2	28.5714	6	85.7143	1	0	0	100	100	0	0	na	na	GT	AG	40762483	40796794	1	1	34198	ENSG00000239900.7	ENSG00000100359.16	ADSL	SGSM3	protein_coding	protein_coding	D2B75ACXX130819:6:1306:7323:36781/2,D2B75ACXX130819:6:1306:7323:36781/2,D2B75ACXX130819:6:1306:7323:36781/2,D2B75ACXX130819:6:1306:7323:36781/2,D2B75ACXX130819:6:1306:7323:36781/2,D2B75ACXX130819:6:1306:7323:36781/2,D2B83ACXX130818:6:2116:6802:11374/1,	C29TWACXX130819:1:1306:3653:2531,	na
chr7_43832411_+:chr7_43680248_-	interstrand	0	na	7	4	4	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	43832349	43680185	0	na	na	ENSG00000106605.6	ENSG00000106603.13	BLVRA	COA1	protein_coding	protein_coding	D2FGHACXX130903:7:1204:9310:59639/2,C29TWACXX130819:7:1210:7477:39317/1,D2B75ACXX130819:6:2206:3861:24199/1,D2B83ACXX130818:7:1310:3471:10285/1,	D2FGHACXX130903:8:1301:12800:70170,D2BCKACXX130819:6:1214:4488:50001,D2FGHACXX130903:4:2303:10770:34210,	na
chr9_98079114_-:chr9_98241429_-	inverted	0	na	4	1	1	100	0	0	3	0	0	100	100	0	0	na	na	GT	AG	98079156	98241372	1	0	na	ENSG00000158169.7	ENSG00000185920.11	FANCC	PTCH1	protein_coding	protein_coding	D2FGHACXX130903:8:2112:3039:8039/1,	C29TWACXX130819:7:1216:14156:78761,D2B75ACXX130819:8:2106:5778:44248,D2FGHACXX130903:2:1312:13078:79306,	na
chr11_63918711_-:chr11_63886246_-	readthrough	0	na	14	11	7	63.6364	9	81.8182	3	0	0	100	100	0	3	na	na	GT	AG	63918810	63886180	1	1	32465	ENSG00000133315.6	ENSG00000256341.1	MACROD1	RP11-21A7A.3	protein_coding	antisense	D2B75ACXX130819:2:2311:12342:6687/1,D2FUTACXX130901:5:2103:5538:11972/2,C29TWACXX130819:5:1212:14305:53795/2,D2B83ACXX130818:4:1207:4114:95579/1,D2B83ACXX130818:4:1207:4114:95579/1,D2B83ACXX130818:4:1207:4114:95579/1,D2B83ACXX130818:4:1207:4114:95579/2,D2B75ACXX130819:5:1213:9719:59138/2,C29TWACXX130819:3:2316:10289:88012/2,C29TWACXX130819:3:2316:10289:88012/1,D2BCKACXX130819:5:2210:12144:17714/2,	D2FGHACXX130903:7:1303:2327:12412,C29TWACXX130819:5:1101:20425:4295,C29TWACXX130819:6:1212:14650:97600,	na
chr1_8877219_-:chr1_9145201_-	inverted	0	na	8	6	5	83.3333	0	0	2	0	0	100	100	0	0	na	na	GT	AG	8877301	9145154	1	0	na	ENSG00000142599.13	ENSG00000142583.13	RERE	SLC2A5	protein_coding	protein_coding	C29TWACXX130819:1:1311:13322:41237/2,D2B83ACXX130818:5:2111:11398:84304/2,D2FGHACXX130903:3:2213:14261:98613/1,C29TWACXX130819:7:1316:13470:90130/1,D2BCKACXX130819:3:2115:19202:97791/2,D2B75ACXX130819:8:1315:4019:39777/2,	C29TWACXX130819:7:1207:5323:10754,D2FUTACXX130901:7:2104:14099:94135,	na
chr12_49361729_-:chr12_49334971_-	readthrough	0	na	28	26	8	30.7692	22	84.6154	2	0	0	100	100	0	0	na	na	GT	AG	49361809	49334872	1	1	26758	ENSG00000169884.9	ENSG00000272822.1,ENSG00000134287.5	WNT10B	RP11-302B13.5,ARF3	protein_coding	protein_coding,protein_coding	D2BCKACXX130819:3:2211:15140:16568/2,D2BCKACXX130819:1:2303:12327:59828/1,D2B75ACXX130819:6:2312:14079:63919/1,D2B75ACXX130819:4:2304:1045:52220/1,H13N7ADXX130815:1:1214:15953:97500/1,D2B83ACXX130818:8:1216:13233:46293/2,C29TWACXX130819:6:1110:5157:31727/2,C29TWACXX130819:5:1315:18553:78693/2,C29TWACXX130819:1:2308:10709:22055/1,D2BCKACXX130819:7:1315:18112:98439/1,D2FUTACXX130901:7:1213:3416:30427/2,C29TWACXX130819:1:2308:10709:22055/2,D2FUTACXX130901:7:1213:3416:30427/1,D2FGHACXX130903:5:2209:10573:20173/1,D2BCKACXX130819:8:1107:3490:63741/1,D2BCKACXX130819:6:2311:19343:84764/1,D2BCKACXX130819:1:2315:15438:36739/2,D2B83ACXX130818:8:1209:16334:58921/2,D2B75ACXX130819:4:2315:2279:55951/2,D2B75ACXX130819:3:1206:1951:33184/2,D2B75ACXX130819:1:1307:11479:55486/2,C29TWACXX130819:7:2214:6824:15005/1,C29TWACXX130819:5:1105:1676:14996/1,C29TWACXX130819:4:2214:5238:56503/2,C29TWACXX130819:3:1311:17448:59719/1,D2B75ACXX130819:8:2116:14669:92610/1,	C29TWACXX130819:8:1203:16194:90485,C29TWACXX130819:6:2105:11262:60480,	na
