juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr1_204183010_-:chr1_204162042_-	readthrough	0	na	5	4	4	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	204183070	204161948	1	1	20968	ENSG00000174567.7	ENSG00000170498.7	GOLT1A	KISS1	protein_coding	protein_coding	C1DVPACXX130111:4:1216:10256:58357/1,C1DVPACXX130111:4:1216:10256:58357/2,D1JYHACXX130117:3:2309:17788:71974/1,D1JYHACXX130117:3:2309:17788:71974/2,	C1EF5ACXX130117:7:1104:1764:65642,	na
chr14_69349175_-:chr19_39216364_+	interchromosomal	0	na	32	31	15	48.3871	31	100	1	14	93.3333	100	100	0	0	1334	85.38	GT	AG	69349201	39216448	0	na	na	ENSG00000072110.9	ENSG00000130402.7	ACTN1	ACTN4	protein_coding	protein_coding	C1EF5ACXX130117:3:2314:19654:77805/1,D1JYHACXX130117:1:1111:14848:13332/2,C1DVPACXX130111:4:1304:19491:72618/1,D1JYHACXX130117:8:2203:13783:70939/1,C1E5MACXX130111:7:2314:4713:79351/2,D1JYHACXX130117:5:2112:3078:36127/1,C1FGVACXX130122:6:2105:5724:32453/1,C1FGVACXX130122:3:1315:1885:42030/1,C1E2NACXX130117:7:1208:19126:33863/2,C1DVPACXX130111:2:2106:13110:95883/1,C1FGVACXX130122:8:2213:5484:85090/1,C1E2NACXX130117:2:2304:14383:88187/1,C1DVPACXX130111:3:2109:20598:32231/1,C1EF5ACXX130117:3:2311:13224:7143/1,C1EF5ACXX130117:1:2101:17290:77651/1,D1JYHACXX130117:6:2314:5767:23898/1,C1EF5ACXX130117:4:1213:20167:55293/1,C1EF5ACXX130117:3:2216:11253:30010/2,C1FGVACXX130122:6:1214:3192:90661/2,D1JYHACXX130117:8:1109:10372:10357/1,D1JYHACXX130117:7:2116:4259:95032/1,C1FGVACXX130122:6:2313:17808:76464/1,C1EF5ACXX130117:8:1111:19064:42988/1,C1EF5ACXX130117:7:1212:20969:48001/1,C1EF5ACXX130117:5:2304:11342:7684/2,C1E2NACXX130117:7:2210:18977:88786/1,C1DVPACXX130111:4:2307:1463:31582/2,D1JYHACXX130117:3:1211:10523:42800/1,C1EF5ACXX130117:1:2215:13450:30305/1,C1E2NACXX130117:2:1110:13887:55619/2,C1DVPACXX130111:4:2315:10688:34873/1,	C1FGVACXX130122:8:1307:13031:91433,	C1EF5ACXX130117:5:2314:17724:66369,C1DVPACXX130111:2:2303:6238:15840,C1EF5ACXX130117:2:2214:20281:63218,D1JYHACXX130117:7:1104:15152:47990,D1JYHACXX130117:2:1311:12519:3948,D1JYHACXX130117:6:1204:9402:57833,D1JYHACXX130117:8:1211:16540:46355,C1EF5ACXX130117:6:2106:10868:84061,C1FGVACXX130122:5:2316:14407:15942,D1JYHACXX130117:5:2305:11215:24196,C1FGVACXX130122:5:2305:17217:56839,C1E2NACXX130117:7:2202:2227:61328,D1JYHACXX130117:3:1109:3244:87878,C1E2NACXX130117:1:1105:9309:84179,
chr12_26424596_-:chr12_26367710_-	readthrough	0	na	23	6	5	83.3333	1	16.6667	17	3	15	100	75.3086	0	0	na	na	GT	AG	26424694	26367630	1	1	56886	ENSG00000255750.1	ENSG00000256234.1	RP11-283G6.5	RP11-283G6.4	antisense	antisense	C1FGVACXX130122:8:2109:13705:48972/2,D1JYHACXX130117:7:1203:7191:3979/1,C1E2NACXX130117:4:2209:5511:78509/2,C1FGVACXX130122:8:2109:13705:48972/1,C1FGVACXX130122:3:2216:14168:36013/1,D1JYHACXX130117:7:1203:7191:3979/2,	D1JYHACXX130117:7:1211:1226:67890,C1FGVACXX130122:6:2214:11773:3875,D1JYHACXX130117:2:1109:5536:62278,C1E2NACXX130117:1:1313:2893:81211,C1EF5ACXX130117:5:2206:11744:87291,C1DVPACXX130111:4:1206:6659:83749,D1JYHACXX130117:2:1116:6894:11340,C1E2NACXX130117:8:1112:11205:8822,C1FGVACXX130122:6:2207:13224:46506,D1JYHACXX130117:5:1211:9157:86807,C1EF5ACXX130117:3:1211:3095:6188,D1JYHACXX130117:6:2314:5412:78060,C1EF5ACXX130117:1:1216:20303:63784,D1JYHACXX130117:6:2111:18725:22196,C1EF5ACXX130117:6:1209:15027:11110,C1E5MACXX130111:4:2214:15029:37881,C1FGVACXX130122:6:1115:17864:89655,	C1DVPACXX130111:4:2110:6804:88612,D1JYHACXX130117:6:2306:4846:50953,C1DVPACXX130111:2:1209:18107:41932,
chr14_70233968_+:chr14_70170112_+	inverted	0	na	53	41	28	68.2927	0	0	12	39	76.4706	100	100	0	0	na	na	GT	AG	70233884	70170193	1	0	na	ENSG00000100650.11	ENSG00000100647.7	SRSF5	KIAA0247	protein_coding	protein_coding	C1FGVACXX130122:5:1211:20042:84027/2,D1JYHACXX130117:5:2104:15943:29564/2,C1EF5ACXX130117:5:1311:16141:53082/1,D1JYHACXX130117:2:1209:11387:35439/2,C1FGVACXX130122:6:2211:9693:94146/2,D1JYHACXX130117:2:2106:4649:81740/2,C1FGVACXX130122:1:2113:14447:57578/2,C1FGVACXX130122:3:1112:4711:94640/1,C1E5MACXX130111:7:2111:14054:17509/2,D1JYHACXX130117:2:2106:4649:81740/1,C1FGVACXX130122:7:2104:9472:8066/2,C1E2NACXX130117:5:2107:5473:86367/1,C1EF5ACXX130117:3:2109:8176:78842/1,C1EF5ACXX130117:5:1205:16919:41885/2,C1E5MACXX130111:7:2209:1609:82198/1,C1E2NACXX130117:2:1111:15376:54826/1,C1EF5ACXX130117:5:2108:21129:40292/2,C1EF5ACXX130117:6:1214:19797:75679/1,C1E2NACXX130117:8:1116:17678:93615/1,D1JYHACXX130117:8:1207:17947:89526/1,C1E2NACXX130117:3:1206:2330:12594/2,C1FGVACXX130122:2:2215:2051:18833/1,C1FGVACXX130122:3:1112:4711:94640/2,D1JYHACXX130117:1:2310:8773:94408/2,C1E2NACXX130117:2:1315:6063:7150/2,C1E5MACXX130111:4:2306:4619:24711/2,C1FGVACXX130122:8:1210:18181:39085/2,D1JYHACXX130117:4:2201:3886:87485/1,D1JYHACXX130117:7:2315:14344:41662/1,C1E2NACXX130117:7:1108:18118:21900/1,C1DVPACXX130111:2:1205:10749:81175/2,C1E5MACXX130111:5:1211:8262:62686/1,C1E2NACXX130117:1:2314:3306:16149/1,C1E5MACXX130111:4:2103:6432:92382/2,D1JYHACXX130117:3:1108:15128:59936/1,D1JYHACXX130117:7:2315:14344:41662/2,D1JYHACXX130117:4:2314:9674:3693/1,D1JYHACXX130117:1:2211:4662:95204/2,C1FGVACXX130122:2:2215:2051:18833/2,C1E2NACXX130117:7:2214:3289:87512/2,D1JYHACXX130117:1:1109:11585:83030/1,	C1DVPACXX130111:3:1215:10891:64383,C1FGVACXX130122:4:1315:7731:76845,D1JYHACXX130117:4:1303:10434:45626,C1E5MACXX130111:5:1309:8637:66957,C1EF5ACXX130117:4:1116:8308:89147,C1EF5ACXX130117:1:1114:5755:39770,C1E5MACXX130111:5:2206:16571:91275,C1EF5ACXX130117:3:1315:9626:91575,C1E5MACXX130111:4:1207:10693:24750,C1EF5ACXX130117:5:2110:19536:99736,C1E2NACXX130117:1:2309:8251:85506,C1FGVACXX130122:6:1202:2178:12790,	C1E5MACXX130111:4:1207:14181:86077,C1E2NACXX130117:4:1114:3321:88743,C1EF5ACXX130117:7:2113:4196:43729,C1FGVACXX130122:4:2312:15324:63611,C1EF5ACXX130117:2:1307:21404:41261,C1DVPACXX130111:4:2216:20865:91323,D1JYHACXX130117:5:1210:13908:76857,C1FGVACXX130122:8:1106:14632:93180,C1E2NACXX130117:7:1303:6876:20435,C1FGVACXX130122:4:1108:13007:92761,C1FGVACXX130122:7:1305:8879:42206,C1FGVACXX130122:3:2110:12612:12757,C1E5MACXX130111:4:1307:20273:96482,D1JYHACXX130117:2:2201:6400:81618,C1EF5ACXX130117:7:1313:19000:3087,D1JYHACXX130117:5:1307:9587:34601,C1E2NACXX130117:3:2107:18768:54262,C1EF5ACXX130117:5:2116:4760:95341,C1FGVACXX130122:3:2308:18968:65152,C1E5MACXX130111:5:1113:13955:41151,C1EF5ACXX130117:1:1207:2048:81920,C1E5MACXX130111:8:1212:4322:58089,D1JYHACXX130117:8:1302:15861:67486,C1FGVACXX130122:3:1304:7787:93723,C1EF5ACXX130117:6:1312:4560:6804,D1JYHACXX130117:4:1301:15726:6224,C1FGVACXX130122:7:2104:7555:37197,C1DVPACXX130111:4:2114:7398:22676,C1EF5ACXX130117:8:1205:6393:28396,C1FGVACXX130122:7:1116:18803:43731,C1DVPACXX130111:4:2213:3595:5181,C1E2NACXX130117:2:1212:20173:46472,C1DVPACXX130111:3:1311:3847:25036,C1FGVACXX130122:1:1214:1337:65920,C1FGVACXX130122:1:2316:17026:88586,C1DVPACXX130111:4:1113:10991:58749,D1JYHACXX130117:2:1216:5445:80828,C1FGVACXX130122:6:2311:12700:9240,C1FGVACXX130122:5:1103:13351:72084,
chr12_26384856_-:chr12_26367710_-	readthrough	0	na	26	9	7	77.7778	3	33.3333	17	3	15	100	78.2051	0	0	na	na	GT	AG	26384908	26367633	1	1	17146	ENSG00000255750.1	ENSG00000256234.1	RP11-283G6.5	RP11-283G6.4	antisense	antisense	C1FGVACXX130122:6:2301:14076:78448/2,C1EF5ACXX130117:6:1212:18384:13496/2,C1E2NACXX130117:4:1104:18550:31093/2,C1FGVACXX130122:7:2116:9800:33402/2,C1EF5ACXX130117:5:1214:21425:58516/1,C1EF5ACXX130117:8:1301:7652:10752/1,D1JYHACXX130117:8:2112:15473:83629/2,C1EF5ACXX130117:2:1208:6500:33583/2,C1EF5ACXX130117:5:1214:21425:58516/2,	D1JYHACXX130117:7:1211:1226:67890,C1FGVACXX130122:6:2214:11773:3875,D1JYHACXX130117:2:1109:5536:62278,C1E2NACXX130117:1:1313:2893:81211,C1EF5ACXX130117:5:2206:11744:87291,C1DVPACXX130111:4:1206:6659:83749,D1JYHACXX130117:2:1116:6894:11340,C1E2NACXX130117:8:1112:11205:8822,C1FGVACXX130122:6:2207:13224:46506,D1JYHACXX130117:5:1211:9157:86807,C1EF5ACXX130117:3:1211:3095:6188,D1JYHACXX130117:6:2314:5412:78060,C1EF5ACXX130117:1:1216:20303:63784,D1JYHACXX130117:6:2111:18725:22196,C1EF5ACXX130117:6:1209:15027:11110,C1E5MACXX130111:4:2214:15029:37881,C1FGVACXX130122:6:1115:17864:89655,	C1DVPACXX130111:4:2110:6804:88612,D1JYHACXX130117:6:2306:4846:50953,C1DVPACXX130111:2:1209:18107:41932,
chr1_241803184_-:chr1_241799096_-	readthrough	0	na	11	8	8	100	5	62.5	3	2	40	100	100	0	136	na	na	GT	AG	241803274	241799013	1	1	4088	ENSG00000054277.8	ENSG00000203668.1	OPN3	CHML	protein_coding	protein_coding	D1JYHACXX130117:7:1211:15820:78251/1,D1JYHACXX130117:7:1114:10822:24793/2,C1EF5ACXX130117:3:1113:16062:94412/2,C1EF5ACXX130117:4:2108:2706:11376/2,C1E2NACXX130117:8:1312:7881:78773/2,C1FGVACXX130122:2:2316:15267:52898/2,D1JYHACXX130117:4:2105:16683:32057/1,C1E2NACXX130117:8:1312:7881:78773/1,	C1FGVACXX130122:6:1206:15903:2234,C1DVPACXX130111:3:2115:3162:86159,D1JYHACXX130117:1:1303:9411:66376,	C1DVPACXX130111:3:2213:20117:21880,C1EF5ACXX130117:1:2104:11353:26298,
chr19_783330_+:chr19_799413_+	readthrough	0	na	10	8	6	75	7	87.5	2	0	0	100	31.6327	0	0	na	na	GT	AG	783232	799510	1	1	16083	ENSG00000267530.2	ENSG00000011304.12	AC006273.5	PTBP1	lincRNA	protein_coding	C1E5MACXX130111:5:1212:2316:29388/1,C1FGVACXX130122:3:2308:11169:32585/2,C1FGVACXX130122:5:1301:14681:93801/1,C1E2NACXX130117:6:1102:9663:84767/1,C1E2NACXX130117:6:1102:9663:84767/1,C1FGVACXX130122:5:2314:10181:45023/2,C1EF5ACXX130117:4:1303:16786:16756/2,C1EF5ACXX130117:4:1303:16786:16756/2,	C1FGVACXX130122:6:1307:7111:43066,C1E5MACXX130111:5:1112:19023:14961,	na
chr17_37840850_-:chr17_38062238_-	inverted	0	na	15	9	9	100	0	0	6	1	14.2857	100	100	0	0	na	na	GT	AG	37840935	38062188	1	0	na	ENSG00000161395.8	ENSG00000073605.14	PGAP3	GSDMB	protein_coding	protein_coding	D1JYHACXX130117:1:1305:18154:44388/1,C1DVPACXX130111:2:2213:17803:43622/2,C1EF5ACXX130117:3:1215:16128:84735/1,C1E5MACXX130111:4:2315:14651:69392/1,D1JYHACXX130117:4:2207:12017:14685/1,C1EF5ACXX130117:6:2211:12845:29965/1,D1JYHACXX130117:3:2212:1936:58779/1,C1EF5ACXX130117:7:1104:14215:94605/2,C1E2NACXX130117:6:2115:18906:7401/1,	C1E5MACXX130111:7:1109:16316:38634,D1JYHACXX130117:4:1209:19656:70833,C1DVPACXX130111:3:2211:5657:70759,D1JYHACXX130117:5:2107:11281:49278,D1JYHACXX130117:6:1308:18670:14376,C1DVPACXX130111:4:2216:10173:93814,	C1E5MACXX130111:4:2110:2952:13529,
chr17_79478929_-:chr10_90701626_-	interchromosomal	0	na	5	4	2	50	2	50	1	1	50	100	100	0	0	na	na	GT	AG	79478999	90701560	0	na	na	ENSG00000184009.5	ENSG00000107796.8	ACTG1	ACTA2	protein_coding	protein_coding	D1JYHACXX130117:2:1207:8482:16467/1,D1JYHACXX130117:2:1205:17901:19464/1,D1JYHACXX130117:2:1207:8482:16467/2,D1JYHACXX130117:2:1205:17901:19464/2,	C1EF5ACXX130117:5:2305:4220:6511,	C1E2NACXX130117:3:2215:10236:29953,
chr14_69378873_-:chr19_39196684_+	interchromosomal	0	na	10	9	7	77.7778	9	100	1	14	93.3333	100	100	0	0	1334	85.38	GT	AG	69378921	39196767	0	na	na	ENSG00000072110.9	ENSG00000130402.7	ACTN1	ACTN4	protein_coding	protein_coding	D1JYHACXX130117:3:1316:1765:63723/1,D1JYHACXX130117:5:2301:12945:87623/1,C1DVPACXX130111:4:2313:7337:88145/1,D1JYHACXX130117:5:2107:2306:23370/1,C1E2NACXX130117:5:1314:16016:100667/1,C1FGVACXX130122:3:2110:21350:6605/1,C1E5MACXX130111:5:2310:5199:40509/1,C1E2NACXX130117:8:2105:16952:26821/1,D1JYHACXX130117:5:2110:6878:48324/1,	D1JYHACXX130117:3:1109:3244:87878,	C1EF5ACXX130117:5:2314:17724:66369,C1DVPACXX130111:2:2303:6238:15840,C1EF5ACXX130117:2:2214:20281:63218,D1JYHACXX130117:7:1104:15152:47990,D1JYHACXX130117:2:1311:12519:3948,D1JYHACXX130117:6:1204:9402:57833,D1JYHACXX130117:8:1211:16540:46355,C1FGVACXX130122:8:1307:13031:91433,C1EF5ACXX130117:6:2106:10868:84061,C1FGVACXX130122:5:2316:14407:15942,D1JYHACXX130117:5:2305:11215:24196,C1FGVACXX130122:5:2305:17217:56839,C1E2NACXX130117:7:2202:2227:61328,C1E2NACXX130117:1:1105:9309:84179,
