"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","EHMT1:ARRDC1","chr9",140637980,"chr9",140507348,130.623,"3",11,FALSE,TRUE,TRUE,"Locus_234_Transcript_30/41_Confidence_0.159_Length_1518",984,"HighConfidence","-"
"jaffa-direct","CCNJ:BLNK","chr10",97810223,"chr10",97951848,141.624,"3",9,FALSE,TRUE,TRUE,"Locus_7155_Transcript_2/6_Confidence_0.130_Length_898",503,"HighConfidence","-"
"jaffa-direct","FOXO3:TTC39C","chr6",108883032,"chr18",21644104,Inf,"0",4,FALSE,TRUE,TRUE,"Locus_5658_Transcript_5/13_Confidence_0.087_Length_666",301,"MediumConfidence","-"
"jaffa-direct","GUSB:GUSBP2","chr7",65432718,"chr6",26856976,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_33344_Transcript_1/1_Confidence_1.000_Length_272",60,"MediumConfidence","-"
"jaffa-direct","MNAT1:MIPOL1","chr14",61201669,"chr14",37892060,23309.607,"-",3,FALSE,TRUE,TRUE,"Locus_3448_Transcript_4/4_Confidence_0.042_Length_282",95,"MediumConfidence","-"
"jaffa-direct","ANAPC4:SEPSECS","chr4",25394043,"chr4",25160729,233.313,"0",1,TRUE,TRUE,TRUE,"Locus_2379_Transcript_17/19_Confidence_0.292_Length_4332",3451,"MediumConfidence","-"
"jaffa-direct","NR2F2:RAB40C","chr15",96869581,"chr16",640261,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_7401_Transcript_14/16_Confidence_0.663_Length_3021",2983,"MediumConfidence","-"
"jaffa-direct","RPS29:RPL32","chr14",50044083,"chr3",12880888,Inf,"1206",379,NA,FALSE,TRUE,"Locus_843_Transcript_30/50_Confidence_0.118_Length_2774",1378,"LowConfidence","-"
"jaffa-direct","CDKN2A:CDKN2B","chr9",21994142,"chr9",22006247,12.105,"78",97,NA,FALSE,TRUE,"Locus_2373_Transcript_10/18_Confidence_0.337_Length_1517",1157,"LowConfidence","-"
"jaffa-direct","MYL9:MYL12A","chr20",35176516,"chr18",3253303,Inf,"83",18,NA,FALSE,TRUE,"Locus_818_Transcript_27/30_Confidence_0.088_Length_1202",343,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387760,"chr10",51732772,345.012,"2",26,NA,FALSE,FALSE,"Locus_86_Transcript_172/215_Confidence_0.016_Length_1358",767,"LowConfidence","-"
"jaffa-direct","MYH9:MYH14","chr22",36690298,"chr19",50780135,Inf,"1",17,NA,FALSE,TRUE,"Locus_1514_Transcript_34/38_Confidence_0.327_Length_7010",3067,"LowConfidence","-"
"jaffa-direct","LAMB3:LSR","chr1",209788509,"chr19",35739675,Inf,"1",15,NA,FALSE,TRUE,"Locus_1071_Transcript_60/77_Confidence_0.140_Length_5730",2097,"LowConfidence","-"
"jaffa-direct","NISCH:HNRNPL","chr3",52515462,"chr19",39327261,Inf,"5",2,NA,FALSE,TRUE,"Locus_2942_Transcript_8/20_Confidence_0.195_Length_1636",677,"LowConfidence","-"
"jaffa-direct","FKBP9:ZFYVE20","chr7",33045076,"chr3",15140636,Inf,"2",4,NA,FALSE,TRUE,"Locus_2082_Transcript_19/32_Confidence_0.257_Length_5713",1944,"LowConfidence","-"
"jaffa-direct","GSTO2:GSTO1","chr10",106037873,"chr10",106014929,22.944,"1",4,NA,FALSE,TRUE,"Locus_3139_Transcript_7/14_Confidence_0.441_Length_1173",373,"LowConfidence","-"
