#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
72189	17	7590695	[7590685,7590835]	19	6857065	[6857064,6857360]	74	12	TP53;WRAP53	VAV1	inter-chromosomal
126852	9	21854869	[21854630,21854870]	9	16437522	[16437054,16437522]	36	19	MTAP	BNC2	intra-chromosomal
95094	5	95278706	[95278706,95278755]	2	230634041	[230633947,230634042]	27	7	ELL2	TRIP12	inter-chromosomal
59570	16	2147869	[2147867,2148002]	16	14805475	[14805475,14805568]	34	1	PKD1	RP11-719K4.1	intra-chromosomal
99228	22	17083105	[17082858,17083106]	5	121814516	[121814336,121814517]	23	7	TPTEP1	CTC-210G5.1	inter-chromosomal
103520	3	100438902	[100438817,100438903]	3	100348442	[100348441,100348532]	35	0	TFG	GPR128	readthrough-adjacent
95097	5	95249475	[95249469,95249638]	2	230634041	[230633947,230634043]	22	5	ELL2	TRIP12	inter-chromosomal
71044	16	85205413	[85205185,85205413]	16	85391069	[85391065,85391206]	16	4	CTC-786C10.1	RP11-680G10.1	intra-chromosomal
72190	17	7590695	[7590694,7590789]	19	6890492	[6890491,6890558]	22	0	TP53;WRAP53	EMR1	inter-chromosomal
87141	2	29375694	[29375551,29375694]	7	100417918	[100417763,100417919]	16	3	CLIP4	EPHB4	inter-chromosomal
36094	11	122026259	[122026259,122026332]	11	121962456	[121962383,121962456]	16	0	RP11-820L6.1	RP11-166D19.1	intra-chromosomal
112247	5	69345593	[69345506,69345593]	5	69292979	[69292976,69293070]	16	0	SMN2	RP11-974F13.6	intra-chromosomal
125425	8	134558017	[134558017,134558106]	8	112017878	[112017787,112017880]	16	0	ST3GAL1	RP11-946L20.2	intra-chromosomal
44987	12	131283070	[131283069,131283180]	6	10509320	[10509319,10509464]	10	2	STX2	GCNT2	inter-chromosomal
108470	4	77560795	[77560710,77560795]	4	77631309	[77631309,77631398]	14	0	AC107072.2	SHROOM3	readthrough-intersecting
54198	15	40854180	[40854180,40854228]	7	26241365	[26241365,26241446]	2	4	C15orf57	CBX3	inter-chromosomal
113544	5	92919484	[92919484,92919578]	5	92899169	[92899084,92899169]	8	0	NR2F1	RP11-65F13.2	readthrough-intersecting
126088	8	145278133	[145278084,145278134]	8	145049543	[145049365,145049545]	5	1	HEATR7A	PLEC	intra-chromosomal
87135	7	100271146	[100271146,100271258]	2	29226327	[29226327,29226428]	5	1	GNB2	FAM179A	inter-chromosomal
26186	10	80010208	[80010116,80010208]	10	80039352	[80039351,80039402]	7	0	RP11-90J7.3	LINC00595	readthrough-intersecting
112231	5	70221011	[70220902,70221011]	5	69285862	[69285862,69285949]	5	1	SMN1	RP11-974F13.6	intra-chromosomal
65642	16	20907630	[20907628,20907702]	16	20873965	[20873885,20873966]	6	0	ERI2	DCUN1D3	readthrough-intersecting
36831	12	1755464	[1755384,1755464]	12	1863424	[1863422,1863509]	6	0	WNT5B	ADIPOR2	intra-chromosomal
6798	1	85028940	[85028938,85029026]	1	84967653	[84967589,84967653]	6	0	CTBS	GNG5	readthrough-intersecting
109884	4	165304339	[165304339,165304419]	8	139819951	[139819951,139820043]	6	0	MARCH1	COL22A1	inter-chromosomal
104476	3	136647069	[136646987,136647069]	3	136699308	[136699305,136699380]	5	0	NCK1	IL20RB	readthrough-intersecting
94381	2	203075458	[203075457,203075521]	2	203044114	[203044022,203044115]	5	0	SUMO1	AC079354.5;PSMA2P3	intra-chromosomal
55817	15	63354476	[63354429,63354477]	9	35684312	[35684219,35684314]	5	0	TPM1	TPM2	inter-chromosomal
74399	17	34172042	[34171974,34172042]	17	34211386	[34211384,34211451]	5	0	TAF15	AC015849.2	intra-chromosomal
130081	X	64808492	[64808401,64808501]	X	64936680	[64936680,64936763]	3	1	RP11-368D24__A.1	MSN	readthrough-adjacent
5103	1	46827368	[46827300,46827368]	1	46867763	[46867760,46867842]	4	0	NSUN4	FAAH	intra-chromosomal
36176	11	122953793	[122953793,122953879]	11	122932037	[122931968,122932037]	4	0	CLMP	HSPA8	readthrough-adjacent
