Gene_A	Gene_B	A_chr	B_chr	A_strand	B_strand	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Identity	Align_Len	Evalue	BitScore
PPFIA1	ANO1	11	11	1	1	3	4	3	2	YES	PPFIA1:11:70202360_ANO1:11:69995816,3|PPFIA1:11:70201917_ANO1:11:69995816,1	100.00	13	0.90	24.7
CCDC12	IQSEC1	3	3	-1	-1	7	6	4	1	PARTIALLY	CCDC12:3:46982488_IQSEC1:3:12983365,6	100.00	12	0.97	22.9
ZC3H7B	YPEL2	22	17	1	1	2	1	1	1	YES	ZC3H7B:22:41697776_YPEL2:17:57430576,1	100.00	13	1.1	24.7
PRRG2	CCDC155	19	19	1	1	4	16	16	1	PARTIALLY	PRRG2:19:50087209_CCDC155:19:49897733,16	100.00	15	0.011	28.3
PKN1	ASH1L	19	1	1	-1	7	3	3	1	YES	PKN1:19:14574965_ASH1L:1:155349907,3	93.75	16	1.3	24.7
RASA2	HSP90AB1	3	6	1	1	30	52	40	1	YES	RASA2:3:141248644_HSP90AB1:6:44216367,52	94.74	19	0.013	30.1
ATG7	SLC9A9	3	3	1	-1	3	1	1	1	YES	ATG7:3:11389509_SLC9A9:3:143515745,1	100.00	15	0.053	28.3
ZC3H7B	L3MBTL2	22	22	1	1	9	3	3	1	YES	ZC3H7B:22:41745305_L3MBTL2:22:41609897,3	94.12	17	0.20	26.5
LAMB1	LAMB4	7	7	-1	-1	24	40	30	2	PARTIALLY	LAMB1:7:107626467_LAMB4:7:107671424,36|LAMB1:7:107626467_LAMB4:7:107669641,4	65.46	1051	2e-61	226
BRE	NSD1	2	5	1	1	17	15	12	1	PARTIALLY	BRE:2:28152775_NSD1:5:176718955,15	100.00	15	0.070	28.3
JUP	NT5C3L	17	17	-1	-1	9	13	9	1	YES	JUP:17:39927899_NT5C3L:17:39983878,13	77.78	36	0.050	26.5
