"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","ARHGAP21:ARMC4","chr10",25010766,"chr10",28196706,3185.938,"38",169,FALSE,TRUE,TRUE,"Locus_3231_Transcript_8/21_Confidence_0.258_Length_1677",978,"HighConfidence","-"
"jaffa-direct","GLG1:FA2H","chr16",74640555,"chr16",74774013,133.455,"6",82,TRUE,TRUE,TRUE,"Locus_2208_Transcript_4/8_Confidence_0.269_Length_2526",470,"HighConfidence","-"
"jaffa-direct","ARHGAP21:ARMC4","chr10",25010766,"chr10",28151551,3140.781,"11",21,TRUE,TRUE,TRUE,"Locus_3231_Transcript_10/21_Confidence_0.192_Length_1413",863,"HighConfidence","-"
"jaffa-direct","DNAJB6:UBE3C","chr7",157178305,"chr7",157023774,154.525,"4",22,TRUE,TRUE,TRUE,"Locus_2065_Transcript_10/10_Confidence_0.144_Length_1206",836,"HighConfidence","-"
"jaffa-direct","APOLD1:CREBL2","chr12",12879030,"chr12",12788711,90.314,"1",11,TRUE,TRUE,TRUE,"Locus_13961_Transcript_2/6_Confidence_0.560_Length_3068",2835,"HighConfidence","-"
"jaffa-direct","ARHGAP21:ARMC4","chr10",25010766,"chr10",28225809,3215.04,"1",11,TRUE,TRUE,TRUE,"Locus_3231_Transcript_15/21_Confidence_0.219_Length_1927",1377,"HighConfidence","-"
"jaffa-direct","PWP2:ASIP","chr21",45535801,"chr20",32850638,Inf,"-",119,FALSE,TRUE,TRUE,"Locus_6623_Transcript_2/11_Confidence_0.041_Length_294",73,"MediumConfidence","-"
"jaffa-direct","ICAM5:NUBP2","chr19",10406288,"chr16",1836538,Inf,"0",26,TRUE,TRUE,TRUE,"Locus_4544_Transcript_13/20_Confidence_0.176_Length_1040",655,"MediumConfidence","-"
"jaffa-direct","FAM49B:ASAP1","chr8",130915558,"chr8",131073315,157.753,"0",23,FALSE,TRUE,TRUE,"Locus_4519_Transcript_17/23_Confidence_0.271_Length_3652",3310,"MediumConfidence","-"
"jaffa-direct","INPP4A:TRIP13","chr2",99061548,"chr5",911958,Inf,"-",10,FALSE,TRUE,TRUE,"Locus_5756_Transcript_2/10_Confidence_0.272_Length_1434",1388,"MediumConfidence","-"
"jaffa-direct","HGSNAT:HOOK3","chr8",43002206,"chr8",42865448,136.757,"-",4,FALSE,TRUE,TRUE,"Locus_4059_Transcript_1/4_Confidence_0.548_Length_2503",71,"MediumConfidence","-"
"jaffa-direct","R3HDM2:GRIP1","chr12",57789532,"chr12",66935730,9146.194,"-",2,FALSE,TRUE,TRUE,"Locus_812_Transcript_25/115_Confidence_0.000_Length_721",625,"MediumConfidence","-"
"jaffa-direct","RPS6KC1:SNX27","chr1",213251158,"chr1",151611364,61639.791,"-",2,FALSE,TRUE,TRUE,"Locus_5708_Transcript_4/10_Confidence_0.079_Length_1454",1370,"MediumConfidence","-"
"jaffa-direct","RCL1:INSL4","chr9",4827033,"chr9",5233654,406.622,"-",1,FALSE,TRUE,FALSE,"Locus_21767_Transcript_1/1_Confidence_0.500_Length_260",72,"MediumConfidence","-"
"jaffa-direct","FHOD3:GALNT1","chr18",33952707,"chr18",33289588,663.114,"-",1,FALSE,TRUE,TRUE,"Locus_5152_Transcript_1/6_Confidence_0.235_Length_534",480,"MediumConfidence","-"
"jaffa-direct","AKAP2:SLC44A1","chr9",112811135,"chr9",108110639,4700.494,"-",1,FALSE,TRUE,TRUE,"Locus_3752_Transcript_1/4_Confidence_0.094_Length_339",150,"MediumConfidence","-"
"jaffa-direct","H3F3A:TJP1","chr1",226250512,"chr15",30065560,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_1138_Transcript_3/13_Confidence_0.022_Length_530",350,"MediumConfidence","-"
"jaffa-direct","LIN9:NECAB2","chr1",226465476,"chr16",84005756,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_11396_Transcript_1/8_Confidence_0.125_Length_523",389,"MediumConfidence","-"
"jaffa-direct","PELI2:DUSP16","chr14",56645182,"chr12",12674397,Inf,"-",1,TRUE,TRUE,TRUE,"Locus_9670_Transcript_4/7_Confidence_0.141_Length_1740",1605,"MediumConfidence","-"
"jaffa-direct","C19orf48:TRAP1","chr19",51305474,"chr16",3740986,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_1140_Transcript_1/18_Confidence_0.056_Length_522",43,"MediumConfidence","-"
"jaffa-direct","BZW2:HIVEP3","chr7",16685913,"chr1",42094618,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_3756_Transcript_2/8_Confidence_0.043_Length_460",382,"MediumConfidence","-"
"jaffa-direct","ABCA1:VAMP7","chr9",107620803,"chrX",155127776,Inf,"0",1,TRUE,TRUE,TRUE,"Locus_4728_Transcript_4/7_Confidence_0.594_Length_2525",243,"MediumConfidence","-"
"jaffa-direct","MPRIP:SRP14","chr17",17039561,"chr15",40328656,Inf,"44",3,NA,FALSE,TRUE,"Locus_2749_Transcript_11/23_Confidence_0.174_Length_2767",2239,"LowConfidence","-"
"jaffa-direct","PTK2:CASC7","chr8",141900644,"chr8",141530787,369.857,"2",10,NA,FALSE,FALSE,"Locus_1375_Transcript_4/16_Confidence_0.047_Length_1504",523,"LowConfidence","-"
