juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr11_63918711_-:chr11_63886249_-	readthrough	0	na	15	13	7	53.8462	13	100	2	0	0	100	100	0	0	na	na	GT	AG	63918810	63886175	1	1	32462	ENSG00000133315.6	ENSG00000256341.1	MACROD1	RP11-21A7A.3	protein_coding	antisense	C0VHUACXX120727:6:2312:17116:63912/2,C0VHUACXX120727:4:2206:5060:53978/1,C0UNPACXX120727:1:1105:8299:21068/1,C0VHUACXX120727:7:1307:2162:39560/1,C0VHUACXX120727:7:1307:2162:39560/1,C0UNPACXX120727:7:2106:11958:57495/2,C0VHUACXX120727:3:2104:11701:36394/2,C0VHUACXX120727:2:1205:6639:95832/2,C0RTFACXX120719:2:1112:13973:22470/1,C0UNPACXX120727:2:1311:3484:14411/1,C0VHUACXX120727:5:1113:21103:40207/1,C0VHUACXX120727:4:1115:18442:65117/1,C0UNPACXX120727:7:1307:1784:3561/1,	C0UNPACXX120727:6:1213:12974:39661,C0UNPACXX120727:4:2101:8219:29417,	na
chr7_107217037_+:chr7_107221204_+	readthrough	0	na	4	3	2	66.6667	3	100	1	0	0	100	100	0	0	na	na	GT	AG	107216943	107221246	1	1	4167	ENSG00000105865.6	ENSG00000075790.6	DUS4L	BCAP29	protein_coding	protein_coding	C0VHUACXX120727:7:1109:1819:42844/1,C0UNPACXX120727:5:1113:1720:58781/1,C0UNPACXX120727:5:1113:1720:58781/1,	C0VHUACXX120727:4:2202:13969:60942,	na
chr17_77983959_-:chr17_77966142_-	readthrough	0	na	4	3	3	100	1	33.3333	1	0	0	100	100	0	0	na	na	GT	AG	77984058	77966068	1	1	17817	ENSG00000167291.11	ENSG00000262172.1	TBC1D16	CTD-2529O21.1	protein_coding	sense_intronic	C0UNPACXX120727:6:2315:7703:57482/2,C0VHUACXX120727:4:2103:5004:85285/1,C0VHUACXX120727:6:2312:10331:85422/2,	C0RTFACXX120719:2:1110:5561:46034,	na
chr2_166702463_-:chr2_166689725_-	readthrough	0	na	44	27	21	77.7778	6	22.2222	17	10	37.037	100	100	0	0	na	na	GT	AG	166702562	166689629	1	1	12738	ENSG00000229195.1	ENSG00000232411.1	AC009495.4	AC009495.3	lincRNA	lincRNA	C0UNPACXX120727:6:1316:11431:84256/1,C0UNPACXX120727:5:1213:12687:70023/2,C0UNPACXX120727:8:2310:10774:9294/2,C0VHUACXX120727:3:2212:3465:26104/2,C0UNPACXX120727:5:1316:17712:8553/2,C0UNPACXX120727:3:1106:9069:84420/2,C0RTFACXX120719:3:2115:11337:67167/1,C0VHUACXX120727:4:2303:21213:90757/2,C0UNPACXX120727:3:2302:7087:94559/2,C0RTFACXX120719:8:1215:8544:10347/1,C0VHUACXX120727:6:2112:18798:44631/1,C0UNPACXX120727:5:2306:5827:97617/2,C0VHUACXX120727:4:1303:1622:31333/1,C0RTFACXX120719:7:1311:17819:46134/1,C0VHUACXX120727:7:1210:10889:50737/1,C0VHUACXX120727:6:1306:7092:2115/2,C0RTFACXX120719:7:2212:20609:83747/2,C0VHUACXX120727:7:1210:10889:50737/2,C0UNPACXX120727:4:1301:11115:12357/1,C0VHUACXX120727:3:2305:10169:47460/1,C0VHUACXX120727:3:1103:7982:91426/2,C0UNPACXX120727:5:2211:9708:40562/2,C0UNPACXX120727:2:1312:1945:21017/1,C0VHUACXX120727:2:1108:19996:90035/2,C0VHUACXX120727:8:2314:1782:58287/2,C0VHUACXX120727:3:1309:13962:54612/2,C0UNPACXX120727:1:2213:17937:35976/1,	C0UNPACXX120727:7:1106:20657:65186,C0VHUACXX120727:7:2107:20175:51139,C0UNPACXX120727:4:2203:5928:55212,C0UNPACXX120727:2:2310:9435:59719,C0RTFACXX120719:8:2206:9234:68539,C0VHUACXX120727:4:2102:20380:43692,C0UNPACXX120727:2:1116:7534:62855,C0UNPACXX120727:6:1305:11372:94317,C0RTFACXX120719:3:2304:15730:66140,C0VHUACXX120727:8:1305:16670:80962,C0UNPACXX120727:5:1206:20527:7345,C0RTFACXX120719:7:1107:3586:51748,C0VHUACXX120727:8:1111:4953:9055,C0UNPACXX120727:6:1204:17032:81955,C0VHUACXX120727:3:2114:9537:63530,C0UNPACXX120727:7:2316:1116:88247,C0RTFACXX120719:6:1216:3105:17532,	C0RTFACXX120719:3:1203:14086:10142,C0VHUACXX120727:7:1301:11114:51570,C0UNPACXX120727:2:2306:19142:11387,C0VHUACXX120727:5:2312:17434:79664,C0VHUACXX120727:3:2105:11316:35007,C0UNPACXX120727:2:1211:10374:90485,C0UNPACXX120727:1:1303:14227:2359,C0UNPACXX120727:1:2211:18259:30540,C0VHUACXX120727:5:1212:5243:53955,C0UNPACXX120727:2:2314:4673:18500,
chr15_78839040_+:chr15_78873153_+	readthrough	0	na	9	7	5	71.4286	4	57.1429	2	0	0	100	100	0	0	na	na	GT	AG	78838941	78873252	1	1	34113	ENSG00000041357.11	ENSG00000169684.9	PSMA4	CHRNA5	protein_coding	protein_coding	C0UNPACXX120727:6:2113:12548:96372/2,C0RTFACXX120719:6:1201:7039:8830/2,C0RTFACXX120719:3:1309:18657:44036/2,C0RTFACXX120719:3:2107:10045:27441/1,C0UNPACXX120727:5:1215:19410:68076/1,C0UNPACXX120727:6:2313:4511:41070/1,C0RTFACXX120719:2:2307:9561:10829/1,	C0RTFACXX120719:7:2313:8320:47152,C0UNPACXX120727:7:2201:5120:43005,	na
chr1_144852394_-:chr1_144833621_-	readthrough	0	na	9	8	5	62.5	6	75	1	0	0	100	100	0	0	na	na	GT	AG	144852493	144833575	1	1	18773	ENSG00000178104.15	ENSG00000254539.1	PDE4DIP	RP4-791M13.3	protein_coding	antisense	C0UNPACXX120727:3:1212:11888:98775/1,C0UNPACXX120727:3:1207:7022:6132/2,C0RTFACXX120719:2:1213:18537:62826/1,C0UNPACXX120727:7:2307:20904:45377/1,C0UNPACXX120727:7:2307:20904:45377/1,C0UNPACXX120727:7:2307:20904:45377/1,C0VHUACXX120727:2:2115:4816:8744/2,C0UNPACXX120727:5:1315:18434:87503/2,	C0RTFACXX120719:6:2315:11506:52569,	na
chr11_67374117_+:chr11_67375871_+	readthrough	0	na	16	7	6	85.7143	2	28.5714	9	1	10	95.4545	100	4	0	na	na	GT	AG	67374030	67375960	1	1	1754	ENSG00000255119.1	ENSG00000167792.7	RP11-655M14.12	NDUFV1	antisense	protein_coding	C0RTFACXX120719:5:2213:2426:85372/2,C0VHUACXX120727:5:2112:5900:72898/1,C0VHUACXX120727:5:2112:5900:72898/1,C0UNPACXX120727:5:2210:5190:96893/2,C0UNPACXX120727:6:2303:1471:37977/2,C0UNPACXX120727:6:2202:4300:2409/1,C0UNPACXX120727:6:1103:18598:53529/2,	C0RTFACXX120719:7:2313:14372:65979,C0UNPACXX120727:1:2206:1561:43270,C0VHUACXX120727:6:2111:4283:7652,C0UNPACXX120727:8:2203:14271:38010,C0RTFACXX120719:8:2306:5957:52318,C0RTFACXX120719:3:1302:13845:4947,C0UNPACXX120727:7:1312:7282:48883,C0VHUACXX120727:2:1207:5534:12657,C0UNPACXX120727:1:1302:10791:19999,	C0UNPACXX120727:6:2302:12015:61121,
chr5_40764616_-:chr5_40747121_-	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	40764689	40747051	1	1	17495	ENSG00000132356.7	ENSG00000113638.8	PRKAA1	TTC33	protein_coding	protein_coding	C0RTFACXX120719:3:2311:13034:16069/2,C0VHUACXX120727:5:2212:17464:90998/1,	C0UNPACXX120727:5:2107:11366:65314,	na
chr12_1299218_+:chr12_1740464_+	intrachromosomal	0	na	4	3	3	100	2	66.6667	1	0	0	100	100	0	0	na	na	GT	AG	1299122	1740563	1	1	441246	ENSG00000082805.15	ENSG00000111186.8	ERC1	WNT5B	protein_coding	protein_coding	C0RTFACXX120719:8:2115:12526:100250/2,C0UNPACXX120727:3:2311:6488:91846/2,C0UNPACXX120727:3:2314:14524:51034/1,	C0UNPACXX120727:8:1210:7417:3044,	na
chr17_28175867_-:chr19_1218416_+	interchromosomal	0	na	23	10	9	90	0	0	13	3	18.75	100	100	0	0	na	na	GT	AG	28175945	1218493	0	na	na	ENSG00000141298.13	ENSG00000118046.10	SSH2	STK11	protein_coding	protein_coding	C0UNPACXX120727:6:1110:4432:99410/2,C0UNPACXX120727:4:1102:16584:95396/1,C0UNPACXX120727:3:2210:12227:95539/1,C0RTFACXX120719:3:1204:20127:98725/1,C0UNPACXX120727:1:2311:17890:77242/2,C0UNPACXX120727:8:2210:4315:99883/2,C0UNPACXX120727:1:2201:19519:26798/2,C0UNPACXX120727:4:2210:9572:72090/1,C0UNPACXX120727:1:2106:12893:15709/1,C0UNPACXX120727:7:1216:9080:66861/2,	C0UNPACXX120727:7:2111:4439:18013,C0RTFACXX120719:8:1203:3411:68684,C0VHUACXX120727:5:1207:19501:56201,C0UNPACXX120727:7:2104:13823:44626,C0RTFACXX120719:8:2304:9529:69745,C0RTFACXX120719:6:2203:7969:72718,C0RTFACXX120719:6:2114:11488:11399,C0RTFACXX120719:5:2204:18453:80412,C0UNPACXX120727:6:2311:9640:72586,C0RTFACXX120719:8:1108:12272:3871,C0UNPACXX120727:4:1111:19705:91533,C0UNPACXX120727:7:2215:5074:35150,C0RTFACXX120719:8:1105:16859:62267,	C0VHUACXX120727:2:2201:3259:92301,C0UNPACXX120727:7:1208:4520:27165,C0RTFACXX120719:7:2102:20814:49868,
