#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
38106	18	9614224	[9614224,9614288]	13	24515879	[24515783,24515883]	25	3	PPP4R1	ANKRD20A19P	inter-chromosomal
78410	21	26934569	[26934456,26934569]	5	119952790	[119952787,119952887]	12	3	MIR155HG	PRR16	inter-chromosomal
29328	11	120298956	[120298778,120298956]	11	107434285	[107434285,107434512]	12	3	ARHGEF12	ALKBH8	intra-chromosomal
78413	21	26934569	[26934464,26934571]	5	120021649	[120021647,120021835]	13	2	MIR155HG	PRR16	inter-chromosomal
36443	12	105720682	[105720682,105720730]	12	105623001	[105622911,105623003]	11	0	RP11-474B16.1	APPL2	readthrough-intersecting
55303	16	85391249	[85391125,85391250]	16	85667520	[85667517,85667591]	6	1	RP11-680G10.1	KIAA0182	intra-chromosomal
43389	14	93799166	[93799165,93799201]	14	93676170	[93676169,93676258]	8	0	BTBD7	RP11-371E8.4;UBR7	readthrough-adjacent
52199	16	20907630	[20907628,20907696]	16	20873965	[20873873,20873966]	8	0	ERI2	DCUN1D3	readthrough-intersecting
89566	5	137661504	[137661504,137661593]	5	127359990	[127359873,127359990]	6	1	CDC25C	CTC-228N24.3	intra-chromosomal
59980	17	48272933	[48272933,48273003]	7	94039035	[94039035,94039117]	2	3	COL1A1	COL1A2	inter-chromosomal
107798	12	53344628	[53344628,53344690]	12	6645682	[6645682,6645759]	1	3	KRT18	GAPDH	intra-chromosomal
59935	17	48270355	[48270357,48270403]	7	94045743	[94045743,94045804]	1	3	COL1A1	COL1A2	inter-chromosomal
62351	18	12329143	[12329143,12329204]	18	12308348	[12308262,12308348]	6	0	AFG3L2	TUBB6	readthrough-adjacent
82072	3	52325127	[52325054,52325127]	3	52350468	[52350468,52350517]	6	0	GLYCTK	DNAH1	readthrough-adjacent
24250	11	12923660	[12923587,12923660]	11	17474830	[17474666,17474831]	4	1	TEAD1	ABCC8	intra-chromosomal
70614	2	69732701	[69732701,69732775]	2	69693684	[69693595,69693684]	6	0	AAK1	AC114772.1	readthrough-intersecting
24967	11	34938362	[34938286,34938362]	11	43511789	[43511788,43511908]	3	1	PDHX	TTC17	intra-chromosomal
63765	9	116638588	[116638553,116638588]	19	1356323	[1356322,1356416]	5	0	ZNF618	MUM1	inter-chromosomal
92396	11	119205892	[119205837,119205895]	6	44217758	[44217757,44217846]	4	0	RNF26	HSP90AB1	inter-chromosomal
