"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","GPR110:TNFRSF21","chr6",46988467,"chr6",47252168,263.699,"21",47,FALSE,TRUE,TRUE,"Locus_92_Transcript_130/264_Confidence_0.009_Length_2447",1028,"HighConfidence","-"
"jaffa-direct","RP11-123O10.4:GRIP1","chr12",67462830,"chr12",66990707,472.126,"4",8,FALSE,TRUE,FALSE,"Locus_3319_Transcript_1/17_Confidence_0.138_Length_1599",233,"HighConfidence","-"
"jaffa-direct","AC103965.1:UBE2Q2P1","chr15",84898604,"chr15",85089508,190.902,"7",3,FALSE,TRUE,TRUE,"Locus_556_Transcript_40/81_Confidence_0.140_Length_2622",2323,"HighConfidence","-"
"jaffa-direct","OCIAD2:OCIAD1","chr4",48908675,"chr4",48853823,54.849,"-",13,FALSE,TRUE,TRUE,"Locus_4089_Transcript_1/16_Confidence_0.121_Length_303",133,"MediumConfidence","-"
"jaffa-direct","ERC1:PFAS","chr12",1399178,"chr17",8157177,Inf,"-",13,FALSE,TRUE,TRUE,"Locus_3406_Transcript_13/21_Confidence_0.217_Length_4875",4729,"MediumConfidence","-"
"jaffa-direct","CCDC12:SETD2","chr3",47018127,"chr3",47103836,85.708,"0",11,FALSE,TRUE,TRUE,"Locus_900_Transcript_18/21_Confidence_0.234_Length_2404",2168,"MediumConfidence","-"
"jaffa-direct","RPS28:CMC1","chr19",8386384,"chr3",28283109,Inf,"0",5,FALSE,TRUE,TRUE,"Locus_571_Transcript_132/176_Confidence_0.017_Length_1456",871,"MediumConfidence","-"
"jaffa-direct","RP11-268G12.1:CHMP1A","chrX",27416868,"chr16",89713739,Inf,"-",5,FALSE,TRUE,TRUE,"Locus_4398_Transcript_2/9_Confidence_0.035_Length_281",123,"MediumConfidence","-"
"jaffa-direct","LLNLF-65H9.1:UPF1","chr19",28284558,"chr19",18956789,9327.764,"0",4,FALSE,TRUE,TRUE,"Locus_4939_Transcript_15/17_Confidence_0.637_Length_5464",4868,"MediumConfidence","-"
"jaffa-direct","EIF4G3:ADK","chr1",21503215,"chr10",76074425,Inf,"-",4,FALSE,TRUE,TRUE,"Locus_26_Transcript_10/13_Confidence_0.143_Length_1028",158,"MediumConfidence","-"
"jaffa-direct","SDE2:C3orf58","chr1",226186894,"chr3",143704385,Inf,"0",4,TRUE,TRUE,TRUE,"Locus_5188_Transcript_1/8_Confidence_0.047_Length_590",239,"MediumConfidence","-"
"jaffa-direct","RP11-96H19.1:RP11-446N19.1","chr12",46781755,"chr12",47046173,264.428,"-",3,FALSE,TRUE,FALSE,"Locus_20072_Transcript_1/5_Confidence_0.273_Length_228",168,"MediumConfidence","-"
"jaffa-direct","CMC1:RPS28","chr3",28283109,"chr19",8386384,Inf,"2",0,FALSE,TRUE,TRUE,"Locus_571_Transcript_2/176_Confidence_0.023_Length_1653",782,"MediumConfidence","-"
"jaffa-direct","C5orf56:LRP11","chr5",131785381,"chr6",150157433,Inf,"-",1,TRUE,TRUE,TRUE,"Locus_20661_Transcript_1/2_Confidence_1.000_Length_260",68,"MediumConfidence","-"
"jaffa-direct","HNRNPA1:TAX1BP1","chr12",54676450,"chr7",27779798,Inf,"1",47,NA,FALSE,TRUE,"Locus_79_Transcript_43/73_Confidence_0.086_Length_2717",887,"LowConfidence","-"
"jaffa-direct","MORC4:PLEKHA6","chrX",106184620,"chr1",204191126,Inf,"13",16,NA,FALSE,TRUE,"Locus_1264_Transcript_54/83_Confidence_0.060_Length_3534",2830,"LowConfidence","-"
"jaffa-direct","RP11-480I12.5:RP11-386G11.10","chr1",202822287,"chr12",49522461,Inf,"1",13,NA,FALSE,TRUE,"Locus_677_Transcript_47/80_Confidence_0.036_Length_1783",344,"LowConfidence","-"
"jaffa-direct","RPS29:MTHFD1L","chr14",50044286,"chr6",151420645,Inf,"3",9,NA,FALSE,TRUE,"Locus_832_Transcript_38/62_Confidence_0.119_Length_2194",815,"LowConfidence","-"
"jaffa-direct","KDM1B:SLC23A2","chr6",18187233,"chr20",4835030,Inf,"2",5,NA,FALSE,TRUE,"Locus_7521_Transcript_6/12_Confidence_0.577_Length_6799",4818,"LowConfidence","-"
