"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","RUNX1:IGHD","chr21",36421139,"chr14",106312010,Inf,"524",1370,TRUE,TRUE,TRUE,"Locus_2369_Transcript_61/98_Confidence_0.071_Length_3494",401,"HighConfidence","-"
"jaffa-direct","CEP128:GTF2A1","chr14",81362062,"chr14",81682858,320.792,"2",27,TRUE,TRUE,TRUE,"Locus_772_Transcript_22/54_Confidence_0.113_Length_2321",1016,"HighConfidence","-"
"jaffa-direct","DNAJC24:ELP4","chr11",31392406,"chr11",31648657,256.255,"4",13,FALSE,TRUE,FALSE,"Locus_3574_Transcript_40/49_Confidence_0.074_Length_1516",206,"HighConfidence","-"
"jaffa-direct","ANKS1A:SLC7A8","chr6",35028030,"chr14",23635749,Inf,"-",10,FALSE,TRUE,TRUE,"Locus_3480_Transcript_71/114_Confidence_0.017_Length_2306",192,"MediumConfidence","-"
"jaffa-direct","MRPL33:BRE","chr2",27995559,"chr2",28210860,215.302,"-",7,FALSE,TRUE,FALSE,"Locus_1254_Transcript_14/24_Confidence_0.379_Length_1436",109,"MediumConfidence","-"
"jaffa-direct","CHST15:CPXM2","chr10",125852985,"chr10",125639825,213.165,"0",5,FALSE,TRUE,FALSE,"Locus_2148_Transcript_10/14_Confidence_0.094_Length_3123",2915,"MediumConfidence","-"
"jaffa-direct","MPP6:AC004485.3","chr7",24613212,"chr7",24236648,376.566,"-",4,FALSE,TRUE,TRUE,"Locus_5583_Transcript_6/7_Confidence_0.106_Length_290",59,"MediumConfidence","-"
"jaffa-direct","ZNRF3:TTC28","chr22",29280054,"chr22",29025818,254.236,"-",3,TRUE,TRUE,TRUE,"Locus_8925_Transcript_12/18_Confidence_0.165_Length_4818",191,"MediumConfidence","-"
"jaffa-direct","AC002116.7:PLAC8L1","chr19",36510286,"chr5",145465160,Inf,"0",2,FALSE,TRUE,TRUE,"Locus_6270_Transcript_3/5_Confidence_0.647_Length_814",552,"MediumConfidence","-"
"jaffa-direct","PNKP:GLI4","chr19",50369656,"chr8",144351530,Inf,"-",2,TRUE,TRUE,TRUE,"Locus_8905_Transcript_1/15_Confidence_0.368_Length_432",389,"MediumConfidence","-"
"jaffa-direct","RP11-305P22.9:WRAP53","chr20",61640825,"chr17",7604059,Inf,"-",2,FALSE,TRUE,TRUE,"Locus_12245_Transcript_4/5_Confidence_0.056_Length_513",111,"MediumConfidence","-"
"jaffa-direct","ZNF581:ATXN2","chr19",56147078,"chr12",111993723,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_15938_Transcript_1/3_Confidence_0.714_Length_477",68,"MediumConfidence","-"
"jaffa-direct","RP11-161H23.5:RP11-386G11.10","chr12",49666471,"chr12",49522035,144.436,"1",111,NA,FALSE,TRUE,"Locus_163_Transcript_30/41_Confidence_0.155_Length_1724",1446,"LowConfidence","-"
"jaffa-direct","HSP90AA1:SDCCAG8","chr14",102550834,"chr1",243589858,Inf,"3",27,NA,FALSE,TRUE,"Locus_141_Transcript_87/222_Confidence_0.013_Length_2871",1436,"LowConfidence","-"
"jaffa-direct","RPL36A-HNRNPH2:RPL36AL","chrX",100650432,"chr14",50085432,Inf,"1",21,NA,FALSE,TRUE,"Locus_1807_Transcript_12/34_Confidence_0.205_Length_1088",540,"LowConfidence","-"
"jaffa-direct","HMG20A:EDARADD","chr15",77776510,"chr1",236590158,Inf,"1",3,NA,FALSE,TRUE,"Locus_4534_Transcript_3/12_Confidence_0.459_Length_4222",1429,"LowConfidence","-"
