"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","IL7R:KCNJ3","chr5",35857161,"chr2",155711239,Inf,"8561",1579,TRUE,TRUE,TRUE,"Locus_1_Transcript_1/1319_Confidence_0.001_Length_1087",164,"HighConfidence","-"
"jaffa-direct","KNG1:SIRT6","chr3",186456995,"chr19",4180906,Inf,"7556",2021,TRUE,TRUE,TRUE,"Locus_11297_Transcript_5/6_Confidence_0.500_Length_2036",1089,"HighConfidence","-"
"jaffa-direct","IRGQ:ZNF326","chr19",44098961,"chr1",90463669,Inf,"7580",1864,FALSE,TRUE,TRUE,"Locus_86_Transcript_5/9_Confidence_0.441_Length_2456",1594,"HighConfidence","-"
"jaffa-direct","TMEM212:PCK2","chr3",171571640,"chr14",24571962,Inf,"7002",2038,FALSE,TRUE,TRUE,"Locus_534_Transcript_13/29_Confidence_0.063_Length_1002",390,"HighConfidence","-"
"jaffa-direct","ELOVL3:ZADH2","chr10",103987514,"chr18",72914295,Inf,"6808",1520,TRUE,TRUE,TRUE,"Locus_19211_Transcript_1/1_Confidence_0.600_Length_1412",452,"HighConfidence","-"
"jaffa-direct","PTGR1:COX6C","chr9",114337014,"chr8",100904280,Inf,"6279",1642,FALSE,TRUE,TRUE,"Locus_421_Transcript_14/18_Confidence_0.471_Length_1547",495,"HighConfidence","-"
"jaffa-direct","IGLL5:AKAP12","chr22",23230439,"chr6",151669846,Inf,"6187",1549,FALSE,TRUE,TRUE,"Locus_418_Transcript_15/20_Confidence_0.222_Length_3301",375,"HighConfidence","-"
"jaffa-direct","CKS2:PTGFR","chr9",91926266,"chr1",79002091,Inf,"5519",1585,FALSE,TRUE,TRUE,"Locus_482_Transcript_8/23_Confidence_0.291_Length_3997",3885,"HighConfidence","-"
"jaffa-direct","IL1A:ORC3","chr2",113539181,"chr6",88331668,Inf,"5452",1468,FALSE,TRUE,TRUE,"Locus_472_Transcript_9/9_Confidence_0.373_Length_1817",521,"HighConfidence","-"
"jaffa-direct","AC017104.2:ELL","chr2",232317521,"chr19",18569139,Inf,"5691",1059,FALSE,TRUE,TRUE,"Locus_1_Transcript_1223/1319_Confidence_0.001_Length_3323",3116,"HighConfidence","-"
"jaffa-direct","CHRNA3:ZNF610","chr15",78893595,"chr19",52856935,Inf,"5051",1300,TRUE,TRUE,TRUE,"Locus_190_Transcript_10/41_Confidence_0.212_Length_2948",1524,"HighConfidence","-"
"jaffa-direct","MTL5:TBX22","chr11",68509786,"chrX",79283490,Inf,"4895",1250,FALSE,TRUE,TRUE,"Locus_450_Transcript_12/19_Confidence_0.278_Length_1865",951,"HighConfidence","-"
"jaffa-direct","FRG1:SLIRP","chr4",190873442,"chr14",78177181,Inf,"4211",1036,TRUE,TRUE,TRUE,"Locus_619_Transcript_8/13_Confidence_0.561_Length_1099",420,"HighConfidence","-"
"jaffa-direct","C1orf227:FAM19A5","chr1",213009215,"chr22",49145651,Inf,"3989",1112,FALSE,TRUE,TRUE,"Locus_366_Transcript_5/9_Confidence_0.639_Length_2444",350,"HighConfidence","-"
"jaffa-direct","IL7:BAAT","chr8",79652237,"chr9",104125297,Inf,"4041",928,TRUE,TRUE,TRUE,"Locus_471_Transcript_19/34_Confidence_0.387_Length_3859",257,"HighConfidence","-"
