juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr1_241803184_-:chr1_241799096_-	readthrough	0	na	33	23	20	86.9565	13	56.5217	10	5	33.3333	100	100	0	136	na	na	GT	AG	241803281	241798997	1	1	4088	ENSG00000054277.8	ENSG00000203668.1	OPN3	CHML	protein_coding	protein_coding	C1N6EACXX130227:8:2205:6234:16129/2,C1NHTACXX130228:6:2209:12627:59783/1,C1NHTACXX130228:1:2109:2464:91882/1,C1NHDACXX130227:1:2213:15397:9142/1,C1NHDACXX130227:2:2302:8665:55736/1,C1NHTACXX130228:6:2308:21091:59447/2,C1NHTACXX130228:4:1207:13057:88886/2,C1LUFACXX130228:1:2103:5203:68389/2,C1NHTACXX130228:7:1203:16145:66086/2,C1N6EACXX130227:1:1306:18064:32809/2,C1NHTACXX130228:1:1201:16966:33854/1,C1N6EACXX130227:8:2313:13820:7575/2,C1LUFACXX130228:4:1205:7310:71156/1,C1K43ACXX130219:5:2211:11475:6419/2,C1NHTACXX130228:6:2212:10160:86387/2,C1LUFACXX130228:2:2202:12086:29525/1,C1NHDACXX130227:3:2209:5276:65769/1,C1LUFACXX130228:4:1205:7310:71156/2,C1NHDACXX130227:5:1203:7155:11889/2,C1NHTACXX130228:6:2308:21091:59447/1,C1N6EACXX130227:3:2106:10533:52544/1,C1LUFACXX130228:7:1301:6146:52340/1,C1NHTACXX130228:2:2315:5052:73185/1,	C1N6EACXX130227:7:1108:4772:91925,C1NHDACXX130227:5:1209:7617:15983,C1LUFACXX130228:6:1306:3107:83556,C1NHTACXX130228:2:2204:16846:57547,C1LUFACXX130228:3:2216:15470:83720,C1N6EACXX130227:4:2111:9802:31916,H064BADXX130311:2:1204:6896:87992,C1NHTACXX130228:2:2205:19789:83268,C1N6EACXX130227:2:2101:18190:49987,C1LUFACXX130228:1:1302:7957:23079,	C1NHDACXX130227:8:2201:12951:39454,C1LUFACXX130228:8:2301:7389:81504,C1NHTACXX130228:8:1111:6898:81323,C1NHDACXX130227:2:2107:11170:85702,C1LUFACXX130228:4:2103:1892:58555,
chr2_242695429_+:chr2_242738480_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	242695336	242738499	1	1	43051	ENSG00000180902.12	ENSG00000154252.11	D2HGDH	GAL3ST2	protein_coding	protein_coding	C1N6EACXX130227:8:1105:20064:6719/1,C1LUFACXX130228:2:2211:3746:72610/1,	C1NHTACXX130228:5:2313:17490:54525,	na
chr10_61665880_-:chr10_61802514_-	inverted	0	na	31	18	15	83.3333	16	88.8889	13	2	13.3333	100	100	0	3	na	na	GT	AG	61665961	61802445	1	0	na	ENSG00000108091.10	ENSG00000151150.16	CCDC6	ANK3	protein_coding	protein_coding	C1NHTACXX130228:8:1109:3391:12014/2,C1LUFACXX130228:4:1313:18328:5025/1,C1N6EACXX130227:7:2208:8264:40828/1,C1N6EACXX130227:8:2108:16195:53718/2,C1LUFACXX130228:1:2215:1189:3593/2,C1LUFACXX130228:8:1114:6562:18032/2,C1LUFACXX130228:7:2115:2679:3946/2,C1LUFACXX130228:8:1105:7132:53340/2,C1NHDACXX130227:3:2110:14188:15590/1,C1K43ACXX130219:6:2206:12136:2204/1,C1LUFACXX130228:6:2305:2447:54240/2,C1N6EACXX130227:5:2208:1736:85457/1,C1NHTACXX130228:2:2102:1896:60989/1,C1N6EACXX130227:1:1103:10888:84542/1,C1NHTACXX130228:2:1114:12535:83143/1,C1N6EACXX130227:7:2308:5765:24326/2,C1NHTACXX130228:1:1102:13533:53839/2,C1LUFACXX130228:4:1202:8922:23828/2,	C1N6EACXX130227:7:1108:4774:65531,C1NHDACXX130227:7:2103:16947:63601,C1N6EACXX130227:7:1202:19028:17656,C1NHTACXX130228:1:1301:8152:93581,C1LUFACXX130228:7:2205:21002:71212,C1LUFACXX130228:7:1204:11927:53773,C1NHTACXX130228:6:2306:15157:96240,C1NHDACXX130227:5:1105:11719:16033,C1N6EACXX130227:5:1211:18669:36460,C1NHDACXX130227:3:1112:18869:82015,C1NHTACXX130228:6:1113:19500:87665,H0976ADXX130311:2:1102:18585:76060,C1LUFACXX130228:5:1116:7510:45774,	C1LUFACXX130228:3:2311:17284:33460,C1NHTACXX130228:7:2309:2956:18119,
chr15_90617522_+:chr15_90270388_+	inverted	0	na	7	4	4	100	0	0	3	2	40	100	100	0	0	na	na	GT	AG	90617446	90270437	1	0	na	ENSG00000140548.5	ENSG00000140527.10	ZNF710	WDR93	protein_coding	protein_coding	C1N6EACXX130227:6:2105:8215:18229/1,C1NHDACXX130227:7:2215:8087:90431/2,C1NHDACXX130227:7:2306:11914:51562/2,C1NHTACXX130228:2:1316:8282:86595/2,	C1NHDACXX130227:3:2206:12460:48678,C1N6EACXX130227:2:2102:9565:47740,C1N6EACXX130227:3:1205:14376:65419,	C1LUFACXX130228:8:2114:2362:35539,C1NHDACXX130227:3:1204:20186:68697,
chr3_113163588_-:chr3_113160501_-	readthrough	0	na	13	9	7	77.7778	3	33.3333	4	0	0	100	52.6882	2023	44	na	na	GT	AG	113163685	113160409	1	1	3087	ENSG00000163611.7	ENSG00000206530.4	SPICE1	WDR52	protein_coding	protein_coding	C1NHTACXX130228:8:2104:8417:80092/2,C1N6EACXX130227:1:2202:11223:77501/1,C1K43ACXX130219:5:2113:15848:39343/1,C1LUFACXX130228:2:1114:10043:76609/2,C1NHTACXX130228:4:1305:6655:16944/2,C1LUFACXX130228:2:2116:14353:7931/2,C1N6EACXX130227:6:2105:15607:87215/1,C1NHDACXX130227:8:1203:3225:77268/1,C1NHDACXX130227:3:2206:12052:39827/1,	C1LUFACXX130228:8:2110:13379:41317,H064BADXX130311:2:1209:15968:82449,C1N6EACXX130227:1:1316:20293:23301,C1LUFACXX130228:6:2303:3147:66621,	na
chr6_108222574_-:chr6_111628773_-	inverted	0	na	7	6	4	66.6667	0	0	1	2	66.6667	100	100	0	0	na	na	GT	AG	108222643	111628710	1	0	na	ENSG00000025796.9	ENSG00000009413.11	SEC63	REV3L	protein_coding	protein_coding	C1NHTACXX130228:6:1315:14985:18798/2,C1NHDACXX130227:1:2104:10966:8531/2,C1LUFACXX130228:7:1114:17527:27163/2,C1K43ACXX130219:5:1306:17219:32499/1,C1NHTACXX130228:8:2102:18278:8612/2,C1NHTACXX130228:2:2309:16893:93481/1,	C1NHTACXX130228:1:1206:20184:64597,	C1NHDACXX130227:8:1203:5232:87798,C1NHTACXX130228:2:2107:16327:40713,
chr19_39138547_+:chr16_83065615_+	interchromosomal	0	na	4	2	2	100	2	100	2	0	0	100	100	0	0	na	na	GT	AG	39138498	83065681	0	na	na	ENSG00000130402.7	ENSG00000140945.11	ACTN4	CDH13	protein_coding	protein_coding	C1LUFACXX130228:4:2316:3418:77448/1,C1NHTACXX130228:3:2111:18308:40621/1,	C1N6EACXX130227:7:1113:1224:66435,C1N6EACXX130227:7:2316:15008:61493,	na
chr17_37499433_-:chr17_37665958_+	interstrand	0	na	25	9	5	55.5556	0	0	16	0	0	98.4127	93.4426	0	0	na	na	GT	AG	37499495	37666018	0	na	na	ENSG00000108306.7	ENSG00000167258.9	FBXL20	CDK12	protein_coding	protein_coding	H0976ADXX130311:1:2106:9896:64773/2,H064BADXX130311:1:1110:4894:62335/2,C1NHTACXX130228:5:2304:2315:98476/2,C1NHTACXX130228:6:2109:4307:46608/2,C1K43ACXX130219:5:2110:10098:22345/2,C1LUFACXX130228:6:1103:18102:38923/1,C1LUFACXX130228:8:2201:8699:39577/2,C1NHDACXX130227:3:1114:3477:48907/1,C1LUFACXX130228:8:2104:17388:7728/2,	C1NHDACXX130227:8:1111:2160:61613,C1LUFACXX130228:1:1109:2202:41912,C1NHDACXX130227:3:1316:5201:62487,C1NHTACXX130228:3:2211:18497:81515,H097HADXX130311:2:2114:12744:80011,C1NHTACXX130228:6:1215:3170:57509,C1LUFACXX130228:4:2114:3954:85054,C1K43ACXX130219:5:2114:10081:64836,C1NHTACXX130228:8:1116:14363:25897,H097HADXX130311:1:2106:17484:8077,C1NHDACXX130227:8:2308:9605:39250,C1N6EACXX130227:6:1106:13405:95939,C1NHDACXX130227:5:2316:12495:54773,C1N6EACXX130227:6:2309:13819:73136,C1NHDACXX130227:8:2110:2872:50675,C1NHTACXX130228:7:2115:20710:94605,	na
chr2_88913242_-:chr2_37544322_-	intrachromosomal	0	na	4	3	2	66.6667	0	0	1	0	0	100	100	0	0	na	na	GT	AG	88913268	37544242	1	1	51368920	ENSG00000172071.7	ENSG00000115825.5	EIF2AK3	PRKD3	protein_coding	protein_coding	H0976ADXX130311:2:1107:17926:40233/2,C1NHTACXX130228:4:2108:9789:10972/1,C1NHDACXX130227:2:1208:15497:59397/2,	C1LUFACXX130228:5:2105:17491:30872,	na
chr2_1620939_-:chr2_1576769_-	readthrough	0	na	6	4	4	100	0	0	2	0	0	100	100	0	0	na	na	GT	AG	1620990	1576678	1	1	44170	ENSG00000228613.1	ENSG00000231482.2	AC144450.1	AC141930.2	antisense	lincRNA	C1LUFACXX130228:6:1115:7908:25902/1,C1NHDACXX130227:7:1101:19526:18277/2,C1NHTACXX130228:3:1116:19411:44246/1,C1NHDACXX130227:7:1101:19526:18277/1,	C1NHDACXX130227:8:1215:10693:84588,C1K43ACXX130219:6:1314:7925:90522,	na
