juncCoord	type	filtered	reason	nbTotal(spanning+consistent)	nbSpanningReads	nbStaggered	percStaggered	nbMulti	percMulti	nbConsistentPE	nbInconsistentPE	percInconsistentPE	overlapA	overlapB	distExonBoundaryA	distExonBoundaryB	blastAlignLen	blastAlignSim	donorSS	acceptorSS	beg	end	sameChrStr	okGxOrder	dist	gnIdsA	gnIdsB	gnNamesA	gnNamesB	gnTypesA	gnTypesB	juncSpanningReadsIds	consistentPEIds	inconsistentPEIds
chr11_71159931_+:chr11_71166156_+	readthrough	0	na	3	2	2	100	0	0	1	0	0	100	100	0	0	na	na	GT	AG	71159852	71166191	1	1	6225	ENSG00000254682.1	ENSG00000172890.7	RP11-660L16.2	NADSYN1	antisense	protein_coding	D1EDCACXX121128:7:2314:7897:71758/1,C19C7ACXX121128:7:1104:16613:30877/2,	D1EDCACXX121128:7:1110:9860:56630,	na
chr7_94049598_+:chr17_48265998_-	interchromosomal	0	na	3	1	1	100	0	0	2	18	90	100	100	0	0	103	85.44	GT	AG	94049546	48265951	0	na	na	ENSG00000164692.13	ENSG00000108821.9	COL1A2	COL1A1	protein_coding	protein_coding	C19U6ACXX121211:2:2315:13603:57886/2,	D1JPNACXX121217:5:1310:5817:28974,D1JPNACXX121217:8:2108:6649:85183,	D1EDCACXX121128:5:2213:8236:45133,D1EDCACXX121128:7:1310:5806:87938,D1EDCACXX121128:2:2114:2942:93015,C19U6ACXX121211:4:1305:10955:8413,C19KCACXX121210:4:2105:6857:81750,D1EDCACXX121128:3:2106:16160:84193,C19KCACXX121210:8:2309:11642:67234,C19KCACXX121210:7:2213:15372:31608,D1EDCACXX121128:7:1205:15684:9205,C19C7ACXX121128:8:2210:3954:78406,C19C7ACXX121128:2:2203:20612:44645,D1EDCACXX121128:6:1207:8772:2137,C19U6ACXX121211:3:1114:19412:99122,C19KCACXX121210:8:2314:8473:13306,C19KCACXX121210:8:1116:6061:83875,D1JPNACXX121217:7:1213:19580:83504,D1EDCACXX121128:1:2309:15276:24448,C19U6ACXX121211:5:2110:3515:13410,
chr17_44171926_-:chr17_44648235_-	inverted	0	na	5	4	4	100	4	100	1	0	0	100	100	0	0	na	na	GT	AG	44171994	44648160	1	0	na	ENSG00000120071.8	ENSG00000185829.11	KANSL1	ARL17A	protein_coding	protein_coding	C19C7ACXX121128:5:2313:17743:94902/1,C19C7ACXX121128:4:1105:4061:73497/1,C19C7ACXX121128:6:2116:17358:13776/1,C19C7ACXX121128:5:2313:17743:94902/2,	D1JPNACXX121217:3:1311:20940:59946,	na
chr2_238341704_-:chr2_238305490_-	readthrough	0	na	10	7	2	28.5714	6	85.7143	3	0	0	100	100	0	0	na	na	GT	AG	238341785	238305421	1	1	36214	ENSG00000222032.1	ENSG00000163359.11	AC112721.2	COL6A3	lincRNA	protein_coding	D1EDCACXX121128:4:1209:20620:30724/2,D1EDCACXX121128:4:1209:20620:30724/2,D1EDCACXX121128:4:1209:20620:30724/2,D1EDCACXX121128:4:1209:20620:30724/2,D1EDCACXX121128:4:1209:20620:30724/2,D1EDCACXX121128:4:1209:20620:30724/2,C19C7ACXX121128:1:1314:14691:16999/2,	D1EDCACXX121128:2:1305:2964:17987,C19C7ACXX121128:2:2309:3154:5450,D1JPNACXX121217:7:2308:20258:90757,	na
chr17_48264376_-:chr7_94049853_+	interchromosomal	0	na	12	1	1	100	0	0	11	9	45	100	100	0	0	103	85.44	GT	AG	48264410	94049918	0	na	na	ENSG00000108821.9	ENSG00000164692.13	COL1A1	COL1A2	protein_coding	protein_coding	D1JPNACXX121217:6:1105:17732:28630/2,	D1EDCACXX121128:5:2213:8236:45133,D1EDCACXX121128:7:1310:5806:87938,D1EDCACXX121128:2:2114:2942:93015,C19KCACXX121210:8:2309:11642:67234,C19KCACXX121210:7:2213:15372:31608,D1EDCACXX121128:7:1205:15684:9205,C19U6ACXX121211:3:1114:19412:99122,C19KCACXX121210:8:2314:8473:13306,C19KCACXX121210:8:1116:6061:83875,D1JPNACXX121217:7:1213:19580:83504,D1EDCACXX121128:1:2309:15276:24448,	D1JPNACXX121217:5:1310:5817:28974,C19U6ACXX121211:4:1305:10955:8413,D1JPNACXX121217:8:2108:6649:85183,C19KCACXX121210:4:2105:6857:81750,D1EDCACXX121128:3:2106:16160:84193,C19C7ACXX121128:8:2210:3954:78406,C19C7ACXX121128:2:2203:20612:44645,D1EDCACXX121128:6:1207:8772:2137,C19U6ACXX121211:5:2110:3515:13410,
chr17_48266738_-:chr7_94049853_+	interchromosomal	0	na	3	1	1	100	1	100	2	18	90	100	100	0	0	103	85.44	GT	AG	48266792	94049898	0	na	na	ENSG00000108821.9	ENSG00000164692.13	COL1A1	COL1A2	protein_coding	protein_coding	C19C7ACXX121128:8:1107:18004:83191/1,	C19KCACXX121210:8:2314:8473:13306,C19KCACXX121210:8:1116:6061:83875,	D1EDCACXX121128:5:2213:8236:45133,D1EDCACXX121128:7:1310:5806:87938,D1EDCACXX121128:2:2114:2942:93015,D1JPNACXX121217:5:1310:5817:28974,C19U6ACXX121211:4:1305:10955:8413,D1JPNACXX121217:8:2108:6649:85183,C19KCACXX121210:4:2105:6857:81750,D1EDCACXX121128:3:2106:16160:84193,C19KCACXX121210:8:2309:11642:67234,C19KCACXX121210:7:2213:15372:31608,D1EDCACXX121128:7:1205:15684:9205,C19C7ACXX121128:8:2210:3954:78406,C19C7ACXX121128:2:2203:20612:44645,D1EDCACXX121128:6:1207:8772:2137,C19U6ACXX121211:3:1114:19412:99122,D1JPNACXX121217:7:1213:19580:83504,D1EDCACXX121128:1:2309:15276:24448,C19U6ACXX121211:5:2110:3515:13410,
chr7_94051264_+:chr17_48266899_-	interchromosomal	0	na	4	1	1	100	0	0	3	17	85	100	100	0	0	103	85.44	GT	AG	94051213	48266851	0	na	na	ENSG00000164692.13	ENSG00000108821.9	COL1A2	COL1A1	protein_coding	protein_coding	C19U6ACXX121211:1:2310:5229:84800/2,	D1JPNACXX121217:5:1310:5817:28974,D1JPNACXX121217:8:2108:6649:85183,D1EDCACXX121128:3:2106:16160:84193,	D1EDCACXX121128:5:2213:8236:45133,D1EDCACXX121128:7:1310:5806:87938,D1EDCACXX121128:2:2114:2942:93015,C19U6ACXX121211:4:1305:10955:8413,C19KCACXX121210:4:2105:6857:81750,C19KCACXX121210:8:2309:11642:67234,C19KCACXX121210:7:2213:15372:31608,D1EDCACXX121128:7:1205:15684:9205,C19C7ACXX121128:8:2210:3954:78406,C19C7ACXX121128:2:2203:20612:44645,D1EDCACXX121128:6:1207:8772:2137,C19U6ACXX121211:3:1114:19412:99122,C19KCACXX121210:8:2314:8473:13306,C19KCACXX121210:8:1116:6061:83875,D1JPNACXX121217:7:1213:19580:83504,D1EDCACXX121128:1:2309:15276:24448,C19U6ACXX121211:5:2110:3515:13410,
chr9_117350200_+:chr9_117379398_+	readthrough	0	na	5	4	3	75	3	75	1	0	0	100	100	0	0	na	na	GT	AG	117350101	117379471	1	1	29198	ENSG00000136888.6	ENSG00000157693.10	ATP6V1G1	C9orf91	protein_coding	protein_coding	C19C7ACXX121128:3:2311:6278:70278/1,D1EDCACXX121128:1:1208:16097:36526/1,C19U6ACXX121211:1:2109:12326:96644/1,D1JPNACXX121217:6:2315:20023:65414/1,	D1JPNACXX121217:4:2316:13931:25586,	na
chr1_85028940_-:chr1_84967653_-	readthrough	0	na	28	25	19	76	9	36	3	0	0	100	100	0	0	na	na	GT	AG	85029039	84967554	1	1	61287	ENSG00000117151.8	ENSG00000174021.6	CTBS	GNG5	protein_coding	protein_coding	C19C7ACXX121128:6:2211:12386:31956/1,D1EDCACXX121128:1:1105:16479:95694/1,C19KCACXX121210:6:1110:5576:71869/1,D1JPNACXX121217:5:2206:18816:37709/1,D1EDCACXX121128:2:2307:20139:55534/2,C19KCACXX121210:6:1111:3967:71668/1,D1EDCACXX121128:5:2212:10854:76170/2,C19U6ACXX121211:4:2203:20387:50403/2,C19C7ACXX121128:1:1111:18339:76949/1,C19U6ACXX121211:4:2303:6329:26827/2,C19C7ACXX121128:1:2204:5013:2826/2,C19U6ACXX121211:1:2208:13343:88259/1,D1EDCACXX121128:1:1105:16479:95694/2,C19U6ACXX121211:4:2203:20387:50403/1,C19KCACXX121210:8:1303:14974:11378/2,C19C7ACXX121128:2:1115:15627:75618/1,C19C7ACXX121128:4:2105:7314:82852/1,C19C7ACXX121128:4:2105:7314:82852/1,D1EDCACXX121128:8:1309:5041:9306/1,D1EDCACXX121128:4:1305:5474:77272/2,C19KCACXX121210:6:1111:3967:71668/2,D1JPNACXX121217:5:2307:2298:3092/2,C19C7ACXX121128:6:2302:1489:65462/1,C19C7ACXX121128:2:2313:16489:35098/2,C19C7ACXX121128:2:2313:16489:35098/2,	C19C7ACXX121128:1:2214:15973:83439,C19C7ACXX121128:8:2301:10747:66822,C19U6ACXX121211:6:1112:11898:28538,	na
chr16_85391249_+:chr16_85682158_+	intrachromosomal	0	na	10	8	7	87.5	0	0	2	0	0	100	100	0	0	na	na	GT	AG	85391169	85682239	1	1	290909	ENSG00000261567.1	ENSG00000131149.13	RP11-680G10.1	GSE1	protein_coding	protein_coding	D1JPNACXX121217:6:1203:13757:80557/1,D1EDCACXX121128:5:2115:17507:22220/1,D1EDCACXX121128:2:1309:21203:20587/2,D1EDCACXX121128:4:1107:9069:66257/2,C19KCACXX121210:8:2108:14520:77840/2,D1EDCACXX121128:8:2305:19957:32097/1,D1EDCACXX121128:1:2106:20894:13058/2,D1EDCACXX121128:3:1208:17198:89304/2,	C19C7ACXX121128:8:2209:11385:47783,D1EDCACXX121128:3:2211:8629:48323,	na
