"sample","fusion genes","chrom1","base1","chrom2","base2","gap (kb)","spanning pairs","spanning reads","inframe","aligns","rearrangement","contig","contig break","classification","known"
"jaffa-direct","CCDC6:RET","chr10",61665880,"chr10",43612032,18053.849,"10",66,TRUE,TRUE,TRUE,"Locus_3102_Transcript_1/15_Confidence_0.200_Length_1621",601,"HighConfidence","Yes"
"jaffa-direct","ATAD2:RP11-1101K5.1","chr8",124408427,"chr8",112478407,11930.021,"2",25,FALSE,TRUE,TRUE,"Locus_3050_Transcript_38/43_Confidence_0.052_Length_738",409,"HighConfidence","-"
"jaffa-direct","PRDX1:SLC35A2","chr1",45984726,"chrX",48768917,Inf,"0",88,FALSE,TRUE,TRUE,"Locus_689_Transcript_21/52_Confidence_0.130_Length_3190",906,"MediumConfidence","-"
"jaffa-direct","PRKRIR:ACO1","chr11",76091792,"chr9",32405483,Inf,"-",18,FALSE,TRUE,TRUE,"Locus_5765_Transcript_14/19_Confidence_0.132_Length_3615",3421,"MediumConfidence","-"
"jaffa-direct","WAC:SFMBT2","chr10",28824686,"chr10",7327916,21496.77,"0",13,TRUE,TRUE,TRUE,"Locus_170_Transcript_54/136_Confidence_0.036_Length_3588",2895,"MediumConfidence","-"
"jaffa-direct","MIS18BP1:UQCRQ","chr14",45693121,"chr5",132202727,Inf,"0",2,FALSE,TRUE,TRUE,"Locus_687_Transcript_10/25_Confidence_0.098_Length_1642",1259,"MediumConfidence","-"
"jaffa-direct","ATAD2:CSMD3","chr8",124412983,"chr8",113353915,11059.071,"-",1,FALSE,TRUE,FALSE,"Locus_21089_Transcript_1/2_Confidence_1.000_Length_266",122,"MediumConfidence","-"
"jaffa-direct","RAB30:TMEM243","chr11",82782733,"chr7",86828373,Inf,"0",1,FALSE,TRUE,TRUE,"Locus_5658_Transcript_4/39_Confidence_0.038_Length_979",740,"MediumConfidence","-"
"jaffa-direct","PSPC1:EPHA2","chr13",20333558,"chr1",16482547,Inf,"-",1,FALSE,TRUE,TRUE,"Locus_674_Transcript_202/275_Confidence_0.029_Length_4113",155,"MediumConfidence","-"
"jaffa-direct","RPS9:CBR3-AS1","chr19",54710329,"chr21",37505106,Inf,"53",14,NA,FALSE,TRUE,"Locus_673_Transcript_32/40_Confidence_0.238_Length_1142",632,"LowConfidence","-"
"jaffa-direct","ANKRD42:RPL32","chr11",82924587,"chr3",12877709,Inf,"10",21,NA,FALSE,TRUE,"Locus_7_Transcript_414/6503_Confidence_0.001_Length_2419",1262,"LowConfidence","-"
"jaffa-direct","TIMM23B:LINC00843","chr10",51387761,"chr10",51732773,345.012,"2",14,NA,FALSE,FALSE,"Locus_554_Transcript_71/86_Confidence_0.083_Length_1102",446,"LowConfidence","-"
"jaffa-direct","PDE4DIP:RP11-640M9.1","chr1",144952202,"chr1",144506543,445.659,"2",2,NA,FALSE,TRUE,"Locus_8254_Transcript_1/3_Confidence_0.750_Length_1300",1081,"LowConfidence","-"
"jaffa-direct","H3F3B:HIST2H3C","chr17",73775131,"chr1",149812736,Inf,"2",2,NA,FALSE,TRUE,"Locus_2244_Transcript_71/75_Confidence_0.086_Length_3206",2574,"LowConfidence","-"
