#id	ref1	break_pos1	region1	ref2	break_pos2	region2	num_span	num_paired	genes_1	genes_2	fusion_class
98865	20	46130763	[46130647,46130764]	20	45808446	[45808444,45808560]	104	2	NCOA3	EYA2	intra-chromosomal
49143	13	41556119	[41556118,41556418]	4	159836511	[159836322,159836514]	43	5	ELF1	C4orf45	inter-chromosomal
23762	10	24727408	[24727315,24727408]	13	25399757	[25399756,25399910]	28	8	KIAA1217	RNF17	inter-chromosomal
131395	9	71736642	[71736556,71736642]	9	71766566	[71766565,71766657]	17	0	RP11-265B8.4	TJP2	readthrough-intersecting
3007	1	17279920	[17279631,17279920]	1	16948915	[16948821,16948915]	1	8	CROCC	CROCCP2	intra-chromosomal
24576	10	43077057	[43077057,43077284]	10	38344058	[38344058,38344282]	1	8	ZNF33B	ZNF33A	intra-chromosomal
81716	19	1011095	[1011089,1011194]	19	1119163	[1119010,1119166]	11	2	C19orf6	SBNO2	intra-chromosomal
46987	12	117100051	[117099962,117100052]	12	117140598	[117140595,117140673]	14	0	RP11-497G19.1	RP11-497G19.2	readthrough-adjacent
52962	14	24761402	[24761402,24761485]	14	24740517	[24740425,24740517]	12	0	DHRS1	RABGGTA	readthrough-adjacent
91603	2	107160448	[107160446,107160533]	2	107138642	[107138555,107138642]	12	0	AC108868.6	AC108868.5	readthrough-adjacent
100594	21	39492401	[39492401,39492502]	21	39379128	[39378970,39379128]	6	3	DSCR4	DSCR4-IT1	readthrough-intersecting
48258	13	25077783	[25077782,25077907]	7	147926738	[147926736,147926843]	9	1	PARP4	CNTNAP2	inter-chromosomal
76149	17	29592357	[29592266,29592357]	17	29624118	[29624118,29624196]	11	0	NF1	OMG	readthrough-intersecting
42597	12	52216211	[52216121,52216210]	12	52242324	[52242324,52242416]	10	0	RP11-923I11.6;RP11-923I11.7	RP11-923I11.5	intra-chromosomal
98867	20	46130763	[46130648,46130764]	20	45809463	[45809461,45809580]	6	2	NCOA3	EYA2	intra-chromosomal
67374	16	20907630	[20907628,20907688]	16	20873965	[20873880,20873966]	9	0	ERI2	DCUN1D3	readthrough-intersecting
48259	13	25086844	[25086843,25086896]	7	147926738	[147926736,147926831]	9	0	PARP4	CNTNAP2	inter-chromosomal
89500	2	69732701	[69732701,69732795]	2	69693683	[69693594,69693684]	9	0	AAK1	AC114772.1	readthrough-intersecting
67327	16	19522161	[19522161,19522237]	16	19498642	[19498562,19498644]	9	0	GDE1	CTA-363E6.6;TMC5	intra-chromosomal
95642	7	34337189	[34337189,34337298]	2	198558023	[198557839,198558023]	6	1	U6	AC011997.1	inter-chromosomal
24058	10	29746577	[29746577,29746670]	10	29704341	[29704285,29704341]	7	0	SVIL	RP11-534G20.3	readthrough-intersecting
72146	16	69693802	[69693655,69693802]	16	69481053	[69481053,69481181]	3	2	NFAT5	CYB5B	readthrough-adjacent
75693	17	29592357	[29592264,29592358]	17	26708824	[26708746,26708824]	7	0	NF1	SARM1	intra-chromosomal
15499	1	149284650	[149284650,149284734]	1	149576700	[149576628,149576701]	6	0	RP11-403I13.7	RP11-277L2.2;RP11-277L2.3	intra-chromosomal
3354	1	21133643	[21133643,21133730]	1	21107033	[21106952,21107035]	6	0	EIF4G3	HP1BP3	readthrough-adjacent
81717	19	1011366	[1011365,1011455]	19	1119163	[1119075,1119164]	5	0	C19orf6	SBNO2	intra-chromosomal
100506	21	35469582	[35469492,35469582]	21	35497641	[35497641,35497729]	5	0	SLC5A3	AP000318.2;MRPS6	readthrough-intersecting
97812	20	19780391	[19780340,19780392]	20	19870210	[19870209,19870289]	5	0	RP1-122P22.2	RIN2	intra-chromosomal
59191	15	42860220	[42860220,42860284]	19	39926587	[39926493,39926587]	5	0	HAUS2	RPS16	inter-chromosomal
